Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,,15.0,2023,211
1.0,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 61 yards, returned by Godwin Igwebuike for 34 yards (tackle by Trevor Denbow)",0.0,1.47,15.0,2023,211
1.0,14:54,1.0,10.0,PIT 38,0.0,0.0,Najee Harris up the middle for no gain (tackle by E.J. Speed),1.47,0.92,15.0,2023,211
1.0,14:17,2.0,10.0,PIT 38,0.0,0.0,Mitchell Trubisky sacked by and DeForest Buckner for -4 yards and Grover Stewart for -4 yards,0.92,-0.29,15.0,2023,211
1.0,13:36,3.0,14.0,PIT 34,0.0,0.0,Mitchell Trubisky pass complete short left to Jaylen Warren for 4 yards (tackle by Kwity Paye),-0.29,-0.85,15.0,2023,211
1.0,13:03,4.0,10.0,PIT 38,0.0,0.0,"Pressley Harvin punts 42 yards, returned by Josh Downs for 11 yards (tackle by Trenton Thompson and Connor Heyward)",-0.85,-1.0,15.0,2023,211
1.0,12:52,1.0,10.0,IND 31,0.0,0.0,Gardner Minshew pass complete short left to Zack Moss for 1 yard (tackle by Alex Highsmith),1.0,0.6,15.0,2023,211
1.0,12:16,2.0,9.0,IND 32,0.0,0.0,Gardner Minshew pass complete short middle to Michael Pittman for 7 yards (tackle by Mykal Walker),0.6,0.83,15.0,2023,211
1.0,11:37,3.0,2.0,IND 39,0.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 8 yards (tackle by Damontae Kazee),0.83,2.06,15.0,2023,211
1.0,11:14,1.0,10.0,IND 47,0.0,0.0,Gardner Minshew pass complete short left to Josh Downs for 6 yards (tackle by Damontae Kazee and Joey Porter),2.06,2.33,15.0,2023,211
1.0,10:48,2.0,4.0,PIT 47,0.0,0.0,Zack Moss up the middle for 3 yards (tackle by T.J. Watt and Damontae Kazee),2.33,2.02,15.0,2023,211
1.0,10:16,3.0,1.0,PIT 44,0.0,0.0,Zack Moss up the middle for 2 yards (tackle by Mark Robinson),2.02,2.79,15.0,2023,211
1.0,9:53,1.0,10.0,PIT 42,0.0,0.0,Gardner Minshew pass complete short middle to Zack Moss for 3 yards (tackle by Elandon Roberts),2.79,2.65,15.0,2023,211
1.0,9:05,2.0,7.0,PIT 39,0.0,0.0,Gardner Minshew sacked by T.J. Watt for -6 yards,2.65,1.16,15.0,2023,211
1.0,8:23,3.0,13.0,PIT 45,0.0,0.0,Gardner Minshew pass complete short middle to Josh Downs for 8 yards (tackle by Damontae Kazee),1.16,0.79,15.0,2023,211
1.0,7:35,4.0,5.0,PIT 37,0.0,0.0,Matt Gay 56 yard field goal no good,0.79,-1.99,15.0,2023,211
1.0,7:30,1.0,10.0,PIT 46,0.0,0.0,Mitchell Trubisky pass complete short right to Allen Robinson for 8 yards (tackle by Zaire Franklin),1.99,2.53,15.0,2023,211
1.0,6:57,2.0,2.0,IND 46,0.0,0.0,Najee Harris left end for -1 yards (tackle by Tyquan Lewis),2.53,1.69,15.0,2023,211
1.0,6:20,3.0,3.0,IND 47,0.0,0.0,Mitchell Trubisky pass complete short middle to Pat Freiermuth for 5 yards (tackle by Zaire Franklin),1.69,2.79,15.0,2023,211
1.0,5:42,1.0,10.0,IND 42,0.0,0.0,Jaylen Warren up the middle for 4 yards (tackle by E.J. Speed),2.79,2.78,15.0,2023,211
1.0,5:05,2.0,6.0,IND 38,0.0,0.0,Mitchell Trubisky pass incomplete short right intended for Jaylen Warren (defended by Zaire Franklin),2.78,2.08,15.0,2023,211
1.0,5:02,3.0,6.0,IND 38,0.0,0.0,Mitchell Trubisky pass complete short middle to George Pickens for 15 yards (tackle by Jaylon Jones),2.08,4.04,15.0,2023,211
1.0,4:22,1.0,10.0,IND 23,0.0,0.0,Najee Harris up the middle for 1 yard (tackle by DeForest Buckner and Kenny Moore),4.04,3.63,15.0,2023,211
1.0,3:41,2.0,9.0,IND 22,0.0,0.0,Mitchell Trubisky pass complete short right to George Pickens for 15 yards (tackle by Rodney Thomas),3.63,5.6,15.0,2023,211
1.0,3:01,1.0,7.0,IND 7,0.0,0.0,Jaylen Warren left end for 6 yards (tackle by E.J. Speed and Jaylon Jones),5.6,5.91,15.0,2023,211
1.0,2:18,2.0,1.0,IND 1,0.0,0.0,Jaylen Warren right tackle for no gain (tackle by Grover Stewart and Kwity Paye),5.91,5.17,15.0,2023,211
1.0,1:56,3.0,1.0,IND 1,0.0,0.0,Mitchell Trubisky up the middle for no gain (tackle by Samson Ebukam),5.17,3.55,15.0,2023,211
1.0,1:13,4.0,1.0,IND 1,6.0,0.0,"Mitchell Trubisky for no gain. Mitchell Trubisky fumbles (forced by E.J. Speed), recovered by Najee Harris at IND-1 Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Mitchell Trubisky up the middle for 1 yard, touchdown",3.55,7.0,15.0,2023,211
1.0,1:12,,,IND 15,6.0,0.0,Chris Boswell kicks extra point no good,0.0,-1.0,15.0,2023,211
1.0,1:12,,,PIT 35,6.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,211
1.0,1:12,1.0,10.0,IND 25,6.0,0.0,Zack Moss left guard for 3 yards (tackle by Keeanu Benton and Larry Ogunjobi),0.61,0.47,15.0,2023,211
1.0,0:34,2.0,7.0,IND 28,6.0,0.0,Gardner Minshew pass incomplete short middle intended for Michael Pittman,0.47,-0.23,15.0,2023,211
1.0,0:27,3.0,7.0,IND 28,6.0,0.0,Gardner Minshew sacked by Larry Ogunjobi for -3 yards,-0.23,-1.7,15.0,2023,211
2.0,15:00,4.0,10.0,IND 25,6.0,0.0,"blocked by Connor Heyward (tackle by Nick Cross) Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",-1.7,0.0,15.0,2023,211
2.0,14:53,1.0,10.0,IND 1,6.0,0.0,Najee Harris up the middle for -3 yards (tackle by Kwity Paye),0.0,5.34,15.0,2023,211
2.0,14:11,2.0,4.0,IND 4,12.0,0.0,"Mitchell Trubisky pass complete short left to Diontae Johnson for 4 yards, touchdown",5.34,7.0,15.0,2023,211
2.0,14:07,,,IND 15,13.0,0.0,Chris Boswell kicks extra point good,0.0,0.0,15.0,2023,211
2.0,14:07,,,PIT 35,13.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,211
