Unnamed: 0,ATL,CAR,week,year,game_id
First Downs,12,17,15.0,2023,213
Rush-Yds-TDs,31-52-0,36-129-0,15.0,2023,213
Cmp-Att-Yd-TD-INT,12-20-152-1-1,18-24-167-0-0,15.0,2023,213
Sacked-Yards,0-0,3-13,15.0,2023,213
Net Pass Yards,152,154,15.0,2023,213
Total Yards,204,283,15.0,2023,213
Fumbles-Lost,3-1,2-0,15.0,2023,213
Turnovers,2,0,15.0,2023,213
Penalties-Yards,4-25,4-35,15.0,2023,213
Third Down Conv.,6-13,5-15,15.0,2023,213
Fourth Down Conv.,0-1,0-2,15.0,2023,213
Time of Possession,26:04,33:56,15.0,2023,213
