Unnamed: 0,NYJ,MIA,week,year,game_id
First Downs,11,16,15.0,2023,218
Rush-Yds-TDs,12-23-0,28-77-2,15.0,2023,218
Cmp-Att-Yd-TD-INT,18-37-136-0-2,23-26-228-1-0,15.0,2023,218
Sacked-Yards,6-56,3-15,15.0,2023,218
Net Pass Yards,80,213,15.0,2023,218
Total Yards,103,290,15.0,2023,218
Fumbles-Lost,2-2,0-0,15.0,2023,218
Turnovers,4,0,15.0,2023,218
Penalties-Yards,7-55,9-65,15.0,2023,218
Third Down Conv.,5-13,6-15,15.0,2023,218
Fourth Down Conv.,0-2,2-2,15.0,2023,218
Time of Possession,23:39,36:21,15.0,2023,218
