Unnamed: 0,CHI,CLE,week,year,game_id
First Downs,12,14,15.0,2023,214
Rush-Yds-TDs,27-88-0,18-29-0,15.0,2023,214
Cmp-Att-Yd-TD-INT,19-40-166-1-2,29-45-379-2-3,15.0,2023,214
Sacked-Yards,3-18,4-31,15.0,2023,214
Net Pass Yards,148,348,15.0,2023,214
Total Yards,236,377,15.0,2023,214
Fumbles-Lost,4-1,1-0,15.0,2023,214
Turnovers,3,3,15.0,2023,214
Penalties-Yards,4-19,9-48,15.0,2023,214
Third Down Conv.,4-18,4-16,15.0,2023,214
Fourth Down Conv.,0-2,1-1,15.0,2023,214
Time of Possession,29:00,31:00,15.0,2023,214
