Quarter,Time,Tm,Detail,HOU,TEN,week,year,game_id
1,7:09,Titans,Will Levis 1 yard rush (Nick Folk kick failed),0,6,15.0,2023,216
2,13:56,Titans,Elijah Molden 44 yard interception return (Nick Folk kick),0,13,15.0,2023,216
,0:00,Texans,Ka'imi Fairbairn 23 yard field goal,3,13,15.0,2023,216
3,6:27,Texans,Ka'imi Fairbairn 27 yard field goal,6,13,15.0,2023,216
,2:42,Texans,Ka'imi Fairbairn 53 yard field goal,9,13,15.0,2023,216
4,7:28,Titans,Nick Folk 45 yard field goal,9,16,15.0,2023,216
,3:03,Texans,Noah Brown 3 yard pass from Case Keenum (Ka'imi Fairbairn kick),16,16,15.0,2023,216
OT,0:00,Texans,Ka'imi Fairbairn 54 yard field goal,19,16,15.0,2023,216
