Unnamed: 0,NYG,NOR,week,year,game_id
First Downs,12,20,15.0,2023,219
Rush-Yds-TDs,16-60-0,28-87-0,15.0,2023,219
Cmp-Att-Yd-TD-INT,22-38-190-0-0,23-29-218-3-0,15.0,2023,219
Sacked-Yards,7-57,1-9,15.0,2023,219
Net Pass Yards,133,209,15.0,2023,219
Total Yards,193,296,15.0,2023,219
Fumbles-Lost,0-0,0-0,15.0,2023,219
Turnovers,0,0,15.0,2023,219
Penalties-Yards,5-32,6-58,15.0,2023,219
Third Down Conv.,2-16,6-12,15.0,2023,219
Fourth Down Conv.,3-5,0-0,15.0,2023,219
Time of Possession,26:33,33:27,15.0,2023,219
