Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Bengals to receive the opening kickoff.",,,15.0,2023,210
1,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
1,15:00,1.0,10.0,CIN 25,0.0,0.0,Jake Browning pass incomplete deep right intended for Tee Higgins,0.61,0.06,15.0,2023,210
1,14:56,2.0,10.0,CIN 25,0.0,0.0,Jake Browning pass complete short left to Chase Brown for 13 yards (tackle by D.J. Wonnum),0.06,1.47,15.0,2023,210
1,14:15,1.0,10.0,CIN 38,0.0,0.0,Chase Brown right end for -1 yards (tackle by Danielle Hunter),1.47,0.79,15.0,2023,210
1,13:45,2.0,11.0,CIN 37,0.0,0.0,Jake Browning pass complete short right to Mitchell Wilcox for 10 yards (tackle by Akayleb Evans and Danielle Hunter),0.79,1.42,15.0,2023,210
1,13:06,3.0,1.0,CIN 47,0.0,0.0,Jake Browning up the middle for 3 yards (tackle by Harrison Phillips and Danielle Hunter),1.42,2.26,15.0,2023,210
1,12:25,1.0,10.0,CIN 50,0.0,0.0,Jake Browning pass complete short left to Irv Smith for 4 yards (tackle by Camryn Bynum),2.26,2.25,15.0,2023,210
1,11:42,2.0,6.0,MIN 46,0.0,0.0,Jake Browning pass complete deep right to Ja'Marr Chase for 25 yards (tackle by Akayleb Evans),2.25,4.17,15.0,2023,210
1,10:59,,,,,,Timeout #1 by Cincinnati Bengals,,,15.0,2023,210
1,10:59,1.0,10.0,MIN 21,0.0,0.0,Joe Mixon up the middle for 4 yards (tackle by Akayleb Evans),4.17,4.2,15.0,2023,210
1,10:20,2.0,6.0,MIN 17,0.0,0.0,Jake Browning pass complete short left to Tanner Hudson for 5 yards (tackle by Byron Murphy),4.2,4.49,15.0,2023,210
1,9:29,3.0,1.0,MIN 12,0.0,0.0,Tanner Hudson sacked by Danielle Hunter for -4 yards,4.49,2.43,15.0,2023,210
1,8:45,4.0,5.0,MIN 16,0.0,3.0,Evan McPherson 34 yard field goal good,2.43,3.0,15.0,2023,210
1,8:41,,,CIN 35,0.0,3.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
1,8:41,1.0,10.0,MIN 25,0.0,3.0,Ty Chandler left guard for 9 yards (tackle by Germaine Pratt),0.61,1.28,15.0,2023,210
1,8:04,2.0,1.0,MIN 34,0.0,3.0,Ty Chandler right guard for no gain (tackle by Sam Hubbard),1.28,0.56,15.0,2023,210
