Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Bills to receive the opening kickoff.",,,15.0,2023,222
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,222
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,James Cook right guard for 2 yards (tackle by DeMarcus Lawrence),0.61,0.33,15.0,2023,222
1.0,14:23,2.0,8.0,BUF 27,0.0,0.0,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by DeMarcus Lawrence),0.33,0.43,15.0,2023,222
1.0,13:40,3.0,2.0,BUF 33,0.0,0.0,Josh Allen left tackle for 5 yards (tackle by Chauncey Golston),0.43,1.47,15.0,2023,222
1.0,13:06,1.0,10.0,BUF 38,0.0,0.0,James Cook left tackle for 10 yards (tackle by Donovan Wilson and Mazi Smith),1.47,2.13,15.0,2023,222
1.0,12:26,1.0,10.0,BUF 48,0.0,0.0,James Cook left tackle for 12 yards (tackle by Micah Parsons and Donovan Wilson),2.13,2.92,15.0,2023,222
1.0,11:35,1.0,10.0,DAL 40,0.0,0.0,Josh Allen pass complete deep left to Stefon Diggs for 18 yards (tackle by Stephon Gilmore),2.92,4.11,15.0,2023,222
1.0,10:56,1.0,10.0,DAL 22,0.0,0.0,James Cook left guard for 7 yards (tackle by Damone Clark and Markquese Bell),4.11,4.65,15.0,2023,222
1.0,10:24,2.0,3.0,DAL 15,0.0,0.0,James Cook up the middle for 3 yards (tackle by Damone Clark and Donovan Wilson),4.65,4.78,15.0,2023,222
1.0,9:44,1.0,10.0,DAL 12,0.0,0.0,Josh Allen pass incomplete short right,4.78,4.1,15.0,2023,222
1.0,9:40,2.0,10.0,DAL 12,0.0,0.0,Ty Johnson left guard for 6 yards (tackle by Jayron Kearse and Israel Mukuamu),4.1,4.38,15.0,2023,222
1.0,9:00,3.0,4.0,DAL 6,0.0,0.0,"Josh Allen pass incomplete short right intended for Stefon Diggs. Penalty on DeMarcus Lawrence: Roughing the Passer, 3 yards (accepted) (no play)",4.38,6.51,15.0,2023,222
1.0,8:54,1.0,3.0,DAL 3,0.0,0.0,Josh Allen up the middle for 1 yard (tackle by DeMarcus Lawrence),6.51,5.72,15.0,2023,222
1.0,8:18,2.0,2.0,DAL 2,0.0,6.0,"Latavius Murray left guard for 2 yards, touchdown",5.72,7.0,15.0,2023,222
1.0,8:06,,,DAL 15,0.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,15.0,2023,222
1.0,8:06,,,BUF 35,0.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,222
