Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Eagles to receive the opening kickoff.",,,15.0,2023,224
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 53 yards, returned by Boston Scott for 13 yards (tackle by Derick Hall)",0.0,0.61,15.0,2023,224
1.0,14:56,1.0,10.0,PHI 25,0.0,0.0,Jalen Hurts right tackle for 13 yards (tackle by Bobby Wagner and Julian Love),0.61,1.47,15.0,2023,224
1.0,14:17,1.0,10.0,PHI 38,0.0,0.0,D'Andre Swift left end for 4 yards (tackle by Quandre Diggs),1.47,1.46,15.0,2023,224
1.0,13:38,2.0,6.0,PHI 42,0.0,0.0,D'Andre Swift left guard for -3 yards (tackle by Leonard Williams),1.46,0.37,15.0,2023,224
1.0,12:56,3.0,9.0,PHI 39,0.0,0.0,Jalen Hurts pass complete short middle to Dallas Goedert for 18 yards (tackle by Bobby Wagner),0.37,2.72,15.0,2023,224
1.0,12:26,1.0,10.0,SEA 43,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 5 yards (tackle by Quandre Diggs),2.72,2.85,15.0,2023,224
1.0,11:53,2.0,5.0,SEA 38,0.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for -1 yards (tackle by Artie Burns),2.85,2.01,15.0,2023,224
1.0,11:08,,,,,,Timeout #1 by Philadelphia Eagles,,,15.0,2023,224
1.0,11:08,3.0,6.0,SEA 39,0.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 11 yards (tackle by Bobby Wagner),2.01,3.71,15.0,2023,224
1.0,10:35,1.0,10.0,SEA 28,0.0,0.0,Kenneth Gainwell up the middle for 5 yards (tackle by Julian Love),3.71,3.84,15.0,2023,224
1.0,10:09,2.0,5.0,SEA 23,0.0,0.0,Kenneth Gainwell right tackle for 8 yards (tackle by Bobby Wagner and Artie Burns),3.84,4.58,15.0,2023,224
1.0,9:43,1.0,10.0,SEA 15,0.0,0.0,Dallas Goedert right end for 1 yard (tackle by Tre Brown and Jordyn Brooks),4.58,4.11,15.0,2023,224
1.0,8:58,2.0,9.0,SEA 14,0.0,0.0,Jalen Hurts pass complete short left to D'Andre Swift for 6 yards (tackle by Artie Burns),4.11,4.45,15.0,2023,224
1.0,8:20,3.0,3.0,SEA 8,0.0,0.0,Kenneth Gainwell up the middle for 4 yards (tackle by Jordyn Brooks and Quandre Diggs),4.45,6.28,15.0,2023,224
1.0,7:52,1.0,4.0,SEA 4,0.0,0.0,Kenneth Gainwell left guard for 1 yard (tackle by Mario Edwards),6.28,5.53,15.0,2023,224
1.0,7:17,2.0,3.0,SEA 3,0.0,0.0,D'Andre Swift up the middle for no gain (tackle by Julian Love and Jarran Reed),5.53,4.72,15.0,2023,224
1.0,6:36,3.0,3.0,SEA 3,6.0,0.0,"Jalen Hurts left end for 3 yards, touchdown",4.72,7.0,15.0,2023,224
1.0,6:31,,,SEA 15,7.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,15.0,2023,224
1.0,6:31,,,PHI 35,7.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
1.0,6:31,1.0,10.0,SEA 25,7.0,0.0,"Penalty on Will Dissly: False Start, 5 yards (accepted) (no play)",0.61,0.28,15.0,2023,224
1.0,6:31,1.0,15.0,SEA 20,7.0,0.0,Drew Lock pass complete short left to Kenneth Walker for 3 yards (tackle by Nicholas Morrow),0.28,-0.21,15.0,2023,224
1.0,5:58,2.0,12.0,SEA 23,7.0,0.0,Kenneth Walker right guard for 3 yards (tackle by Milton Williams),-0.21,-0.49,15.0,2023,224
1.0,5:19,3.0,9.0,SEA 26,7.0,0.0,Drew Lock pass complete short middle to D.K. Metcalf for 8 yards (tackle by Bradley Roby),-0.49,-1.11,15.0,2023,224
1.0,4:38,4.0,1.0,SEA 34,7.0,0.0,"Michael Dickson punts 54 yards, fair catch by Britain Covey at PHI-12",-1.11,0.35,15.0,2023,224
1.0,4:29,1.0,10.0,PHI 12,7.0,0.0,D'Andre Swift left guard for 5 yards (tackle by Jordyn Brooks),-0.35,-0.23,15.0,2023,224
1.0,3:52,2.0,5.0,PHI 17,7.0,0.0,Jalen Hurts pass incomplete deep left intended for D'Andre Swift,-0.23,-0.84,15.0,2023,224
1.0,3:47,3.0,5.0,PHI 17,7.0,0.0,"Penalty on Jalen Hurts: False Start, 5 yards (accepted) (no play)",-0.84,-1.42,15.0,2023,224
1.0,3:47,3.0,10.0,PHI 12,7.0,0.0,Jalen Hurts pass incomplete short middle intended for Dallas Goedert,-1.42,-2.49,15.0,2023,224
1.0,3:43,4.0,10.0,PHI 12,7.0,0.0,Braden Mann punts 61 yards downed by Josh Jobe,-2.49,-0.74,15.0,2023,224
1.0,3:29,1.0,10.0,SEA 27,7.0,0.0,Kenneth Walker left end for -6 yards (tackle by Josh Sweat),0.74,-0.61,15.0,2023,224
1.0,2:50,2.0,16.0,SEA 21,7.0,0.0,Drew Lock pass complete short middle to Colby Parkinson for 6 yards (tackle by Nicholas Morrow and Shaquille Leonard),-0.61,-0.49,15.0,2023,224
1.0,2:12,3.0,10.0,SEA 27,7.0,0.0,Drew Lock pass complete short middle to Tyler Lockett for 12 yards (tackle by Haason Reddick),-0.49,1.53,15.0,2023,224
1.0,1:45,1.0,10.0,SEA 39,7.0,0.0,Drew Lock pass complete short right to Tyler Lockett for 5 yards (tackle by Sydney Brown),1.53,1.66,15.0,2023,224
1.0,1:10,2.0,5.0,SEA 44,7.0,0.0,Kenneth Walker up the middle for 4 yards (tackle by Sydney Brown),1.66,1.49,15.0,2023,224
1.0,0:31,3.0,1.0,SEA 48,7.0,0.0,"Penalty on Noah Fant: False Start, 5 yards (accepted) (no play)",1.49,0.83,15.0,2023,224
1.0,0:09,3.0,6.0,SEA 43,7.0,0.0,Drew Lock pass incomplete short right intended for Noah Fant,0.83,-0.52,15.0,2023,224
1.0,0:05,4.0,6.0,SEA 43,7.0,0.0,"Michael Dickson punts 45 yards downed by Jon Rhattigan. Penalty on Jon Rhattigan: Illegal Bat / Offense, 10 yards (accepted) (no play)",-0.52,-1.18,15.0,2023,224
2.0,15:00,4.0,16.0,SEA 33,7.0,0.0,"Michael Dickson punts 54 yards, returned by Britain Covey for 16 yards (tackle by Will Dissly and Jon Rhattigan)",-1.18,-0.87,15.0,2023,224
2.0,14:46,1.0,10.0,PHI 29,7.0,0.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Artie Burns),0.87,0.33,15.0,2023,224
2.0,14:43,2.0,10.0,PHI 29,7.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 9 yards (tackle by Tre Brown),0.33,0.83,15.0,2023,224
2.0,14:08,3.0,1.0,PHI 38,7.0,0.0,Jalen Hurts up the middle for 2 yards (tackle by Bobby Wagner),0.83,1.6,15.0,2023,224
2.0,13:34,1.0,10.0,PHI 40,7.0,0.0,D'Andre Swift up the middle for 4 yards (tackle by Cameron Young),1.6,1.59,15.0,2023,224
2.0,12:56,2.0,6.0,PHI 44,7.0,0.0,Jalen Hurts left end for 7 yards (tackle by Julian Love),1.59,2.32,15.0,2023,224
2.0,12:26,1.0,10.0,SEA 49,7.0,0.0,D'Andre Swift up the middle for 4 yards (tackle by Bobby Wagner and Mario Edwards),2.32,2.32,15.0,2023,224
2.0,11:47,2.0,6.0,SEA 45,7.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Julian Love and Riq Woolen),2.32,3.25,15.0,2023,224
2.0,11:26,1.0,10.0,SEA 35,7.0,0.0,D'Andre Swift right guard for 11 yards (tackle by Julian Love),3.25,3.97,15.0,2023,224
2.0,11:03,1.0,10.0,SEA 24,7.0,0.0,D'Andre Swift right tackle for 2 yards (tackle by Artie Burns),3.97,3.7,15.0,2023,224
2.0,10:21,2.0,8.0,SEA 22,7.0,0.0,Jalen Hurts right end for 2 yards (tackle by Leonard Williams),3.7,3.27,15.0,2023,224
2.0,9:39,3.0,6.0,SEA 20,7.0,0.0,Jalen Hurts right guard for 2 yards (tackle by Leonard Williams and Jordyn Brooks),3.27,2.32,15.0,2023,224
2.0,8:48,4.0,4.0,SEA 18,7.0,0.0,Jalen Hurts pass complete short middle to Julio Jones for 6 yards (tackle by Quandre Diggs),2.32,4.78,15.0,2023,224
2.0,8:27,1.0,10.0,SEA 12,7.0,0.0,Kenneth Gainwell up the middle for no gain (tackle by Boye Mafe),4.78,4.1,15.0,2023,224
2.0,7:51,2.0,10.0,SEA 12,7.0,0.0,D'Andre Swift right guard for 9 yards (tackle by Jordyn Brooks),4.1,5.06,15.0,2023,224
2.0,7:19,3.0,1.0,SEA 3,7.0,0.0,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",5.06,3.93,15.0,2023,224
2.0,7:02,3.0,6.0,SEA 8,7.0,0.0,D'Andre Swift left guard for no gain (tackle by Quandre Diggs),3.93,2.96,15.0,2023,224
2.0,6:24,4.0,6.0,SEA 8,10.0,0.0,Jake Elliott 27 yard field goal good,2.96,3.0,15.0,2023,224
2.0,6:20,,,PHI 35,10.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
2.0,6:20,1.0,10.0,SEA 25,10.0,0.0,"Drew Lock pass incomplete deep left intended for D.K. Metcalf. Penalty on Josh Jobe: Defensive Pass Interference, 20 yards (accepted) (no play)",0.61,1.93,15.0,2023,224
2.0,6:15,1.0,10.0,SEA 45,10.0,0.0,Drew Lock pass complete short right to Jaxon Smith-Njigba for 3 yards (tackle by Sydney Brown),1.93,1.79,15.0,2023,224
2.0,5:51,2.0,7.0,SEA 48,10.0,0.0,Kenneth Walker right guard for 6 yards (tackle by Kevin Byard and Shaquille Leonard),1.79,1.88,15.0,2023,224
2.0,5:13,3.0,1.0,PHI 46,10.0,0.0,Kenneth Walker right guard for 1 yard (tackle by Nolan Smith and Shaquille Leonard),1.88,2.59,15.0,2023,224
2.0,4:26,1.0,10.0,PHI 45,10.0,0.0,Drew Lock pass complete short middle to Will Dissly for 5 yards (tackle by Sydney Brown),2.59,2.72,15.0,2023,224
2.0,3:44,2.0,5.0,PHI 40,10.0,0.0,Kenneth Walker right guard for 13 yards (tackle by Kevin Byard),2.72,3.78,15.0,2023,224
2.0,3:09,1.0,10.0,PHI 27,10.0,0.0,Kenneth Walker left end for no gain (tackle by Kelee Ringo),3.78,3.23,15.0,2023,224
2.0,2:21,2.0,10.0,PHI 27,10.0,0.0,Drew Lock pass incomplete short left intended for Zach Charbonnet,3.23,2.54,15.0,2023,224
2.0,2:17,3.0,10.0,PHI 27,10.0,0.0,Drew Lock pass complete short middle to Jaxon Smith-Njigba for 13 yards (tackle by Reed Blankenship),2.54,4.65,15.0,2023,224
2.0,2:00,1.0,10.0,PHI 14,10.0,0.0,Zach Charbonnet left guard for 3 yards (tackle by Brandon Graham),4.65,4.52,15.0,2023,224
2.0,1:53,,,,,,Timeout #2 by Philadelphia Eagles,,,15.0,2023,224
2.0,1:53,2.0,7.0,PHI 11,10.0,0.0,Drew Lock pass incomplete short right intended for D.K. Metcalf (defended by Kelee Ringo),4.52,3.62,15.0,2023,224
2.0,1:50,3.0,7.0,PHI 11,10.0,0.0,Drew Lock pass complete short middle to Jaxon Smith-Njigba for 3 yards (tackle by Reed Blankenship),3.62,2.98,15.0,2023,224
2.0,1:45,,,,,,Timeout #3 by Philadelphia Eagles,,,15.0,2023,224
2.0,1:45,,,,,,Timeout #1 by Seattle Seahawks,,,15.0,2023,224
2.0,1:45,4.0,4.0,PHI 8,10.0,3.0,Jason Myers 26 yard field goal good,2.98,3.0,15.0,2023,224
2.0,1:42,,,SEA 35,10.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
2.0,1:42,1.0,10.0,PHI 25,10.0,3.0,"Jalen Hurts pass complete short right to DeVonta Smith for 15 yards (tackle by Tre Brown). Penalty on Dre'Mont Jones: Illegal Use of Hands / Defense, 5 yards (declined)",0.61,1.6,15.0,2023,224
2.0,1:33,1.0,10.0,PHI 40,10.0,3.0,Jalen Hurts pass incomplete short left,1.6,1.05,15.0,2023,224
2.0,1:27,2.0,10.0,PHI 40,10.0,3.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Boye Mafe),1.05,0.37,15.0,2023,224
2.0,1:23,3.0,10.0,PHI 40,10.0,3.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.37,-0.72,15.0,2023,224
2.0,1:19,4.0,10.0,PHI 40,10.0,3.0,"Braden Mann punts 45 yards, returned by DeeJay Dallas for 4 yards (tackle by Reed Blankenship)",-0.72,-0.15,15.0,2023,224
2.0,1:08,1.0,10.0,SEA 19,10.0,3.0,Drew Lock pass complete short middle to Noah Fant for 6 yards (tackle by Sydney Brown and Nicholas Morrow),0.15,0.48,15.0,2023,224
2.0,0:50,2.0,4.0,SEA 25,10.0,3.0,"Drew Lock pass incomplete short right. Penalty on Drew Lock: Intentional Grounding, 10 yards (accepted)",0.48,-1.76,15.0,2023,224
2.0,0:45,3.0,14.0,SEA 15,10.0,3.0,"Zach Charbonnet right tackle for 2 yards (tackle by Nicholas Morrow and Kevin Byard). Penalty on Evan Brown: Offensive Holding, 10 yards (declined)",-1.76,-2.32,15.0,2023,224
2.0,0:37,4.0,12.0,SEA 17,10.0,3.0,"Michael Dickson punts 56 yards, returned by Britain Covey for 5 yards (tackle by Julian Love)",-2.32,-1.07,15.0,2023,224
2.0,0:27,1.0,10.0,PHI 32,10.0,3.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,1.07,0.53,15.0,2023,224
2.0,0:22,2.0,10.0,PHI 32,10.0,3.0,Jalen Hurts scrambles left tackle for 6 yards (tackle by Jordyn Brooks),0.53,0.63,15.0,2023,224
2.0,0:15,3.0,4.0,PHI 38,10.0,3.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell (defended by Michael Jackson),0.63,-0.85,15.0,2023,224
2.0,0:08,4.0,4.0,PHI 38,10.0,3.0,Braden Mann punts 50 yards out of bounds,-0.85,1.47,15.0,2023,224
3.0,15:00,,,PHI 35,10.0,3.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
3.0,15:00,1.0,10.0,SEA 25,10.0,3.0,Drew Lock pass complete short right to Kenneth Walker for 8 yards (tackle by Kevin Byard),0.61,1.14,15.0,2023,224
3.0,14:34,2.0,2.0,SEA 33,10.0,3.0,Kenneth Walker right guard for 2 yards (tackle by Kevin Byard and Eli Ricks),1.14,1.27,15.0,2023,224
3.0,13:49,1.0,10.0,SEA 35,10.0,3.0,Kenneth Walker right guard for 7 yards (tackle by Eli Ricks),1.27,1.67,15.0,2023,224
3.0,13:19,2.0,3.0,SEA 42,10.0,3.0,Drew Lock pass complete short left to Kenneth Walker for 15 yards (tackle by Nicholas Morrow),1.67,2.72,15.0,2023,224
3.0,12:38,1.0,10.0,PHI 43,10.0,3.0,Zach Charbonnet up the middle for 6 yards (tackle by Milton Williams),2.72,2.99,15.0,2023,224
3.0,11:59,2.0,4.0,PHI 37,10.0,3.0,Zach Charbonnet left guard for 5 yards (tackle by Haason Reddick),2.99,3.45,15.0,2023,224
3.0,11:13,1.0,10.0,PHI 32,10.0,3.0,Drew Lock pass complete short left to Jake Bobo for 4 yards (tackle by Nolan Smith),3.45,3.44,15.0,2023,224
3.0,10:35,2.0,6.0,PHI 28,10.0,3.0,Drew Lock pass complete short left to Noah Fant for 5 yards (tackle by Nicholas Morrow),3.44,3.4,15.0,2023,224
3.0,10:13,3.0,1.0,PHI 23,10.0,9.0,"Kenneth Walker right guard for 23 yards, touchdown",3.4,7.0,15.0,2023,224
3.0,10:05,,,PHI 15,10.0,10.0,Jason Myers kicks extra point good,0.0,0.0,15.0,2023,224
3.0,10:05,,,SEA 35,10.0,10.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
3.0,10:05,1.0,10.0,PHI 25,10.0,10.0,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Michael Jackson),0.61,1.28,15.0,2023,224
3.0,9:43,2.0,1.0,PHI 34,10.0,10.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert,1.28,0.56,15.0,2023,224
3.0,9:39,3.0,1.0,PHI 34,10.0,10.0,D'Andre Swift left tackle for 3 yards (tackle by Michael Jackson),0.56,1.4,15.0,2023,224
3.0,9:33,1.0,10.0,PHI 37,10.0,10.0,"Penalty on Jordyn Brooks: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.4,1.73,15.0,2023,224
3.0,9:09,1.0,10.0,PHI 42,10.0,10.0,Jalen Hurts scrambles right end for 13 yards (tackle by Tre Brown),1.73,2.59,15.0,2023,224
3.0,8:44,1.0,10.0,SEA 45,10.0,10.0,D'Andre Swift left guard for 6 yards (tackle by Jordyn Brooks),2.59,2.85,15.0,2023,224
3.0,8:08,2.0,4.0,SEA 39,10.0,10.0,Jalen Hurts pass complete short left to D'Andre Swift for -5 yards (tackle by Leonard Williams),2.85,1.49,15.0,2023,224
3.0,7:22,3.0,9.0,SEA 44,10.0,10.0,Jalen Hurts pass complete short right to A.J. Brown for 11 yards (tackle by Tre Brown),1.49,3.38,15.0,2023,224
3.0,6:55,1.0,10.0,SEA 33,10.0,10.0,Jalen Hurts pass complete short left to Dallas Goedert for -3 yards (tackle by Michael Jackson),3.38,2.43,15.0,2023,224
3.0,6:10,2.0,13.0,SEA 36,10.0,10.0,Jalen Hurts pass complete short left to Dallas Goedert for 10 yards (tackle by Michael Jackson),2.43,3.07,15.0,2023,224
3.0,5:43,3.0,3.0,SEA 26,10.0,10.0,Jalen Hurts pass complete deep right to DeVonta Smith for 17 yards (tackle by Quandre Diggs),3.07,5.14,15.0,2023,224
3.0,5:16,1.0,9.0,SEA 9,10.0,10.0,D'Andre Swift left end for 8 yards (tackle by Bobby Wagner),5.14,5.91,15.0,2023,224
3.0,4:44,2.0,1.0,SEA 1,16.0,10.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.91,7.0,15.0,2023,224
3.0,4:43,,,SEA 15,17.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,15.0,2023,224
3.0,4:43,,,PHI 35,17.0,10.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
3.0,4:43,1.0,10.0,SEA 25,17.0,10.0,Drew Lock pass incomplete deep right intended for Tyler Lockett,0.61,0.06,15.0,2023,224
3.0,4:37,2.0,10.0,SEA 25,17.0,10.0,Kenneth Walker left guard for 1 yard (tackle by Nolan Smith and Nicholas Morrow),0.06,-0.49,15.0,2023,224
3.0,3:57,3.0,9.0,SEA 26,17.0,10.0,Drew Lock sacked by Fletcher Cox for -4 yards,-0.49,-1.9,15.0,2023,224
3.0,3:19,4.0,13.0,SEA 22,17.0,10.0,"Michael Dickson punts 57 yards, fair catch by Britain Covey at PHI-21",-1.9,-0.34,15.0,2023,224
3.0,3:09,1.0,10.0,PHI 21,17.0,10.0,D'Andre Swift left guard for 2 yards (tackle by Darrell Taylor),0.34,0.07,15.0,2023,224
3.0,2:44,2.0,8.0,PHI 23,17.0,10.0,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",0.07,-0.7,15.0,2023,224
3.0,2:27,2.0,13.0,PHI 18,17.0,10.0,Jalen Hurts scrambles right end for 5 yards (tackle by Darrell Taylor),-0.7,-0.63,15.0,2023,224
3.0,1:41,3.0,8.0,PHI 23,17.0,10.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,-0.63,-1.83,15.0,2023,224
3.0,1:36,4.0,8.0,PHI 23,17.0,10.0,"Braden Mann punts 50 yards, returned by DeeJay Dallas for 3 yards (tackle by Josh Jobe)",-1.83,-0.94,15.0,2023,224
3.0,1:26,1.0,10.0,SEA 30,17.0,10.0,Kenneth Walker up the middle for 7 yards (tackle by Kelee Ringo),0.94,1.34,15.0,2023,224
3.0,0:45,2.0,3.0,SEA 37,17.0,10.0,Kenneth Walker up the middle for 13 yards (tackle by Kelee Ringo and Reed Blankenship),1.34,2.26,15.0,2023,224
4.0,15:00,1.0,10.0,SEA 50,17.0,10.0,Kenneth Walker left guard for 9 yards (tackle by Jordan Davis),2.26,2.93,15.0,2023,224
4.0,14:16,2.0,1.0,PHI 41,17.0,10.0,Kenneth Walker up the middle for 3 yards (tackle by Reed Blankenship),2.93,3.05,15.0,2023,224
4.0,13:35,1.0,10.0,PHI 38,17.0,10.0,Drew Lock pass complete short left to Will Dissly for 4 yards (tackle by Milton Williams),3.05,3.05,15.0,2023,224
4.0,12:54,2.0,6.0,PHI 34,17.0,10.0,Drew Lock pass complete short left to Tyler Lockett for 4 yards (tackle by James Bradberry),3.05,2.87,15.0,2023,224
4.0,12:10,3.0,2.0,PHI 30,17.0,10.0,Kenneth Walker right guard for -1 yards (tackle by Nicholas Morrow),2.87,1.38,15.0,2023,224
4.0,11:21,,,,,,Timeout #1 by Seattle Seahawks,,,15.0,2023,224
4.0,11:21,4.0,3.0,PHI 31,17.0,10.0,"Drew Lock pass incomplete short right intended for D.K. Metcalf. Penalty on James Bradberry: Defensive Pass Interference, 5 yards (accepted) (no play)",1.38,3.84,15.0,2023,224
4.0,11:18,1.0,10.0,PHI 26,17.0,10.0,Kenneth Walker up the middle for -4 yards (tackle by Bradley Roby),3.84,2.76,15.0,2023,224
4.0,10:39,2.0,14.0,PHI 30,17.0,10.0,Drew Lock pass complete short left to D.K. Metcalf for 12 yards (tackle by James Bradberry and Reed Blankenship),2.76,3.75,15.0,2023,224
4.0,10:09,3.0,2.0,PHI 18,17.0,10.0,"Drew Lock pass incomplete short middle intended for Kenneth Walker PHI challenged the runner was down by contact ruling, and the original play was overturned. Drew Lock sacked by Jalen Carter for -7 yards",3.75,1.8,15.0,2023,224
4.0,10:05,,,,,,Timeout #2 by Seattle Seahawks,,,15.0,2023,224
4.0,10:05,4.0,9.0,PHI 25,17.0,13.0,Jason Myers 43 yard field goal good,1.8,3.0,15.0,2023,224
4.0,10:00,,,SEA 35,17.0,13.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
4.0,10:00,1.0,10.0,PHI 25,17.0,13.0,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Quandre Diggs and Tre Brown),0.61,1.6,15.0,2023,224
4.0,9:25,1.0,10.0,PHI 40,17.0,13.0,D'Andre Swift up the middle for 5 yards (tackle by Cameron Young),1.6,1.73,15.0,2023,224
4.0,8:50,2.0,5.0,PHI 45,17.0,13.0,Jalen Hurts pass complete short left to DeVonta Smith for 10 yards (tackle by Julian Love),1.73,2.59,15.0,2023,224
4.0,8:15,1.0,10.0,SEA 45,17.0,13.0,Jalen Hurts pass deep left intended for Quez Watkins is intercepted by Julian Love in end zone and returned for no gain,2.59,-0.28,15.0,2023,224
4.0,8:08,1.0,10.0,SEA 20,17.0,13.0,Kenneth Walker right guard for 4 yards (tackle by Shaquille Leonard),0.28,0.27,15.0,2023,224
4.0,7:32,2.0,6.0,SEA 24,17.0,13.0,Kenneth Walker left guard for 1 yard (tackle by Jordan Davis),0.27,-0.3,15.0,2023,224
4.0,6:48,3.0,5.0,SEA 25,17.0,13.0,Drew Lock pass incomplete short right intended for Tyler Lockett,-0.3,-1.7,15.0,2023,224
4.0,6:45,4.0,5.0,SEA 25,17.0,13.0,"Michael Dickson punts 59 yards, returned by Britain Covey for 9 yards (tackle by Nick Bellore)",-1.7,-0.61,15.0,2023,224
4.0,6:35,1.0,10.0,PHI 25,17.0,13.0,Kenneth Gainwell left guard for 3 yards (tackle by Julian Love and Jarran Reed),0.61,0.47,15.0,2023,224
4.0,5:53,2.0,7.0,PHI 28,17.0,13.0,Jalen Hurts scrambles up the middle for 6 yards (tackle by Bobby Wagner and Artie Burns),0.47,0.56,15.0,2023,224
4.0,5:15,3.0,1.0,PHI 34,17.0,13.0,Jalen Hurts up the middle for 2 yards (tackle by Bobby Wagner),0.56,1.33,15.0,2023,224
4.0,4:32,1.0,10.0,PHI 36,17.0,13.0,D'Andre Swift left end for 11 yards (tackle by Dre'Mont Jones),1.33,2.06,15.0,2023,224
4.0,3:47,1.0,10.0,PHI 47,17.0,13.0,D'Andre Swift left guard for 3 yards (tackle by Bobby Wagner and Dre'Mont Jones),2.06,1.92,15.0,2023,224
4.0,2:59,2.0,7.0,SEA 50,17.0,13.0,D'Andre Swift up the middle for no gain (tackle by Leonard Williams),1.92,1.22,15.0,2023,224
4.0,2:15,3.0,7.0,SEA 50,17.0,13.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,1.22,-0.06,15.0,2023,224
4.0,2:04,4.0,7.0,SEA 50,17.0,13.0,Braden Mann punts 42 yards downed by Ben VanSumeren,-0.06,0.38,15.0,2023,224
4.0,1:52,1.0,10.0,SEA 8,17.0,13.0,Drew Lock pass incomplete short middle intended for Noah Fant,-0.38,-0.78,15.0,2023,224
4.0,1:47,2.0,10.0,SEA 8,17.0,13.0,Drew Lock pass complete short middle to D.K. Metcalf for 18 yards (tackle by James Bradberry and Reed Blankenship),-0.78,0.67,15.0,2023,224
