Quarter,Time,Tm,Detail,DEN,DET,week,year,game_id
2.0,12:31,Lions,Sam LaPorta 19 yard pass from Jared Goff (Michael Badgley kick),0,7,15.0,2023,212
,8:15,Lions,Jahmyr Gibbs 9 yard pass from Jared Goff (Michael Badgley kick),0,14,15.0,2023,212
,0:19,Lions,Amon-Ra St. Brown 15 yard pass from Jared Goff (Michael Badgley kick),0,21,15.0,2023,212
3.0,10:34,Broncos,Lil'Jordan Humphrey 3 yard pass from Russell Wilson (Wil Lutz kick),7,21,15.0,2023,212
,6:57,Lions,Sam LaPorta 3 yard pass from Jared Goff (Michael Badgley kick),7,28,15.0,2023,212
,0:43,Broncos,Wil Lutz 23 yard field goal,10,28,15.0,2023,212
4.0,12:12,Lions,Jahmyr Gibbs 12 yard rush (Michael Badgley kick),10,35,15.0,2023,212
,6:28,Broncos,Russell Wilson 1 yard rush (Wil Lutz kick),17,35,15.0,2023,212
,2:21,Lions,Sam LaPorta 10 yard pass from Jared Goff (Michael Badgley kick),17,42,15.0,2023,212
