Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Russell Wilson,DEN,0,0,0,0,0,16.0,2022,238
Brett Rypien,DEN,0,0,0,0,0,16.0,2022,238
Latavius Murray,DEN,3,1,6,0,6,16.0,2022,238
Chase Edmonds,DEN,2,2,22,0,19,16.0,2022,238
Marlon Mack,DEN,1,0,0,0,0,16.0,2022,238
Jerry Jeudy,DEN,10,6,117,0,36,16.0,2022,238
Courtland Sutton,DEN,7,5,64,0,20,16.0,2022,238
Greg Dulcich,DEN,8,4,39,1,11,16.0,2022,238
Freddie Swain,DEN,2,1,11,0,11,16.0,2022,238
Jalen Virgil,DEN,1,0,0,0,0,16.0,2022,238
Baker Mayfield,LAR,0,0,0,0,0,16.0,2022,238
Cam Akers,LAR,2,2,29,0,17,16.0,2022,238
Malcolm Brown,LAR,1,1,2,0,2,16.0,2022,238
Kyren Williams,LAR,1,1,3,0,3,16.0,2022,238
Brandon Powell,LAR,3,3,12,0,8,16.0,2022,238
Tyler Higbee,LAR,11,9,94,2,21,16.0,2022,238
Brycen Hopkins,LAR,3,3,57,0,22,16.0,2022,238
Van Jefferson,LAR,5,3,19,0,11,16.0,2022,238
Tutu Atwell,LAR,2,2,14,0,7,16.0,2022,238
Bryce Perkins,LAR,0,0,0,0,0,16.0,2022,238
