Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Joe Burrow,CIN,4,5,0,5,16.0,2022,229
Joe Mixon,CIN,16,65,0,19,16.0,2022,229
Samaje Perine,CIN,4,3,0,3,16.0,2022,229
Tee Higgins,CIN,0,0,0,0,16.0,2022,229
Ja'Marr Chase,CIN,0,0,0,0,16.0,2022,229
Trenton Irwin,CIN,0,0,0,0,16.0,2022,229
Mitchell Wilcox,CIN,0,0,0,0,16.0,2022,229
Tyler Boyd,CIN,0,0,0,0,16.0,2022,229
Devin Asiasi,CIN,0,0,0,0,16.0,2022,229
Mac Jones,NWE,1,-1,0,-1,16.0,2022,229
Rhamondre Stevenson,NWE,13,30,0,7,16.0,2022,229
Kendrick Bourne,NWE,1,29,0,29,16.0,2022,229
Kevin Harris,NWE,1,3,0,3,16.0,2022,229
Jakobi Meyers,NWE,0,0,0,0,16.0,2022,229
Jonnu Smith,NWE,0,0,0,0,16.0,2022,229
Marcus Jones,NWE,0,0,0,0,16.0,2022,229
Pierre Strong,NWE,0,0,0,0,16.0,2022,229
Tyquan Thornton,NWE,0,0,0,0,16.0,2022,229
