Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Desmond Ridder,ATL,0,0,0,0,0,16.0,2022,226
Tyler Allgeier,ATL,5,4,43,0,26,16.0,2022,226
Cordarrelle Patterson,ATL,1,1,14,0,14,16.0,2022,226
Avery Williams,ATL,2,2,14,0,7,16.0,2022,226
Drake London,ATL,9,7,96,0,20,16.0,2022,226
Olamide Zaccheaus,ATL,7,4,18,0,10,16.0,2022,226
Damiere Byrd,ATL,2,1,15,0,15,16.0,2022,226
Anthony Firkser,ATL,3,2,10,0,5,16.0,2022,226
Parker Hesse,ATL,1,1,8,0,8,16.0,2022,226
MyCole Pruitt,ATL,1,0,0,0,0,16.0,2022,226
Tyler Huntley,BAL,0,0,0,0,0,16.0,2022,226
Gus Edwards,BAL,0,0,0,0,0,16.0,2022,226
J.K. Dobbins,BAL,1,0,0,0,0,16.0,2022,226
Mark Andrews,BAL,5,3,45,0,36,16.0,2022,226
Sammy Watkins,BAL,1,1,40,0,40,16.0,2022,226
DeSean Jackson,BAL,2,1,10,0,10,16.0,2022,226
Josh Oliver,BAL,3,1,6,0,6,16.0,2022,226
Demarcus Robinson,BAL,1,1,6,1,6,16.0,2022,226
Isaiah Likely,BAL,2,1,4,0,4,16.0,2022,226
Justice Hill,BAL,1,1,4,0,4,16.0,2022,226
