Rk,Tm,G,Downs 3DAtt,Downs 3DConv,Downs 3D%,Downs 4DAtt,Downs 4DConv,Downs 4D%,Red Zone RZAtt,Red Zone RZTD,Red Zone RZPct
1.0,Washington Commanders,17.0,210.0,67.0,31.9%,25.0,12.0,48.0%,52.0,27.0,51.9%
2.0,New York Giants,17.0,205.0,72.0,35.1%,17.0,11.0,64.7%,63.0,31.0,49.2%
3.0,Baltimore Ravens,17.0,209.0,73.0,34.9%,24.0,15.0,62.5%,56.0,26.0,46.4%
4.0,Green Bay Packers,17.0,194.0,73.0,37.6%,19.0,11.0,57.9%,54.0,29.0,53.7%
5.0,Denver Broncos,17.0,220.0,75.0,34.1%,14.0,9.0,64.3%,47.0,24.0,51.1%
6.0,Tennessee Titans,17.0,225.0,77.0,34.2%,26.0,19.0,73.1%,49.0,27.0,55.1%
7.0,Buffalo Bills,16.0,208.0,78.0,37.5%,33.0,19.0,57.6%,49.0,22.0,44.9%
8.0,Los Angeles Chargers,17.0,199.0,78.0,39.2%,15.0,6.0,40.0%,48.0,25.0,52.1%
9.0,Minnesota Vikings,17.0,215.0,82.0,38.1%,29.0,11.0,37.9%,49.0,28.0,57.1%
10.0,Los Angeles Rams,17.0,208.0,84.0,40.4%,20.0,13.0,65.0%,54.0,24.0,44.4%
11.0,Cincinnati Bengals,16.0,212.0,84.0,39.6%,23.0,9.0,39.1%,50.0,26.0,52.0%
12.0,Indianapolis Colts,17.0,224.0,85.0,37.9%,25.0,13.0,52.0%,53.0,36.0,67.9%
13.0,Kansas City Chiefs,17.0,222.0,85.0,38.3%,35.0,20.0,57.1%,55.0,37.0,67.3%
14.0,San Francisco 49ers,17.0,218.0,85.0,39.0%,25.0,10.0,40.0%,37.0,21.0,56.8%
15.0,Cleveland Browns,17.0,215.0,85.0,39.5%,18.0,8.0,44.4%,58.0,32.0,55.2%
16.0,Pittsburgh Steelers,17.0,216.0,85.0,39.4%,21.0,13.0,61.9%,47.0,26.0,55.3%
17.0,Houston Texans,17.0,221.0,86.0,38.9%,21.0,13.0,61.9%,55.0,31.0,56.4%
18.0,Las Vegas Raiders,17.0,206.0,86.0,41.7%,20.0,11.0,55.0%,54.0,35.0,64.8%
19.0,Philadelphia Eagles,17.0,223.0,86.0,38.6%,25.0,15.0,60.0%,55.0,29.0,52.7%
20.0,Arizona Cardinals,17.0,203.0,87.0,42.9%,16.0,8.0,50.0%,66.0,43.0,65.2%
21.0,Tampa Bay Buccaneers,17.0,236.0,87.0,36.9%,24.0,14.0,58.3%,48.0,30.0,62.5%
22.0,Dallas Cowboys,17.0,231.0,87.0,37.7%,22.0,12.0,54.5%,50.0,26.0,52.0%
23.0,Detroit Lions,17.0,204.0,92.0,45.1%,27.0,15.0,55.6%,58.0,37.0,63.8%
24.0,New York Jets,17.0,244.0,93.0,38.1%,26.0,11.0,42.3%,46.0,22.0,47.8%
25.0,Carolina Panthers,17.0,231.0,95.0,41.1%,18.0,8.0,44.4%,57.0,32.0,56.1%
26.0,Jacksonville Jaguars,17.0,220.0,95.0,43.2%,31.0,10.0,32.3%,52.0,31.0,59.6%
27.0,Seattle Seahawks,17.0,227.0,96.0,42.3%,28.0,11.0,39.3%,52.0,31.0,59.6%
28.0,New England Patriots,17.0,241.0,97.0,40.2%,27.0,10.0,37.0%,50.0,29.0,58.0%
29.0,New Orleans Saints,17.0,233.0,97.0,41.6%,19.0,8.0,42.1%,44.0,22.0,50.0%
30.0,Miami Dolphins,17.0,233.0,97.0,41.6%,31.0,15.0,48.4%,59.0,35.0,59.3%
31.0,Chicago Bears,17.0,204.0,100.0,49.0%,15.0,6.0,40.0%,62.0,40.0,64.5%
32.0,Atlanta Falcons,17.0,220.0,101.0,45.9%,17.0,7.0,41.2%,60.0,33.0,55.0%
,League Total,,,,,,,,,,
