Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Davis Mills,HOU,2,2,0,3,5.0,2022,72
Dameon Pierce,HOU,26,99,1,20,5.0,2022,72
Rex Burkhead,HOU,3,15,0,9,5.0,2022,72
Nico Collins,HOU,0,0,0,0,5.0,2022,72
Jordan Akins,HOU,0,0,0,0,5.0,2022,72
Brandin Cooks,HOU,0,0,0,0,5.0,2022,72
Mason Schreck,HOU,0,0,0,0,5.0,2022,72
O.J. Howard,HOU,0,0,0,0,5.0,2022,72
Trevor Lawrence,JAX,4,29,0,12,5.0,2022,72
Travis Etienne,JAX,10,71,0,30,5.0,2022,72
James Robinson,JAX,10,27,0,9,5.0,2022,72
Jamycal Hasty,JAX,1,6,0,6,5.0,2022,72
Jamal Agnew,JAX,1,3,0,3,5.0,2022,72
Marvin Jones,JAX,0,0,0,0,5.0,2022,72
Evan Engram,JAX,0,0,0,0,5.0,2022,72
Dan Arnold,JAX,0,0,0,0,5.0,2022,72
Chris Manhertz,JAX,0,0,0,0,5.0,2022,72
Zay Jones,JAX,0,0,0,0,5.0,2022,72
Christian Kirk,JAX,0,0,0,0,5.0,2022,72
