Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Sam Mustipher,C,50,100%,0,0%,4,17%,0,Bears,5.0,2022,69
Teven Jenkins,T,50,100%,0,0%,4,17%,0,Bears,5.0,2022,69
Braxton Jones,T,50,100%,0,0%,4,17%,0,Bears,5.0,2022,69
Lucas Patrick,G,50,100%,0,0%,4,17%,0,Bears,5.0,2022,69
Larry Borom,T,50,100%,0,0%,4,17%,0,Bears,5.0,2022,69
Justin Fields,QB,50,100%,0,0%,0,0%,0,Bears,5.0,2022,69
Darnell Mooney,WR,47,94%,0,0%,0,0%,0,Bears,5.0,2022,69
Cole Kmet,TE,45,90%,0,0%,4,17%,0,Bears,5.0,2022,69
David Montgomery,RB,36,72%,0,0%,0,0%,0,Bears,5.0,2022,69
Equanimeous St. Brown,WR,31,62%,0,0%,0,0%,0,Bears,5.0,2022,69
Dante Pettis,WR,30,60%,0,0%,0,0%,0,Bears,5.0,2022,69
Ihmir Smith-Marsette,WR,19,38%,0,0%,0,0%,0,Bears,5.0,2022,69
Khalil Herbert,RB,14,28%,0,0%,8,35%,0,Bears,5.0,2022,69
Ryan Griffin,TE,13,26%,0,0%,6,26%,0,Bears,5.0,2022,69
Khari Blasingame,FB,9,18%,0,0%,8,35%,0,Bears,5.0,2022,69
Velus Jones Jr.,WR,3,6%,0,0%,6,26%,0,Bears,5.0,2022,69
Trevon Wesco,TE,2,4%,0,0%,5,22%,0,Bears,5.0,2022,69
Trestan Ebner,RB,1,2%,0,0%,7,30%,0,Bears,5.0,2022,69
Eddie Jackson,SS,0,0%,79,100%,5,22%,0,Bears,5.0,2022,69
Kyler Gordon,CB,0,0%,79,100%,5,22%,0,Bears,5.0,2022,69
Nicholas Morrow,LB,0,0%,79,100%,5,22%,0,Bears,5.0,2022,69
Roquan Smith,LB,0,0%,79,100%,0,0%,0,Bears,5.0,2022,69
Jaquan Brisker,SS,0,0%,79,100%,0,0%,0,Bears,5.0,2022,69
Kindle Vildor,CB,0,0%,75,95%,4,17%,0,Bears,5.0,2022,69
Jaylon Jones,CB,0,0%,72,91%,8,35%,0,Bears,5.0,2022,69
Robert Quinn,LB,0,0%,50,63%,0,0%,0,Bears,5.0,2022,69
Justin Jones,DT,0,0%,49,62%,5,22%,0,Bears,5.0,2022,69
Trevis Gipson,LB,0,0%,46,58%,5,22%,0,Bears,5.0,2022,69
Al-Quadin Muhammad,DE,0,0%,44,56%,5,22%,0,Bears,5.0,2022,69
Armon Watts,NT,0,0%,37,47%,0,0%,0,Bears,5.0,2022,69
Dominique Robinson,DE,0,0%,35,44%,5,22%,0,Bears,5.0,2022,69
Angelo Blackson,DT,0,0%,30,38%,5,22%,0,Bears,5.0,2022,69
Mike Pennel,NT,0,0%,25,32%,0,0%,0,Bears,5.0,2022,69
Matthew Adams,LB,0,0%,4,5%,17,74%,0,Bears,5.0,2022,69
Lamar Jackson,CB,0,0%,4,5%,13,57%,0,Bears,5.0,2022,69
Joe Thomas,LB,0,0%,3,4%,14,61%,0,Bears,5.0,2022,69
DeAndre Houston-Carson,FS,0,0%,0,0%,19,83%,0,Bears,5.0,2022,69
Jack Sanborn,LB,0,0%,0,0%,14,61%,0,Bears,5.0,2022,69
Josh Blackwell,CB,0,0%,0,0%,14,61%,0,Bears,5.0,2022,69
Elijah Hicks,FS,0,0%,0,0%,12,52%,0,Bears,5.0,2022,69
Cairo Santos,K,0,0%,0,0%,10,43%,0,Bears,5.0,2022,69
Sterling Weatherford,LB,0,0%,0,0%,8,35%,0,Bears,5.0,2022,69
Patrick Scales,LS,0,0%,0,0%,6,26%,0,Bears,5.0,2022,69
Trenton Gill,P,0,0%,0,0%,6,26%,0,Bears,5.0,2022,69
Riley Reiff,T,0,0%,0,0%,4,17%,0,Bears,5.0,2022,69
