Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Daniel Jones,NYG,0,0,0,0,0,5.0,2022,66
Saquon Barkley,NYG,6,3,36,0,41,5.0,2022,66
Matt Breida,NYG,2,2,13,0,13,5.0,2022,66
Gary Brightwell,NYG,0,0,0,0,0,5.0,2022,66
Daniel Bellinger,NYG,3,2,22,0,11,5.0,2022,66
Darius Slayton,NYG,7,6,79,0,26,5.0,2022,66
Marcus Johnson,NYG,3,3,35,0,16,5.0,2022,66
Richie James,NYG,2,2,16,0,15,5.0,2022,66
David Sills,NYG,2,2,12,0,7,5.0,2022,66
Chris Myarick,NYG,1,1,4,0,4,5.0,2022,66
Jamie Gillan,NYG,0,0,0,0,0,5.0,2022,66
Aaron Rodgers,GNB,0,0,0,0,0,5.0,2022,66
Aaron Jones,GNB,3,2,17,0,9,5.0,2022,66
AJ Dillon,GNB,0,0,0,0,0,5.0,2022,66
Randall Cobb,GNB,13,7,99,0,35,5.0,2022,66
Allen Lazard,GNB,8,4,35,1,17,5.0,2022,66
Romeo Doubs,GNB,5,3,29,0,22,5.0,2022,66
Robert Tonyan,GNB,4,4,23,0,14,5.0,2022,66
Josiah Deguara,GNB,2,2,19,0,12,5.0,2022,66
Marcedes Lewis,GNB,1,1,2,1,2,5.0,2022,66
Tyler Davis,GNB,2,1,-3,0,-3,5.0,2022,66
Christian Watson,GNB,1,1,1,0,1,5.0,2022,66
