Tm,G,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Atlanta Falcons,17,559,2718,17,152,1701,3.0,1017,1.8,10,55.9
Buffalo Bills,16,430,2232,15,130,1577,3.7,655,1.5,17,25.3
Carolina Panthers,17,483,2210,16,119,1336,2.8,874,1.8,19,25.4
Chicago Bears,17,558,3014,18,148,1893,3.4,1121,2.0,41,13.6
Cincinnati Bengals,16,399,1528,14,97,991,2.5,537,1.3,15,26.6
Cleveland Browns,17,532,2490,19,142,1423,2.7,1067,2.0,36,14.8
Indianapolis Colts,17,439,1866,8,91,1128,2.6,738,1.7,33,13.3
Arizona Cardinals,17,434,1873,15,115,1244,2.9,629,1.4,16,27.1
Dallas Cowboys,17,531,2298,24,129,1336,2.5,962,1.8,24,22.1
Denver Broncos,17,444,1935,11,105,1236,2.8,699,1.6,24,18.5
Detroit Lions,17,480,2179,23,114,1416,3.0,763,1.6,21,22.9
Green Bay Packers,17,456,2113,12,116,1281,2.8,832,1.8,19,24.0
Houston Texans,17,398,1476,7,90,848,2.1,628,1.6,32,12.4
Jacksonville Jaguars,17,448,2116,16,114,1500,3.3,616,1.4,28,16.0
Kansas City Chiefs,17,417,1970,18,105,1334,3.2,636,1.5,17,24.5
Miami Dolphins,17,390,1686,12,93,1031,2.6,655,1.7,25,15.6
Minnesota Vikings,17,404,1661,18,93,1000,2.5,661,1.6,19,21.3
New Orleans Saints,17,465,1982,12,103,1117,2.4,865,1.9,14,33.2
New England Patriots,17,425,1812,12,98,1139,2.7,673,1.6,35,12.1
New York Giants,17,520,2519,21,150,1657,3.2,862,1.7,18,28.9
New York Jets,17,405,1686,13,79,1182,2.9,504,1.2,21,19.3
Tennessee Titans,17,487,2131,16,104,1136,2.3,995,2.0,42,11.6
Philadelphia Eagles,17,544,2509,32,161,1817,3.3,692,1.3,25,21.8
Pittsburgh Steelers,17,500,2073,16,129,1331,2.7,742,1.5,28,17.9
Las Vegas Raiders,17,428,2059,12,122,1146,2.7,913,2.1,32,13.4
Los Angeles Rams,17,411,1661,15,89,966,2.4,695,1.7,19,21.6
Baltimore Ravens,17,526,2720,14,167,1867,3.5,853,1.6,37,14.2
Los Angeles Chargers,17,404,1524,15,93,902,2.2,622,1.5,12,33.7
Seattle Seahawks,17,425,2042,12,106,1298,3.1,744,1.8,21,20.2
San Francisco 49ers,17,504,2360,20,132,1471,2.9,889,1.8,22,22.9
Tampa Bay Buccaneers,17,386,1308,5,79,825,2.1,483,1.3,9,42.9
Washington Commanders,17,538,2143,9,124,1272,2.4,871,1.6,18,29.9
