Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Shaquil Barrett,32.0,OLB,1,0.0,250.0,74,"Nebraska-Omaha,Colorado St.",11/17/1992,9,0.0,Tampa Bay Buccaneers,,,,
Graham Barton,22.0,C,16,16.0,314.0,77,Duke,6/1/2002,0,8.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1.0,26.0,2024.0
Chris Braswell,23.0,OLB,17,0.0,255.0,75,Alabama,10/25/2001,0,1.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,2.0,57.0,2024.0
Ben Bredeson,26.0,LG,17,17.0,315.0,77,Michigan,2/20/1998,4,8.0,Tampa Bay Buccaneers,Baltimore Ravens,4.0,143.0,2020.0
C.J. Brewer,27.0,DL,12,0.0,290.0,74,Coastal Carolina,11/22/1997,2,1.0,Tampa Bay Buccaneers,,,,
K.J. Britt,25.0,RILB,14,11.0,235.0,72,Auburn,6/4/1999,3,5.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,5.0,176.0,2021.0
Earnest Brown IV,25.0,DE,3,0.0,300.0,77,Northwestern,1/8/1999,2,0.0,Tampa Bay Buccaneers,Los Angeles Rams,5.0,174.0,2021.0
Jack Browning,23.0,P,5,0.0,190.0,71,"Grossmont College (CA),San Diego St.",11/14/2001,0,0.0,Tampa Bay Buccaneers,,,,
Marquez Callaway,26.0,WR,2,0.0,204.0,74,Tennessee,3/27/1998,4,0.0,Tampa Bay Buccaneers,,,,
Jake Camarda,25.0,P,4,0.0,193.0,73,Georgia,4/20/1999,2,1.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,4.0,133.0,2022.0
Devin Culp,24.0,TE,5,0.0,237.0,76,Washington,2/2/2000,0,1.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,7.0,246.0,2024.0
Lavonte David,34.0,LILB,17,17.0,233.0,73,"Fort Scott (KS),Nebraska",1/23/1990,12,8.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,2.0,58.0,2012.0
Jamel Dean,28.0,LCB,12,12.0,206.0,73,Auburn,10/15/1996,5,4.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,3.0,94.0,2019.0
Evan Deckers,25.0,LS,11,0.0,252.0,75,"Massachusetts,Duke",2/23/1999,1,1.0,Tampa Bay Buccaneers,,,,
SirVocea Dennis,24.0,LB,4,0.0,230.0,72,Pittsburgh,3/9/2000,1,0.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,5.0,153.0,2023.0
YaYa Diaby,25.0,OLB,17,17.0,270.0,76,"Georgia Military,Louisville",5/30/1999,1,8.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,3.0,82.0,2023.0
