Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Micah Abernathy,27,S,6,0.0,195.0,72,Tennessee,2/10/1997,2,0.0,Atlanta Falcons,,,,
DeAundre Alford,27,CB,16,11.0,177.0,71,Tusculum,11/5/1997,2,4.0,Atlanta Falcons,,,,
Tyler Allgeier,24,RB,17,0.0,220.0,71,BYU,4/15/2000,2,4.0,Atlanta Falcons,Atlanta Falcons,5.0,151.0,2022.0
Troy Andersen,25,LB,7,4.0,239.0,76,Montana St.,4/23/1999,2,2.0,Atlanta Falcons,Atlanta Falcons,2.0,58.0,2022.0
Jessie Bates III,27,SS,17,17.0,200.0,73,Wake Forest,2/26/1997,6,6.0,Atlanta Falcons,Cincinnati Bengals,2.0,54.0,2018.0
Matthew Bergeron,24,LG,17,17.0,323.0,77,Syracuse,2/26/2000,1,7.0,Atlanta Falcons,Atlanta Falcons,2.0,38.0,2023.0
JD Bertrand,24,LB,12,0.0,233.0,73,Notre Dame,5/5/2000,0,1.0,Atlanta Falcons,Atlanta Falcons,5.0,143.0,2024.0
Chris Blair,27,WR,4,0.0,198.0,74,"Hinds CC,Alcorn St.",10/6/1997,1,0.0,Atlanta Falcons,,,,
Natrone Brooks,25,CB,9,0.0,176.0,71,"Copiah-Lincoln CC,Southern Miss",12/11/1999,1,0.0,Atlanta Falcons,,,,
Lorenzo Carter,29,LOLB,13,11.0,264.0,77,Georgia,12/10/1995,6,4.0,Atlanta Falcons,New York Giants,3.0,66.0,2018.0
Kirk Cousins,36,QB,14,14.0,205.0,75,Michigan St.,8/19/1988,12,10.0,Atlanta Falcons,Washington Redskins,4.0,102.0,2012.0
Dane Cruikshank,29,S,2,0.0,209.0,73,Arizona,4/27/1995,6,0.0,Atlanta Falcons,Tennessee Titans,5.0,152.0,2018.0
Drew Dalman,26,C,9,9.0,305.0,75,Stanford,10/15/1998,3,4.0,Atlanta Falcons,Atlanta Falcons,4.0,114.0,2021.0
Brandon Dorlus,23,DT,2,0.0,290.0,75,Oregon,3/22/2001,0,0.0,Atlanta Falcons,Atlanta Falcons,4.0,109.0,2024.0
Ross Dwelley,29,TE,17,0.0,235.0,77,San Diego,1/26/1995,6,0.0,Atlanta Falcons,,,,
Arnold Ebiketie,25,OLB,17,2.0,250.0,74,"Temple,Penn St.",1/23/1999,2,2.0,Atlanta Falcons,Atlanta Falcons,2.0,38.0,2022.0
Kaden Elliss,29,RILB,17,17.0,238.0,74,Idaho,7/10/1995,5,7.0,Atlanta Falcons,New Orleans Saints,7.0,244.0,2019.0
Rashaan Evans,29,LB,2,0.0,232.0,74,Alabama,11/8/1995,6,0.0,Atlanta Falcons,Tennessee Titans,1.0,22.0,2018.0
Eddie Goldman,30,NT,17,10.0,325.0,75,Florida St.,1/6/1994,9,4.0,Atlanta Falcons,Chicago Bears,2.0,39.0,2015.0
Ta'Quon Graham,26,DL,10,0.0,307.0,76,Texas,12/1/1998,3,1.0,Atlanta Falcons,Atlanta Falcons,5.0,148.0,2021.0
Richie Grant,27,S,17,1.0,204.0,72,Central Florida,11/9/1997,3,1.0,Atlanta Falcons,Atlanta Falcons,2.0,40.0,2021.0
Jovaughn Gwyn,25,OL,1,0.0,301.0,74,South Carolina,3/18/1999,1,0.0,Atlanta Falcons,Atlanta Falcons,7.0,225.0,2023.0
Antonio Hamilton,31,CB,11,0.0,188.0,72,South Carolina St.,1/24/1993,8,1.0,Atlanta Falcons,,,,
Demone Harris,29,DL,9,0.0,272.0,76,Buffalo,12/30/1995,6,1.0,Atlanta Falcons,,,,
