Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Johnathan Abram,28.0,S,3,0.0,205.0,71,Mississippi St.,10/25/1996,5,0.0,New Orleans Saints,Oakland Raiders,1.0,27.0,2019.0
Paulson Adebo,25.0,CB,7,7.0,192.0,73,Stanford,7/3/1999,3,3.0,New Orleans Saints,New Orleans Saints,3.0,76.0,2021.0
Ugo Amadi,27.0,S,11,5.0,201.0,69,Oregon,5/16/1997,5,2.0,New Orleans Saints,Seattle Seahawks,4.0,132.0,2019.0
Kevin Austin,24.0,WR,8,2.0,200.0,74,Notre Dame,3/30/2000,1,1.0,New Orleans Saints,,,,
Khristian Boyd,24.0,DT,6,0.0,320.0,74,Northern Iowa,2/23/2000,0,0.0,New Orleans Saints,New Orleans Saints,6.0,199.0,2024.0
Millard Bradford,25.0,S,3,0.0,191.0,70,TCU,9/24/1999,0,0.0,New Orleans Saints,,,,
Bryan Bresee,23.0,DT,17,11.0,305.0,77,Clemson,10/6/2001,1,6.0,New Orleans Saints,New Orleans Saints,1.0,29.0,2023.0
Derek Carr,33.0,QB,10,10.0,215.0,75,Fresno St.,3/28/1991,10,7.0,New Orleans Saints,Oakland Raiders,2.0,36.0,2014.0
Demario Davis,35.0,MLB,16,16.0,248.0,74,Arkansas St.,1/11/1989,12,8.0,New Orleans Saints,New York Jets,3.0,77.0,2012.0
Clyde Edwards-Helaire,25.0,RB,2,0.0,207.0,67,LSU,4/11/1999,4,0.0,New Orleans Saints,Kansas City Chiefs,1.0,32.0,2020.0
Jaylan Ford,23.0,LB,8,0.0,240.0,74,Texas,11/28/2001,0,1.0,New Orleans Saints,New Orleans Saints,5.0,175.0,2024.0
Isaiah Foskey,24.0,DE,17,0.0,270.0,77,Notre Dame,10/30/2000,1,1.0,New Orleans Saints,New Orleans Saints,2.0,40.0,2023.0
Taliese Fuaga,22.0,LT,17,17.0,324.0,78,Oregon St.,4/5/2002,0,8.0,New Orleans Saints,New Orleans Saints,1.0,14.0,2024.0
Willie Gay Jr.,26.0,RLB,15,8.0,243.0,73,Mississippi St.,2/15/1998,4,5.0,New Orleans Saints,Kansas City Chiefs,2.0,63.0,2020.0
Carl Granderson,28.0,RDE,17,17.0,261.0,77,Wyoming,12/18/1996,5,8.0,New Orleans Saints,,,,
J.T. Gray,28.0,DB,17,0.0,202.0,72,Mississippi St.,1/18/1996,6,5.0,New Orleans Saints,,,,
Blake Grupe,26.0,K,17,0.0,156.0,67,"Arkansas St.,Notre Dame",11/5/1998,1,4.0,New Orleans Saints,,,,
Jake Haener,25.0,QB,8,1.0,200.0,73,"Washington,Fresno St.",3/16/1999,1,1.0,New Orleans Saints,New Orleans Saints,4.0,127.0,2023.0
Will Harris,29.0,SS,13,13.0,206.0,73,Boston Col.,12/19/1995,5,4.0,New Orleans Saints,Detroit Lions,3.0,81.0,2019.0
Matthew Hayball,27.0,P,17,0.0,189.0,72,"Florida Atlantic,Vanderbilt",3/12/1997,0,3.0,New Orleans Saints,,,,
Kyle Hergel,25.0,OG,8,0.0,315.0,74,"North Dakota,Texas St.,Boston Col.",10/7/1999,0,1.0,New Orleans Saints,,,,
Tre Herndon,28.0,DB,1,0.0,185.0,71,Vanderbilt,3/5/1996,6,0.0,New Orleans Saints,,,,
Taysom Hill,34.0,TE,8,8.0,221.0,74,BYU,8/23/1990,7,3.0,New Orleans Saints,,,,
Dallin Holker,24.0,TE,12,2.0,241.0,75,"BYU,Colorado St.",4/7/2000,0,0.0,New Orleans Saints,,,,
Jordan Howden,24.0,DB,17,4.0,209.0,72,Minnesota,5/14/2000,1,2.0,New Orleans Saints,New Orleans Saints,5.0,146.0,2023.0
Khaleke Hudson,27.0,LB,1,0.0,220.0,72,Michigan,12/6/1997,4,0.0,New Orleans Saints,Washington Football Team,5.0,162.0,2020.0
D'Marco Jackson,26.0,LB,10,0.0,233.0,73,Appalachian St.,7/20/1998,1,1.0,New Orleans Saints,New Orleans Saints,5.0,161.0,2022.0
Jermaine Jackson,24.0,WR,4,0.0,170.0,67,"San Mateo,Idaho",6/2/2000,0,0.0,New Orleans Saints,,,,
Shemar Jean-Charles,26.0,DB,9,2.0,184.0,70,Appalachian St.,6/20/1998,3,1.0,New Orleans Saints,Green Bay Packers,5.0,178.0,2021.0
Juwan Johnson,28.0,TE,17,5.0,231.0,76,"Oregon,Penn St.",9/13/1996,4,5.0,New Orleans Saints,,,,
Cameron Jordan,35.0,LDE,17,17.0,287.0,76,California,7/10/1989,13,8.0,New Orleans Saints,New Orleans Saints,1.0,24.0,2011.0
Alvin Kamara,29.0,RB,14,14.0,215.0,70,"Alabama,Hutchinson (KS),Tennessee",7/25/1995,7,9.0,New Orleans Saints,New Orleans Saints,3.0,67.0,2017.0
Tanoh Kpassagnon,30.0,DE,3,0.0,289.0,79,Villanova,6/14/1994,7,0.0,New Orleans Saints,Kansas City Chiefs,2.0,59.0,2017.0
Marshon Lattimore,28.0,CB,7,7.0,192.0,72,Ohio St.,5/19/1996,7,2.0,New Orleans Saints,New Orleans Saints,1.0,11.0,2017.0
Shane Lemieux,27.0,G,7,4.0,310.0,76,Oregon,5/12/1997,4,2.0,New Orleans Saints,New York Giants,5.0,150.0,2020.0
Tyrann Mathieu,32.0,FS,17,17.0,190.0,69,LSU,5/13/1992,11,6.0,New Orleans Saints,Arizona Cardinals,3.0,69.0,2013.0
Erik McCoy,27.0,C,7,7.0,303.0,76,Texas A&M,8/27/1997,5,4.0,New Orleans Saints,New Orleans Saints,2.0,48.0,2019.0
Connor McGovern,31.0,C,6,5.0,306.0,76,Missouri,4/27/1993,7,2.0,New Orleans Saints,Denver Broncos,5.0,144.0,2016.0
Kool-Aid McKinstry,22.0,RCB,15,9.0,199.0,71,Alabama,9/30/2002,0,3.0,New Orleans Saints,New Orleans Saints,2.0,41.0,2024.0
Bub Means,23.0,WR,7,1.0,215.0,74,"Tennessee,Louisiana Tech,Pittsburgh",1/10/2001,0,1.0,New Orleans Saints,New Orleans Saints,5.0,170.0,2024.0
Kendre Miller,22.0,RB,6,2.0,220.0,72,TCU,6/11/2002,1,1.0,New Orleans Saints,New Orleans Saints,3.0,71.0,2023.0
