Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Brandon Aiyuk,26.0,WR,7,7.0,200.0,72,Arizona St.,3/17/1998,4,3.0,San Francisco 49Ers,San Francisco 49ers,1.0,25.0,2020.0
Brandon Allen,32.0,QB,3,1.0,209.0,74,Arkansas,9/5/1992,5,1.0,San Francisco 49Ers,Jacksonville Jaguars,6.0,201.0,2016.0
Adrian Amos,31.0,S,1,0.0,214.0,72,Penn St.,4/29/1993,9,0.0,San Francisco 49Ers,Chicago Bears,5.0,142.0,2015.0
Evan Anderson,22.0,DL,12,1.0,326.0,75,Florida Atlantic,2/14/2002,0,1.0,San Francisco 49Ers,,,,
Aaron Banks,27.0,LG,13,13.0,325.0,77,Notre Dame,9/3/1997,3,6.0,San Francisco 49Ers,San Francisco 49ers,2.0,48.0,2021.0
Alex Barrett,30.0,DL,3,0.0,250.0,74,San Diego St.,3/6/1994,7,0.0,San Francisco 49Ers,,,,
Ben Bartch,26.0,OL,3,2.0,315.0,78,Saint John's (MN),7/22/1998,4,1.0,San Francisco 49Ers,Jacksonville Jaguars,4.0,116.0,2020.0
Robert Beal,25.0,DL,14,0.0,250.0,76,Georgia,8/18/1999,1,1.0,San Francisco 49Ers,San Francisco 49ers,5.0,173.0,2023.0
Ronnie Bell,24.0,WR,9,0.0,190.0,72,Michigan,1/28/2000,1,0.0,San Francisco 49Ers,San Francisco 49ers,7.0,253.0,2023.0
Tatum Bethune,23.0,LB,11,1.0,230.0,73,"Central Florida,Florida St.",2/19/2001,0,1.0,San Francisco 49Ers,San Francisco 49ers,7.0,251.0,2024.0
Nick Bosa,27.0,LDE,14,14.0,266.0,76,Ohio St.,10/23/1997,5,8.0,San Francisco 49Ers,San Francisco 49ers,1.0,2.0,2019.0
Jake Brendel,32.0,C,17,17.0,299.0,76,UCLA,9/10/1992,8,7.0,San Francisco 49Ers,,,,
Ji'Ayir Brown,24.0,FS,17,13.0,202.0,71,"Lackawanna,Penn St.",1/25/2000,1,4.0,San Francisco 49Ers,San Francisco 49ers,3.0,87.0,2023.0
Spencer Burford,24.0,OL,15,0.0,300.0,76,Texas-San Antonio,7/19/2000,2,1.0,San Francisco 49Ers,San Francisco 49ers,4.0,134.0,2022.0
De'Vondre Campbell,31.0,LLB,13,12.0,232.0,76,Minnesota,7/1/1993,8,4.0,San Francisco 49Ers,Atlanta Falcons,4.0,115.0,2016.0
Anders Carlson,26.0,K,2,0.0,219.0,77,Auburn,6/16/1998,1,1.0,San Francisco 49Ers,Green Bay Packers,6.0,207.0,2023.0
Maliek Collins,29.0,LDT,17,17.0,310.0,74,Nebraska,4/8/1995,8,6.0,San Francisco 49Ers,Dallas Cowboys,3.0,67.0,2016.0
Chris Conley,32.0,WR,15,2.0,205.0,75,Georgia,10/25/1992,9,1.0,San Francisco 49Ers,Kansas City Chiefs,3.0,76.0,2015.0
Jacob Cowing,23.0,WR,15,0.0,171.0,69,"Texas-El Paso,Arizona",2/4/2001,0,1.0,San Francisco 49Ers,San Francisco 49ers,4.0,135.0,2024.0
Kalia Davis,26.0,DL,13,0.0,310.0,74,Central Florida,10/2/1998,1,1.0,San Francisco 49Ers,San Francisco 49ers,6.0,220.0,2022.0
Khalil Davis,28.0,DT,3,0.0,315.0,74,Nebraska,8/22/1996,4,0.0,San Francisco 49Ers,Tampa Bay Buccaneers,6.0,194.0,2020.0
Joshua Dobbs,29.0,QB,2,1.0,220.0,75,Tennessee,1/26/1995,6,1.0,San Francisco 49Ers,Pittsburgh Steelers,4.0,135.0,2017.0
Jordan Elliott,27.0,RDT,15,13.0,303.0,76,"Texas,Missouri",11/23/1997,4,4.0,San Francisco 49Ers,Cleveland Browns,3.0,88.0,2020.0
Demetrius Flannigan-Fowles,28.0,LB,12,3.0,223.0,74,Arizona,9/4/1996,4,2.0,San Francisco 49Ers,,,,
Leonard Floyd,32.0,RDE,17,17.0,240.0,75,Georgia,9/8/1992,8,6.0,San Francisco 49Ers,Chicago Bears,1.0,9.0,2016.0
Tashaun Gipson,34.0,S,9,0.0,212.0,71,Wyoming,8/7/1990,12,0.0,San Francisco 49Ers,,,,
Kevin Givens,27.0,DL,8,1.0,285.0,73,Penn St.,3/1/1997,5,1.0,San Francisco 49Ers,,,,
Jalen Graham,23.0,LB,8,0.0,220.0,75,Purdue,1/11/2001,1,0.0,San Francisco 49Ers,San Francisco 49ers,7.0,255.0,2023.0
Renardo Green,24.0,CB,17,7.0,186.0,72,Florida St.,11/9/2000,0,3.0,San Francisco 49Ers,San Francisco 49ers,2.0,64.0,2024.0
Dre Greenlaw,27.0,LB,2,2.0,230.0,72,Arkansas,5/25/1997,5,1.0,San Francisco 49Ers,San Francisco 49ers,5.0,148.0,2019.0
Yetur Gross-Matos,26.0,DL,11,0.0,265.0,77,Penn St.,2/26/1998,4,1.0,San Francisco 49Ers,Carolina Panthers,2.0,38.0,2020.0
Isaac Guerendo,24.0,RB,16,3.0,221.0,72,"Wisconsin,Louisville",6/28/2000,0,4.0,San Francisco 49Ers,San Francisco 49ers,4.0,129.0,2024.0
Sebastian Gutierrez,26.0,T,1,0.0,308.0,78,Minot St.,7/6/1998,2,0.0,San Francisco 49Ers,,,,
Javon Hargrave,31.0,DL,3,3.0,305.0,74,South Carolina St.,2/7/1993,8,1.0,San Francisco 49Ers,Pittsburgh Steelers,3.0,89.0,2016.0
Charlie Heck,28.0,OL,2,2.0,315.0,80,North Carolina,11/20/1996,4,1.0,San Francisco 49Ers,Houston Texans,4.0,126.0,2020.0
Matt Hennessy,27.0,OL,2,0.0,295.0,76,Temple,11/17/1997,4,0.0,San Francisco 49Ers,Atlanta Falcons,3.0,78.0,2020.0
Talanoa Hufanga,25.0,S,7,7.0,200.0,72,USC,2/2/1999,3,2.0,San Francisco 49Ers,San Francisco 49ers,5.0,180.0,2021.0
Jauan Jennings,27.0,WR,15,10.0,212.0,75,Tennessee,7/10/1997,3,8.0,San Francisco 49Ers,San Francisco 49ers,7.0,217.0,2020.0
Kyle Juszczyk,33.0,FB,17,15.0,235.0,74,Harvard,4/23/1991,11,2.0,San Francisco 49Ers,Baltimore Ravens,4.0,130.0,2013.0
George Kittle,31.0,TE,15,15.0,250.0,76,Iowa,10/9/1993,7,9.0,San Francisco 49Ers,San Francisco 49ers,5.0,146.0,2017.0
Deommodore Lenoir,25.0,RLB,15,15.0,200.0,70,Oregon,10/6/1999,3,5.0,San Francisco 49Ers,San Francisco 49ers,5.0,172.0,2021.0
Darrell Luter,24.0,CB,3,0.0,190.0,72,"Pearl River CC,South Alabama",4/24/2000,1,0.0,San Francisco 49Ers,San Francisco 49ers,5.0,155.0,2023.0
Jaylen Mahoney,24.0,S,3,0.0,200.0,71,Vanderbilt,11/19/2000,0,0.0,San Francisco 49Ers,,,,
Jordan Mason,25.0,RB,12,6.0,223.0,71,Georgia Tech,5/24/1999,2,5.0,San Francisco 49Ers,,,,
Christian McCaffrey,28.0,RB,4,4.0,210.0,71,Stanford,6/7/1996,7,2.0,San Francisco 49Ers,Carolina Panthers,1.0,8.0,2017.0
Nick McCloud,26.0,CB,8,0.0,193.0,73,"North Carolina St.,Notre Dame",7/9/1998,3,0.0,San Francisco 49Ers,,,,
T.Y. McGill,32.0,DL,1,0.0,295.0,72,North Carolina St.,11/23/1992,9,0.0,San Francisco 49Ers,,,,
Colton McKivitz,28.0,RT,17,17.0,301.0,78,West Virginia,8/9/1996,4,7.0,San Francisco 49Ers,San Francisco 49ers,5.0,153.0,2020.0
Jake Moody,25.0,K,14,0.0,210.0,73,Michigan,11/23/1999,1,0.0,San Francisco 49Ers,San Francisco 49ers,3.0,99.0,2023.0
Jaylon Moore,26.0,OL,15,5.0,311.0,76,Western Michigan,1/9/1998,3,3.0,San Francisco 49Ers,San Francisco 49ers,5.0,155.0,2021.0
Malik Mustapha,22.0,SS,16,12.0,206.0,70,"Richmond,Wake Forest",6/25/2002,0,4.0,San Francisco 49Ers,San Francisco 49ers,4.0,124.0,2024.0
Pat O'Donnell,33.0,P,8,0.0,223.0,76,Miami (FL),2/22/1991,10,1.0,San Francisco 49Ers,Chicago Bears,6.0,191.0,2014.0
George Odum,31.0,S,12,2.0,202.0,73,Central Arkansas,11/3/1993,6,1.0,San Francisco 49Ers,,,,
Sam Okuayinonu,26.0,DL,16,3.0,269.0,73,Maryland,5/1/1998,2,2.0,San Francisco 49Ers,,,,
Ricky Pearsall,24.0,WR,11,4.0,189.0,75,"Arizona St.,Florida",9/9/2000,0,3.0,San Francisco 49Ers,San Francisco 49ers,1.0,31.0,2024.0
Taybor Pepper,30.0,LS,17,0.0,245.0,76,Michigan St.,5/28/1994,7,1.0,San Francisco 49Ers,,,,
Austen Pleasants,27.0,OL,3,0.0,330.0,79,Ohio,8/22/1997,3,0.0,San Francisco 49Ers,,,,
Dominick Puni,24.0,RG,17,17.0,313.0,77,"Central Missouri St.,Kansas",2/24/2000,0,7.0,San Francisco 49Ers,San Francisco 49ers,3.0,86.0,2024.0
Brock Purdy,25.0,QB,15,15.0,220.0,73,Iowa St.,12/27/1999,2,13.0,San Francisco 49Ers,San Francisco 49ers,7.0,262.0,2022.0
Curtis Robinson,26.0,LB,3,0.0,235.0,75,Stanford,6/2/1998,3,0.0,San Francisco 49Ers,,,,
Deebo Samuel,28.0,WR,15,15.0,215.0,72,South Carolina,1/15/1996,5,6.0,San Francisco 49Ers,San Francisco 49ers,2.0,36.0,2019.0
Eric Saubert,30.0,TE,17,3.0,248.0,77,Drake,5/1/1994,7,1.0,San Francisco 49Ers,Atlanta Falcons,5.0,174.0,2017.0
Patrick Taylor,26.0,RB,13,1.0,217.0,74,Memphis,4/29/1998,3,1.0,San Francisco 49Ers,,,,
Trent Taylor,30.0,WR,2,0.0,178.0,68,Louisiana Tech,4/30/1994,7,0.0,San Francisco 49Ers,San Francisco 49ers,5.0,177.0,2017.0
Jake Tonges,25.0,TE,16,0.0,240.0,76,California,7/8/1999,2,0.0,San Francisco 49Ers,,,,
Ke'Shawn Vaughn,27.0,RB,3,0.0,214.0,70,"Illinois,Vanderbilt",5/4/1997,4,0.0,San Francisco 49Ers,Tampa Bay Buccaneers,3.0,76.0,2020.0
Charvarius Ward,28.0,LCB,12,12.0,196.0,73,"Hinds CC,Middle Tenn. St.",5/16/1996,6,3.0,San Francisco 49Ers,,,,
Fred Warner,28.0,MLB,17,17.0,230.0,75,BYU,11/19/1996,6,13.0,San Francisco 49Ers,San Francisco 49ers,3.0,70.0,2018.0
DaShaun White,24.0,LB,1,0.0,225.0,72,Oklahoma,1/2/2000,1,0.0,San Francisco 49Ers,,,,
Trent Williams,36.0,LT,10,10.0,320.0,77,Oklahoma,7/19/1988,14,5.0,San Francisco 49Ers,Washington Redskins,1.0,4.0,2010.0
Brayden Willis,25.0,TE,10,0.0,240.0,76,Oklahoma,11/11/1999,1,0.0,San Francisco 49Ers,San Francisco 49ers,7.0,247.0,2023.0
Dee Winters,24.0,RLB,15,10.0,227.0,71,TCU,10/17/2000,1,4.0,San Francisco 49Ers,San Francisco 49ers,6.0,216.0,2023.0
Mitch Wishnowsky,32.0,P,9,0.0,220.0,74,Utah,3/3/1992,5,1.0,San Francisco 49Ers,San Francisco 49ers,4.0,110.0,2019.0
Matthew Wright,28.0,K,1,0.0,174.0,71,Central Florida,3/22/1996,4,0.0,San Francisco 49Ers,,,,
Rock Ya-Sin,28.0,CB,13,0.0,195.0,71,Temple,5/23/1996,5,1.0,San Francisco 49Ers,Indianapolis Colts,2.0,34.0,2019.0
Isaac Yiadom,28.0,CB,17,5.0,232.0,73,Boston Col.,2/20/1996,6,3.0,San Francisco 49Ers,Denver Broncos,3.0,99.0,2018.0
Nick Zakelj,25.0,OL,17,2.0,316.0,78,Fordham,6/22/1999,2,2.0,San Francisco 49Ers,San Francisco 49ers,6.0,187.0,2022.0
