Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone,year,week
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,,
1.0,Kansas City Chiefs,17.0,229.0,111.0,48.5%,17.0,12.0,70.6%,65.0,35.0,53.8%,2024,18
2.0,Tampa Bay Buccaneers,17.0,216.0,110.0,50.9%,14.0,9.0,64.3%,69.0,46.0,66.7%,2024,18
3.0,Cincinnati Bengals,17.0,214.0,100.0,46.7%,19.0,10.0,52.6%,61.0,39.0,63.9%,2024,18
4.0,Washington Commanders,17.0,217.0,99.0,45.6%,23.0,20.0,87.0%,71.0,45.0,63.4%,2024,18
5.0,Philadelphia Eagles,17.0,235.0,98.0,41.7%,27.0,19.0,70.4%,68.0,39.0,57.4%,2024,18
6.0,Detroit Lions,17.0,206.0,98.0,47.6%,33.0,22.0,66.7%,72.0,50.0,69.4%,2024,18
7.0,Baltimore Ravens,17.0,191.0,92.0,48.2%,15.0,8.0,53.3%,66.0,49.0,74.2%,2024,18
8.0,Denver Broncos,17.0,230.0,91.0,39.6%,22.0,15.0,68.2%,56.0,35.0,62.5%,2024,18
9.0,Pittsburgh Steelers,17.0,228.0,90.0,39.5%,18.0,7.0,38.9%,56.0,27.0,48.2%,2024,18
10.0,Buffalo Bills,17.0,202.0,89.0,44.1%,22.0,16.0,72.7%,67.0,48.0,71.6%,2024,18
11.0,Los Angeles Chargers,17.0,221.0,89.0,40.3%,16.0,10.0,62.5%,50.0,28.0,56.0%,2024,18
12.0,Houston Texans,17.0,231.0,87.0,37.7%,18.0,11.0,61.1%,57.0,28.0,49.1%,2024,18
13.0,San Francisco 49ers,17.0,197.0,84.0,42.6%,16.0,8.0,50.0%,63.0,36.0,57.1%,2024,18
14.0,Dallas Cowboys,17.0,228.0,84.0,36.8%,28.0,10.0,35.7%,50.0,23.0,46.0%,2024,18
15.0,Indianapolis Colts,17.0,219.0,83.0,37.9%,28.0,17.0,60.7%,52.0,28.0,53.8%,2024,18
16.0,Arizona Cardinals,17.0,193.0,83.0,43.0%,18.0,8.0,44.4%,57.0,32.0,56.1%,2024,18
17.0,New York Jets,17.0,210.0,83.0,39.5%,24.0,10.0,41.7%,55.0,30.0,54.5%,2024,18
18.0,Atlanta Falcons,17.0,209.0,82.0,39.2%,31.0,21.0,67.7%,53.0,29.0,54.7%,2024,18
19.0,New York Giants,17.0,232.0,82.0,35.3%,37.0,20.0,54.1%,44.0,19.0,43.2%,2024,18
20.0,Tennessee Titans,17.0,215.0,81.0,37.7%,23.0,9.0,39.1%,45.0,24.0,53.3%,2024,18
21.0,Minnesota Vikings,17.0,200.0,80.0,40.0%,13.0,6.0,46.2%,61.0,34.0,55.7%,2024,18
22.0,Seattle Seahawks,17.0,210.0,79.0,37.6%,19.0,10.0,52.6%,42.0,24.0,57.1%,2024,18
23.0,Las Vegas Raiders,17.0,224.0,78.0,34.8%,25.0,14.0,56.0%,45.0,22.0,48.9%,2024,18
24.0,Miami Dolphins,17.0,212.0,77.0,36.3%,31.0,15.0,48.4%,53.0,30.0,56.6%,2024,18
25.0,New Orleans Saints,17.0,216.0,76.0,35.2%,27.0,15.0,55.6%,43.0,25.0,58.1%,2024,18
26.0,Chicago Bears,17.0,231.0,76.0,32.9%,38.0,23.0,60.5%,37.0,23.0,62.2%,2024,18
27.0,Jacksonville Jaguars,17.0,204.0,76.0,37.3%,26.0,14.0,53.8%,50.0,29.0,58.0%,2024,18
28.0,Carolina Panthers,17.0,211.0,76.0,36.0%,30.0,14.0,46.7%,50.0,31.0,62.0%,2024,18
29.0,New England Patriots,17.0,215.0,75.0,34.9%,24.0,14.0,58.3%,47.0,22.0,46.8%,2024,18
30.0,Green Bay Packers,17.0,190.0,75.0,39.5%,16.0,8.0,50.0%,69.0,41.0,59.4%,2024,18
31.0,Los Angeles Rams,17.0,201.0,74.0,36.8%,24.0,16.0,66.7%,63.0,33.0,52.4%,2024,18
32.0,Cleveland Browns,17.0,237.0,70.0,29.5%,44.0,24.0,54.5%,37.0,18.0,48.6%,2024,18
,League Total,,,,,,,,,,,2024,18
