Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1.0,Baltimore Ravens,17.0,383.0,1361.0,12.0,3.6,80.1,43.67
2.0,Minnesota Vikings,17.0,392.0,1588.0,12.0,4.1,93.4,43.57
3.0,Denver Broncos,17.0,424.0,1639.0,10.0,3.9,96.4,35.91
4.0,Tampa Bay Buccaneers,17.0,389.0,1663.0,13.0,4.3,97.8,17.82
5.0,Detroit Lions,17.0,369.0,1672.0,18.0,4.5,98.4,-19.57
6.0,Pittsburgh Steelers,17.0,412.0,1678.0,14.0,4.1,98.7,-3.68
7.0,Green Bay Packers,17.0,426.0,1689.0,13.0,4.0,99.4,13.86
8.0,Kansas City Chiefs,17.0,418.0,1731.0,13.0,4.1,101.8,2.01
9.0,Miami Dolphins,17.0,405.0,1763.0,12.0,4.4,103.7,10.56
10.0,Philadelphia Eagles,17.0,416.0,1771.0,9.0,4.3,104.2,31.98
11.0,Houston Texans,17.0,447.0,1938.0,11.0,4.3,114.0,6.85
12.0,Buffalo Bills,17.0,435.0,1963.0,13.0,4.5,115.5,16.75
13.0,Las Vegas Raiders,17.0,454.0,1987.0,14.0,4.4,116.9,4.2
14.0,Los Angeles Chargers,17.0,426.0,1997.0,7.0,4.7,117.5,-5.14
15.0,Atlanta Falcons,17.0,458.0,2051.0,11.0,4.5,120.6,-20.08
16.0,Seattle Seahawks,17.0,451.0,2053.0,11.0,4.6,120.8,5.65
17.0,New York Jets,17.0,504.0,2059.0,22.0,4.1,121.1,-14.76
18.0,San Francisco 49ers,17.0,476.0,2118.0,24.0,4.4,124.6,-45.07
19.0,Cincinnati Bengals,17.0,479.0,2122.0,20.0,4.4,124.8,-33.29
20.0,Arizona Cardinals,17.0,465.0,2149.0,18.0,4.6,126.4,-35.69
21.0,Cleveland Browns,17.0,488.0,2205.0,22.0,4.5,129.7,8.9
22.0,Los Angeles Rams,17.0,477.0,2210.0,13.0,4.6,130.0,-43.37
23.0,New England Patriots,17.0,507.0,2233.0,16.0,4.4,131.4,-25.99
24.0,Indianapolis Colts,17.0,531.0,2241.0,18.0,4.2,131.8,13.53
25.0,Jacksonville Jaguars,17.0,511.0,2254.0,19.0,4.4,132.6,-25.28
26.0,Tennessee Titans,17.0,503.0,2277.0,21.0,4.5,133.9,-14.45
27.0,New York Giants,17.0,503.0,2316.0,18.0,4.6,136.2,-7.19
28.0,Chicago Bears,17.0,485.0,2317.0,20.0,4.8,136.3,-24.05
29.0,Dallas Cowboys,17.0,482.0,2331.0,25.0,4.8,137.1,-67.95
30.0,Washington Commanders,17.0,490.0,2337.0,18.0,4.8,137.5,-46.56
31.0,New Orleans Saints,17.0,489.0,2404.0,20.0,4.9,141.4,-60.21
32.0,Carolina Panthers,17.0,592.0,3057.0,24.0,5.2,179.8,-97.76
,Avg Team,,459.0,2036.7,16.0,4.4,119.8,-10.5
,League Total,,14687.0,65174.0,511.0,4.4,119.8,
,Avg Tm/G,,27.0,119.8,0.9,4.4,119.8,
