Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,RPO,RPO,RPO,RPO,RPO,RPO,PlayAction,PlayAction,Player_URL
Tm,G,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,
Atlanta Falcons,17,364,559,4068,17,55,10,36,7,19,82,581,
Buffalo Bills,17,329,520,3875,65,463,42,350,23,113,105,809,
Carolina Panthers,17,341,547,3188,72,368,58,328,14,40,116,649,
Chicago Bears,17,353,566,3086,66,416,35,273,31,143,90,626,
Cincinnati Bengals,17,460,652,4640,113,906,89,819,24,87,68,471,
Cleveland Browns,17,395,661,3506,118,673,68,396,50,277,121,905,
Indianapolis Colts,17,289,513,3361,171,1268,96,947,75,321,148,1244,
Arizona Cardinals,17,374,543,3639,70,566,55,468,15,98,144,1205,
Dallas Cowboys,17,398,637,3862,108,610,65,436,43,174,93,621,
Denver Broncos,17,379,570,3610,103,785,80,692,23,93,128,720,
Detroit Lions,17,399,551,4474,27,175,13,98,14,77,220,2114,
Green Bay Packers,17,308,479,3807,144,842,57,389,87,453,114,1013,
Houston Texans,17,357,570,3526,55,384,41,337,14,47,147,1099,
Jacksonville Jaguars,17,343,546,3477,116,711,58,456,58,255,95,854,
Kansas City Chiefs,17,404,600,3780,142,920,102,754,40,166,105,818,
Miami Dolphins,17,413,591,3737,131,974,100,871,31,103,120,847,
Minnesota Vikings,17,364,548,4043,37,271,26,207,11,64,159,1474,
New Orleans Saints,17,340,551,3488,33,289,24,212,9,77,115,1081,
New England Patriots,17,342,529,2995,74,564,46,395,28,169,82,518,
New York Giants,17,366,591,3228,65,403,45,315,20,88,113,753,
New York Jets,17,385,607,3714,124,918,87,721,37,197,114,736,
Tennessee Titans,17,336,530,3317,57,445,39,342,18,103,115,837,
Philadelphia Eagles,17,303,448,3194,274,1733,75,731,199,1002,97,733,
Pittsburgh Steelers,17,321,499,3264,47,195,26,97,21,98,132,923,
Las Vegas Raiders,17,410,635,3797,85,455,57,344,28,111,110,720,
Los Angeles Rams,17,367,559,3868,47,263,27,190,20,73,170,1536,
Baltimore Ravens,17,318,477,4035,106,827,60,566,46,261,114,1031,
Los Angeles Chargers,17,336,510,3629,55,593,42,489,13,104,158,1449,
Seattle Seahawks,17,413,593,4020,92,490,63,369,29,121,89,513,
San Francisco 49ers,17,349,533,4234,49,447,37,397,12,50,106,989,
Tampa Bay Buccaneers,17,408,571,4257,76,585,45,424,31,161,125,1087,
Washington Commanders,17,365,525,3665,155,1108,89,687,66,421,111,764,
