Tm,G,Passing Cmp,Passing Att,Passing Yds,RPO Plays,RPO Yds,RPO PassAtt,RPO PassYds,RPO RushAtt,RPO RushYds,PlayAction PassAtt,PlayAction PassYds,Player_URL
Atlanta Falcons,17,327,530,3524,112,791,73,656,39,135,137,1114,
Buffalo Bills,17,385,579,4154,120,845,70,637,50,208,95,929,
Carolina Panthers,17,350,586,2741,68,320,27,160,41,160,90,604,
Chicago Bears,17,321,513,3096,83,622,51,470,32,152,109,740,
Cincinnati Bengals,17,420,615,3895,114,555,77,422,37,133,75,742,
Cleveland Browns,17,355,624,3693,90,651,45,437,45,214,142,1169,
Indianapolis Colts,17,355,574,3666,124,876,100,698,24,178,73,507,
Arizona Cardinals,17,355,555,3144,85,585,50,388,35,197,98,778,
Dallas Cowboys,17,428,614,4397,97,755,81,671,16,84,111,694,
Denver Broncos,17,337,513,3262,39,348,24,256,15,92,117,834,
Detroit Lions,17,408,606,4401,39,268,22,186,17,82,157,1415,
Green Bay Packers,17,374,581,3968,96,613,63,495,33,118,118,1105,
Houston Texans,17,372,592,4173,43,370,39,369,4,1,111,1071,
Jacksonville Jaguars,17,412,620,4126,105,620,66,448,39,172,98,892,
Kansas City Chiefs,17,421,635,4188,92,495,56,350,36,145,94,839,
Miami Dolphins,17,393,566,4514,115,1110,105,1069,10,41,131,1145,
Minnesota Vikings,17,424,631,4359,45,237,32,175,13,62,191,1398,
New Orleans Saints,17,406,606,3990,62,334,26,125,36,209,97,838,
New England Patriots,17,351,557,3069,73,325,37,181,36,144,87,750,
New York Giants,17,338,518,2886,85,637,51,460,34,177,84,607,
New York Jets,17,356,601,2919,30,171,18,114,12,57,109,775,
Tennessee Titans,17,304,494,3067,56,366,31,225,25,141,123,1120,
Philadelphia Eagles,17,369,563,3834,171,827,95,536,76,291,86,663,
Pittsburgh Steelers,17,323,506,3163,66,424,27,231,39,193,73,461,
Las Vegas Raiders,17,348,557,3380,25,179,18,144,7,35,120,934,
Los Angeles Rams,17,361,583,4063,29,207,20,164,9,43,110,1044,
Baltimore Ravens,17,328,494,3635,136,1209,90,911,46,298,66,532,
Los Angeles Chargers,17,409,632,3957,139,787,87,628,52,159,112,696,
Seattle Seahawks,17,371,575,3910,108,760,52,498,56,262,132,1272,
San Francisco 49ers,17,336,491,4384,36,321,25,253,11,68,102,986,
Tampa Bay Buccaneers,17,364,568,3812,73,365,52,285,21,80,101,728,
Washington Commanders,17,407,636,3725,103,561,67,349,36,212,73,391,
