Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1.0,Los Angeles Rams,1.0,9.0,2.0,22.2%,1.0,1.0,100.0%,1.0,0.0,0.0%
2.0,Denver Broncos,1.0,14.0,2.0,14.3%,1.0,0.0,0.0%,2.0,0.0,0.0%
3.0,San Francisco 49ers,1.0,10.0,3.0,30.0%,0.0,0.0,,3.0,1.0,33.3%
4.0,Chicago Bears,1.0,12.0,3.0,25.0%,0.0,0.0,,3.0,2.0,66.7%
5.0,Minnesota Vikings,1.0,12.0,3.0,25.0%,1.0,0.0,0.0%,2.0,2.0,100.0%
6.0,Washington Commanders,1.0,16.0,4.0,25.0%,2.0,1.0,50.0%,2.0,0.0,0.0%
7.0,Las Vegas Raiders,1.0,14.0,4.0,28.6%,1.0,1.0,100.0%,3.0,1.0,33.3%
8.0,New York Jets,1.0,10.0,4.0,40.0%,0.0,0.0,,3.0,3.0,100.0%
9.0,New York Giants,1.0,11.0,4.0,36.4%,0.0,0.0,,4.0,3.0,75.0%
10.0,Detroit Lions,1.0,10.0,4.0,40.0%,1.0,1.0,100.0%,5.0,3.0,60.0%
11.0,Green Bay Packers,1.0,15.0,5.0,33.3%,4.0,3.0,75.0%,4.0,1.0,25.0%
12.0,Los Angeles Chargers,1.0,14.0,5.0,35.7%,3.0,3.0,100.0%,3.0,1.0,33.3%
13.0,Carolina Panthers,1.0,12.0,5.0,41.7%,2.0,2.0,100.0%,5.0,2.0,40.0%
14.0,Arizona Cardinals,1.0,14.0,5.0,35.7%,2.0,1.0,50.0%,4.0,1.0,25.0%
15.0,Indianapolis Colts,1.0,10.0,5.0,50.0%,2.0,1.0,50.0%,1.0,1.0,100.0%
16.0,New England Patriots,1.0,13.0,5.0,38.5%,1.0,1.0,100.0%,1.0,1.0,100.0%
17.0,Tennessee Titans,1.0,15.0,6.0,40.0%,2.0,0.0,0.0%,3.0,1.0,33.3%
18.0,Tampa Bay Buccaneers,1.0,15.0,6.0,40.0%,4.0,3.0,75.0%,2.0,1.0,50.0%
19.0,Buffalo Bills,1.0,11.0,6.0,54.5%,0.0,0.0,,3.0,1.0,33.3%
20.0,New Orleans Saints,1.0,13.0,6.0,46.2%,0.0,0.0,,3.0,2.0,66.7%
21.0,Cleveland Browns,1.0,14.0,7.0,50.0%,0.0,0.0,,3.0,2.0,66.7%
22.0,Philadelphia Eagles,1.0,11.0,7.0,63.6%,1.0,0.0,0.0%,3.0,2.0,66.7%
23.0,Pittsburgh Steelers,1.0,14.0,7.0,50.0%,2.0,1.0,50.0%,4.0,3.0,75.0%
24.0,Miami Dolphins,1.0,15.0,7.0,46.7%,3.0,3.0,100.0%,6.0,3.0,50.0%
25.0,Baltimore Ravens,1.0,15.0,7.0,46.7%,1.0,1.0,100.0%,7.0,5.0,71.4%
26.0,Kansas City Chiefs,1.0,13.0,7.0,53.8%,1.0,1.0,100.0%,4.0,2.0,50.0%
27.0,Seattle Seahawks,1.0,14.0,7.0,50.0%,2.0,2.0,100.0%,5.0,2.0,40.0%
28.0,Houston Texans,1.0,13.0,7.0,53.8%,1.0,1.0,100.0%,3.0,2.0,66.7%
29.0,Atlanta Falcons,1.0,14.0,7.0,50.0%,1.0,1.0,100.0%,1.0,1.0,100.0%
30.0,Dallas Cowboys,1.0,13.0,8.0,61.5%,0.0,0.0,,3.0,3.0,100.0%
31.0,Jacksonville Jaguars,1.0,15.0,8.0,53.3%,2.0,0.0,0.0%,1.0,0.0,0.0%
32.0,Cincinnati Bengals,1.0,16.0,9.0,56.3%,3.0,2.0,66.7%,3.0,2.0,66.7%
,League Total,,,,,,,,,,
