Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Christian McCaffrey,29.0,SFO,RB,1.0,1.0,22.0,69.0,0.0,6.0,40.9,13.0,3.1,69.0,22.0,0.0,
2.0,Chase Brown,25.0,CIN,RB,1.0,1.0,21.0,43.0,1.0,3.0,47.6,8.0,2.0,43.0,21.0,0.0,
3.0,Breece Hall,24.0,NYJ,RB,1.0,1.0,19.0,107.0,0.0,7.0,52.6,18.0,5.6,107.0,19.0,0.0,
4.0,Josh Jacobs,27.0,GNB,RB,1.0,1.0,19.0,66.0,1.0,3.0,52.6,15.0,3.5,66.0,19.0,0.0,
5.0,Ashton Jeanty,22.0,LVR,RB,1.0,1.0,19.0,38.0,1.0,2.0,42.1,9.0,2.0,38.0,19.0,0.0,
6.0,Saquon Barkley,28.0,PHI,RB,1.0,1.0,18.0,60.0,1.0,4.0,55.6,16.0,3.3,60.0,18.0,0.0,
7.0,Derrick Henry,31.0,BAL,RB,1.0,1.0,18.0,169.0,2.0,5.0,44.4,49.0,9.4,169.0,18.0,1.0,
8.0,Tony Pollard,28.0,TEN,RB,1.0,1.0,18.0,60.0,0.0,2.0,38.9,9.0,3.3,60.0,18.0,1.0,
9.0,Jonathan Taylor,26.0,IND,RB,1.0,1.0,18.0,71.0,0.0,3.0,50.0,15.0,3.9,71.0,18.0,0.0,
10.0,Kyren Williams,25.0,LAR,RB,1.0,1.0,18.0,66.0,1.0,3.0,55.6,9.0,3.7,66.0,18.0,0.0,
11.0,D'Andre Swift,26.0,CHI,RB,1.0,1.0,17.0,53.0,0.0,2.0,35.3,13.0,3.1,53.0,17.0,0.0,
12.0,J.K. Dobbins,27.0,DEN,RB,1.0,1.0,16.0,63.0,1.0,2.0,37.5,19.0,3.9,63.0,16.0,0.0,
13.0,Travis Etienne,26.0,JAX,RB,1.0,1.0,16.0,143.0,0.0,3.0,50.0,71.0,8.9,143.0,16.0,0.0,
14.0,Chuba Hubbard,26.0,CAR,RB,1.0,1.0,16.0,57.0,0.0,3.0,62.5,9.0,3.6,57.0,16.0,0.0,
15.0,Omarion Hampton,22.0,LAC,RB,1.0,1.0,15.0,48.0,0.0,4.0,33.3,11.0,3.2,48.0,15.0,0.0,
16.0,Jordan Mason,26.0,MIN,RB,1.0,0.0,15.0,68.0,0.0,3.0,46.7,19.0,4.5,68.0,15.0,0.0,
17.0,Javonte Williams,25.0,DAL,RB,1.0,1.0,15.0,54.0,2.0,5.0,80.0,11.0,3.6,54.0,15.0,0.0,
18.0,Josh Allen,29.0,BUF,QB,1.0,1.0,14.0,30.0,2.0,4.0,57.1,9.0,2.1,30.0,14.0,0.0,
19.0,Jalen Hurts,27.0,PHI,QB,1.0,1.0,14.0,62.0,2.0,7.0,64.3,15.0,4.4,62.0,14.0,0.0,
20.0,Bucky Irving,23.0,TAM,RB,1.0,1.0,14.0,37.0,0.0,1.0,35.7,9.0,2.6,37.0,14.0,0.0,
21.0,Nick Chubb,30.0,HOU,RB,1.0,1.0,13.0,60.0,0.0,4.0,46.2,13.0,4.6,60.0,13.0,0.0,
22.0,James Cook,26.0,BUF,RB,1.0,1.0,13.0,44.0,1.0,3.0,61.5,11.0,3.4,44.0,13.0,0.0,
23.0,Zach Charbonnet,24.0,SEA,RB,1.0,0.0,12.0,47.0,1.0,4.0,83.3,7.0,3.9,47.0,12.0,0.0,
24.0,James Conner,30.0,ARI,RB,1.0,1.0,12.0,39.0,0.0,1.0,25.0,12.0,3.3,39.0,12.0,0.0,
