Quarter,Time,Tm,Detail,NYG,JAX,week,year,game_id
1.0,10:30,Giants,Darius Slayton 32 yard pass from Daniel Jones (Graham Gano kick),7,0,7.0,2022,102
,6:58,Jaguars,Travis Etienne 7 yard rush (Travis Etienne run),7,8,7.0,2022,102
2.0,13:23,Jaguars,Riley Patterson 27 yard field goal,7,11,7.0,2022,102
,7:27,Giants,Graham Gano 33 yard field goal,10,11,7.0,2022,102
,0:28,Giants,Graham Gano 33 yard field goal,13,11,7.0,2022,102
3.0,11:45,Jaguars,Trevor Lawrence 1 yard rush (Riley Patterson kick failed),13,17,7.0,2022,102
4.0,5:31,Giants,Daniel Jones 1 yard rush (Graham Gano kick),20,17,7.0,2022,102
,1:04,Giants,Graham Gano 34 yard field goal,23,17,7.0,2022,102
