Quarter,Time,Tm,Detail,IND,TEN,week,year,game_id
1.0,4:03,Titans,Randy Bullock 27 yard field goal,0,3,7.0,2022,99
2.0,9:25,Titans,Andrew Adams 76 yard interception return (Randy Bullock kick),0,10,7.0,2022,99
,1:57,Titans,Randy Bullock 28 yard field goal,0,13,7.0,2022,99
3.0,4:07,Colts,Parris Campbell 4 yard pass from Matt Ryan (Chase McLaughlin kick),7,13,7.0,2022,99
4.0,13:47,Titans,Randy Bullock 38 yard field goal,7,16,7.0,2022,99
,8:31,Colts,Chase McLaughlin 50 yard field goal,10,16,7.0,2022,99
,4:47,Titans,Randy Bullock 48 yard field goal,10,19,7.0,2022,99
