Unnamed: 0,KAN,SFO,week,year,game_id
First Downs,24,25,7.0,2022,105
Rush-Yds-TDs,21-112-3,21-101-0,7.0,2022,105
Cmp-Att-Yd-TD-INT,25-36-423-3-1,29-46-369-2-2,7.0,2022,105
Sacked-Yards,1-6,5-26,7.0,2022,105
Net Pass Yards,417,343,7.0,2022,105
Total Yards,529,444,7.0,2022,105
Fumbles-Lost,2-1,1-1,7.0,2022,105
Turnovers,2,3,7.0,2022,105
Penalties-Yards,8-84,10-80,7.0,2022,105
Third Down Conv.,6-9,8-14,7.0,2022,105
Fourth Down Conv.,0-0,0-0,7.0,2022,105
Time of Possession,26:15,33:45,7.0,2022,105
