Unnamed: 0,IND,TEN,week,year,game_id
First Downs,17,16,7.0,2022,99
Rush-Yds-TDs,17-65-0,35-138-0,7.0,2022,99
Cmp-Att-Yd-TD-INT,33-44-243-1-2,13-20-132-0-0,7.0,2022,99
Sacked-Yards,3-16,2-16,7.0,2022,99
Net Pass Yards,227,116,7.0,2022,99
Total Yards,292,254,7.0,2022,99
Fumbles-Lost,1-1,1-1,7.0,2022,99
Turnovers,3,1,7.0,2022,99
Penalties-Yards,4-28,2-15,7.0,2022,99
Third Down Conv.,4-13,5-12,7.0,2022,99
Fourth Down Conv.,1-1,0-0,7.0,2022,99
Time of Possession,28:27,31:33,7.0,2022,99
