Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jared Goff,DET,0,0,0,0,0,7.0,2022,100
Jamaal Williams,DET,1,1,4,0,4,7.0,2022,100
Kalif Raymond,DET,6,5,75,0,20,7.0,2022,100
Craig Reynolds,DET,3,3,18,0,11,7.0,2022,100
Justin Jackson,DET,0,0,0,0,0,7.0,2022,100
Brock Wright,DET,4,4,57,0,23,7.0,2022,100
T.J. Hockenson,DET,5,4,48,0,16,7.0,2022,100
Tom Kennedy,DET,3,2,14,0,9,7.0,2022,100
Josh Reynolds,DET,2,1,8,0,8,7.0,2022,100
Amon-Ra St. Brown,DET,1,1,4,0,4,7.0,2022,100
Dak Prescott,DAL,0,0,0,0,0,7.0,2022,100
Tony Pollard,DAL,2,2,26,0,19,7.0,2022,100
Ezekiel Elliott,DAL,0,0,0,0,0,7.0,2022,100
KaVontae Turpin,DAL,0,0,0,0,0,7.0,2022,100
Noah Brown,DAL,7,5,50,0,15,7.0,2022,100
Dalton Schultz,DAL,5,5,49,0,15,7.0,2022,100
Jake Ferguson,DAL,1,1,7,0,7,7.0,2022,100
Peyton Hendershot,DAL,2,2,5,1,3,7.0,2022,100
Michael Gallup,DAL,2,0,0,0,0,7.0,2022,100
CeeDee Lamb,DAL,6,4,70,0,24,7.0,2022,100
