Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,,7.0,2022,96
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 63 yards, returned by Chris Evans for 14 yards (tackle by KhaDarel Hodge and DeAngelo Malone)",0.0,-0.14,7.0,2022,96
1.0,14:56,1.0,10.0,CIN 16,0.0,0.0,Joe Burrow pass complete short left to Tyler Boyd for 11 yards (tackle by Darren Hall),-0.14,0.74,7.0,2022,96
1.0,14:22,1.0,10.0,CIN 27,0.0,0.0,Joe Mixon left guard for 6 yards (tackle by Mykal Walker and Rashaan Evans),0.74,1.01,7.0,2022,96
1.0,13:44,2.0,4.0,CIN 33,0.0,0.0,Joe Burrow pass complete short left to Hayden Hurst for 7 yards (tackle by AJ Terrell),1.01,1.6,7.0,2022,96
1.0,13:07,1.0,10.0,CIN 40,0.0,6.0,"Joe Burrow pass complete deep middle to Tyler Boyd for 60 yards, touchdown",1.6,7.0,7.0,2022,96
1.0,13:00,,,ATL 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,7.0,2022,96
1.0,13:00,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,96
1.0,13:00,1.0,10.0,ATL 25,0.0,7.0,Marcus Mariota scrambles up the middle for 4 yards (tackle by Akeem Davis-Gaither),0.61,0.6,7.0,2022,96
1.0,12:23,2.0,6.0,ATL 29,0.0,7.0,Tyler Allgeier left end for 9 yards (tackle by Chidobe Awuzie and Trey Hendrickson),0.6,1.47,7.0,2022,96
1.0,11:41,1.0,10.0,ATL 38,0.0,7.0,Tyler Allgeier left tackle for 3 yards (tackle by Jay Tufele and Germaine Pratt),1.47,1.33,7.0,2022,96
1.0,11:01,2.0,7.0,ATL 41,0.0,7.0,Marcus Mariota pass complete short left to Kyle Pitts for 2 yards (tackle by Jessie Bates),1.33,0.89,7.0,2022,96
1.0,10:18,3.0,5.0,ATL 43,0.0,7.0,Marcus Mariota pass incomplete short left intended for Avery Williams,0.89,-0.52,7.0,2022,96
1.0,10:15,4.0,5.0,ATL 43,0.0,7.0,"Bradley Pinion punts 49 yards, returned by Trent Taylor for 21 yards (tackle by Nick Kwiatkoski)",-0.52,-0.87,7.0,2022,96
1.0,10:04,1.0,10.0,CIN 29,0.0,7.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Jaylinn Hawkins),0.87,0.33,7.0,2022,96
1.0,9:59,2.0,10.0,CIN 29,0.0,7.0,Joe Burrow pass complete short middle to Hayden Hurst for 11 yards (tackle by Jaylinn Hawkins),0.33,1.6,7.0,2022,96
1.0,9:31,1.0,10.0,CIN 40,0.0,7.0,Joe Mixon left guard for 5 yards (tackle by Jaylinn Hawkins),1.6,1.73,7.0,2022,96
1.0,8:52,2.0,5.0,CIN 45,0.0,7.0,Joe Burrow pass complete short right to Joe Mixon for 22 yards (tackle by Jaylinn Hawkins),1.73,3.38,7.0,2022,96
1.0,8:26,1.0,10.0,ATL 33,0.0,7.0,Joe Burrow pass incomplete deep right intended for Hayden Hurst,3.38,2.84,7.0,2022,96
1.0,8:23,2.0,10.0,ATL 33,0.0,7.0,Joe Burrow pass complete short right to Ja'Marr Chase for 15 yards (tackle by Cornell Armstrong),2.84,4.37,7.0,2022,96
1.0,7:56,1.0,10.0,ATL 18,0.0,7.0,Joe Mixon right tackle for 3 yards (tackle by Rashaan Evans and Isaiah Oliver),4.37,4.25,7.0,2022,96
1.0,7:21,2.0,7.0,ATL 15,0.0,7.0,Joe Burrow pass complete short left to Tyler Boyd for 14 yards (tackle by Darren Hall),4.25,6.97,7.0,2022,96
1.0,6:44,1.0,1.0,ATL 1,0.0,7.0,"Penalty on Cordell Volson: False Start, 4 yards (accepted) (no play)",6.97,6.06,7.0,2022,96
1.0,6:20,1.0,5.0,ATL 5,0.0,7.0,Joe Burrow pass complete short left to Joe Mixon for 3 yards (tackle by Cornell Armstrong),6.06,5.72,7.0,2022,96
1.0,5:35,2.0,2.0,ATL 2,0.0,7.0,Joe Mixon right guard for 1 yard (tackle by Jaylinn Hawkins),5.72,5.17,7.0,2022,96
1.0,4:55,3.0,1.0,ATL 1,0.0,13.0,"Joe Mixon left tackle for 1 yard, touchdown",5.17,7.0,7.0,2022,96
1.0,4:51,,,ATL 15,0.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,7.0,2022,96
1.0,4:51,,,CIN 35,0.0,14.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,96
