Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Andy Dalton,NOR,0,0,0,0,0,7.0,2022,95
Taysom Hill,NOR,1,1,3,1,3,7.0,2022,95
Alvin Kamara,NOR,9,7,56,0,12,7.0,2022,95
Mark Ingram,NOR,3,3,16,0,11,7.0,2022,95
Chris Olave,NOR,14,7,106,0,41,7.0,2022,95
Kevin White,NOR,1,1,64,0,64,7.0,2022,95
Tre'Quan Smith,NOR,6,5,59,0,20,7.0,2022,95
Rashid Shaheed,NOR,1,1,53,1,53,7.0,2022,95
Juwan Johnson,NOR,5,5,32,2,17,7.0,2022,95
Marquez Callaway,NOR,6,2,20,0,12,7.0,2022,95
Kyler Murray,ARI,0,0,0,0,0,7.0,2022,95
Eno Benjamin,ARI,5,4,21,0,16,7.0,2022,95
Keaontay Ingram,ARI,2,2,23,0,24,7.0,2022,95
Greg Dortch,ARI,1,1,5,1,5,7.0,2022,95
DeAndre Hopkins,ARI,14,10,103,0,18,7.0,2022,95
Rondale Moore,ARI,2,1,31,0,31,7.0,2022,95
Zach Ertz,ARI,4,2,21,0,15,7.0,2022,95
Robbie Chosen,ARI,1,0,0,0,0,7.0,2022,95
