Unnamed: 0,ATL,CIN,week,year,game_id
First Downs,13,29,7.0,2022,96
Rush-Yds-TDs,29-107-1,21-78-2,7.0,2022,96
Cmp-Att-Yd-TD-INT,8-13-124-1-0,34-42-481-3-0,7.0,2022,96
Sacked-Yards,3-17,3-22,7.0,2022,96
Net Pass Yards,107,459,7.0,2022,96
Total Yards,214,537,7.0,2022,96
Fumbles-Lost,1-0,0-0,7.0,2022,96
Turnovers,0,0,7.0,2022,96
Penalties-Yards,3-22,5-17,7.0,2022,96
Third Down Conv.,4-10,7-11,7.0,2022,96
Fourth Down Conv.,0-0,0-1,7.0,2022,96
Time of Possession,26:55,33:05,7.0,2022,96
