Quarter,Time,Tm,Detail,CLE,BAL,week,year,game_id
1.0,8:23,Browns,Nick Chubb 2 yard rush (Cade York kick),7,0,7.0,2022,98
,3:27,Ravens,Justin Tucker 32 yard field goal,7,3,7.0,2022,98
,0:18,Browns,Cade York 41 yard field goal,10,3,7.0,2022,98
2.0,10:05,Ravens,Justin Tucker 34 yard field goal,10,6,7.0,2022,98
,1:57,Ravens,Gus Edwards 7 yard rush (Justin Tucker kick),10,13,7.0,2022,98
3.0,7:39,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),10,20,7.0,2022,98
,2:40,Browns,Cade York 37 yard field goal,13,20,7.0,2022,98
4.0,11:24,Ravens,Justin Tucker 55 yard field goal,13,23,7.0,2022,98
,9:00,Browns,Kareem Hunt 2 yard rush (Cade York kick),20,23,7.0,2022,98
