Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Geno Smith,SEA,20,27,210,2,1,2,19,28,105.5,7.0,2022,106
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
DeeJay Dallas,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
D'Wayne Eskridge,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
Marquise Goodwin,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
Will Dissly,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
Colby Parkinson,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
Noah Fant,SEA,0,0,0,0,0,0,0,0,,7.0,2022,106
Justin Herbert,LAC,33,51,293,2,1,3,17,24,84.8,7.0,2022,106
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
Sony Michel,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
Mike Williams,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
DeAndre Carter,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
Jason Moore,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
Michael Bandy,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,,7.0,2022,106
