Unnamed: 0,SEA,LAC,week,year,game_id
First Downs,24,21,7.0,2022,106
Rush-Yds-TDs,34-213-2,15-53-1,7.0,2022,106
Cmp-Att-Yd-TD-INT,20-27-210-2-1,33-51-293-2-1,7.0,2022,106
Sacked-Yards,2-19,3-17,7.0,2022,106
Net Pass Yards,191,276,7.0,2022,106
Total Yards,404,329,7.0,2022,106
Fumbles-Lost,1-1,2-1,7.0,2022,106
Turnovers,2,2,7.0,2022,106
Penalties-Yards,7-68,7-70,7.0,2022,106
Third Down Conv.,5-9,5-15,7.0,2022,106
Fourth Down Conv.,0-0,1-3,7.0,2022,106
Time of Possession,33:57,26:03,7.0,2022,106
