Unnamed: 0,CHI,NWE,week,year,game_id
First Downs,24,12,7.0,2022,108
Rush-Yds-TDs,45-243-2,19-70-1,7.0,2022,108
Cmp-Att-Yd-TD-INT,13-21-179-1-1,17-28-198-1-3,7.0,2022,108
Sacked-Yards,4-32,1-8,7.0,2022,108
Net Pass Yards,147,190,7.0,2022,108
Total Yards,390,260,7.0,2022,108
Fumbles-Lost,5-0,1-1,7.0,2022,108
Turnovers,1,4,7.0,2022,108
Penalties-Yards,4-35,4-30,7.0,2022,108
Third Down Conv.,11-18,5-10,7.0,2022,108
Fourth Down Conv.,0-1,0-1,7.0,2022,108
Time of Possession,37:14,22:46,7.0,2022,108
