Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss, Dolphins to receive the opening kickoff.",,,7.0,2022,107
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 64 yards, returned by Raheem Mostert for 28 yards (tackle by Miles Killebrew and Benny Snell)",0.0,0.87,7.0,2022,107
1.0,14:53,1.0,10.0,MIA 29,0.0,0.0,"Penalty on Liam Eichenberg: False Start, 5 yards (accepted) (no play)",0.87,0.54,7.0,2022,107
1.0,14:53,1.0,15.0,MIA 24,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for -4 yards (tackle by Arthur Maulet),0.54,-0.89,7.0,2022,107
1.0,14:19,2.0,19.0,MIA 20,0.0,0.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 20 yards (tackle by Terrell Edmunds),-0.89,1.6,7.0,2022,107
1.0,13:49,1.0,10.0,MIA 40,0.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 17 yards (tackle by Arthur Maulet and Devin Bush),1.6,2.72,7.0,2022,107
1.0,13:09,1.0,10.0,PIT 43,0.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 9 yards (tackle by Myles Jack and Minkah Fitzpatrick),2.72,3.39,7.0,2022,107
1.0,12:39,2.0,1.0,PIT 34,0.0,0.0,Raheem Mostert up the middle for 1 yard (tackle by Terrell Edmunds),3.39,3.38,7.0,2022,107
1.0,11:58,,,,,,Timeout #1 by Miami Dolphins,,,7.0,2022,107
1.0,11:58,1.0,10.0,PIT 33,0.0,0.0,Tua Tagovailoa pass complete short middle to Mike Gesicki for 18 yards (tackle by Minkah Fitzpatrick),3.38,4.58,7.0,2022,107
1.0,11:32,1.0,10.0,PIT 15,0.0,0.0,Raheem Mostert left tackle for 7 yards (tackle by Montravius Adams and Robert Spillane),4.58,5.22,7.0,2022,107
1.0,10:54,2.0,3.0,PIT 8,0.0,0.0,Tua Tagovailoa pass incomplete short middle intended for Mike Gesicki (defended by Terrell Edmunds),5.22,4.45,7.0,2022,107
1.0,10:51,3.0,3.0,PIT 8,0.0,6.0,"Tua Tagovailoa pass complete short left to Raheem Mostert for 8 yards, touchdown",4.45,7.0,7.0,2022,107
1.0,10:45,,,PIT 15,0.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,7.0,2022,107
1.0,10:45,,,MIA 35,0.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,107
1.0,10:45,1.0,10.0,PIT 25,0.0,7.0,Najee Harris right tackle for 3 yards (tackle by Andrew Van Ginkel),0.61,0.47,7.0,2022,107
1.0,10:05,2.0,7.0,PIT 28,0.0,7.0,Najee Harris left guard for 4 yards (tackle by Christian Wilkins and Elandon Roberts),0.47,0.3,7.0,2022,107
1.0,9:43,3.0,3.0,PIT 32,0.0,7.0,Kenny Pickett pass incomplete deep left intended for Diontae Johnson,0.3,-1.24,7.0,2022,107
1.0,9:39,4.0,3.0,PIT 32,0.0,7.0,"Pressley Harvin punts 23 yards out of bounds. Penalty on Elijah Campbell: Offensive Holding, 10 yards (accepted)",-1.24,-1.27,7.0,2022,107
1.0,9:31,1.0,10.0,MIA 35,0.0,7.0,Raheem Mostert left end for 5 yards (tackle by Myles Jack and Cameron Heyward),1.27,1.4,7.0,2022,107
1.0,8:49,2.0,5.0,MIA 40,0.0,7.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 25 yards (tackle by Levi Wallace),1.4,3.25,7.0,2022,107
1.0,8:06,1.0,10.0,PIT 35,0.0,7.0,Raheem Mostert left tackle for 12 yards (tackle by James Pierre),3.25,4.04,7.0,2022,107
1.0,7:22,1.0,10.0,PIT 23,0.0,7.0,Raheem Mostert right end for 11 yards (tackle by Minkah Fitzpatrick and Robert Spillane),4.04,4.78,7.0,2022,107
1.0,6:47,1.0,10.0,PIT 12,0.0,7.0,Chase Edmonds left tackle for 1 yard (tackle by Larry Ogunjobi),4.78,4.27,7.0,2022,107
1.0,6:24,2.0,9.0,PIT 11,0.0,7.0,Tua Tagovailoa scrambles right end for 5 yards (tackle by Devin Bush),4.27,4.38,7.0,2022,107
1.0,5:42,3.0,4.0,PIT 6,0.0,7.0,Tua Tagovailoa pass incomplete short middle intended for Raheem Mostert (defended by Minkah Fitzpatrick),4.38,3.0,7.0,2022,107
1.0,5:34,4.0,4.0,PIT 6,0.0,10.0,Jason Sanders 24 yard field goal good,3.0,3.0,7.0,2022,107
1.0,5:32,,,MIA 35,0.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,107
1.0,5:32,1.0,10.0,PIT 25,0.0,10.0,Kenny Pickett pass complete short right to Pat Freiermuth for 6 yards (tackle by Jaelan Phillips and Andrew Van Ginkel),0.61,0.87,7.0,2022,107
1.0,4:49,2.0,4.0,PIT 31,0.0,10.0,Kenny Pickett pass deep left intended for Chase Claypool is intercepted by Justin Bethel at MIA-36 and returned for 11 yards (tackle by Chase Claypool),0.87,-2.06,7.0,2022,107
