Quarter,Time,Tm,Detail,GNB,WAS,week,year,game_id
1.0,6:38,Packers,Aaron Jones 4 yard pass from Aaron Rodgers (Mason Crosby kick),7,0,7.0,2022,101
,2:04,Commanders,Joey Slye 22 yard field goal,7,3,7.0,2022,101
2.0,13:29,Packers,De'Vondre Campbell 63 yard interception return (Mason Crosby kick),14,3,7.0,2022,101
,7:21,Commanders,Antonio Gibson 9 yard pass from Taylor Heinicke (Joey Slye kick),14,10,7.0,2022,101
3.0,11:49,Commanders,Terry McLaurin 37 yard pass from Taylor Heinicke (Joey Slye kick),14,17,7.0,2022,101
,0:08,Commanders,Joey Slye 31 yard field goal,14,20,7.0,2022,101
4.0,6:40,Commanders,Joey Slye 19 yard field goal,14,23,7.0,2022,101
,3:26,Packers,Aaron Jones 21 yard pass from Aaron Rodgers (Mason Crosby kick),21,23,7.0,2022,101
