Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,7.0,2022,100
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,100
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass incomplete deep left intended for Noah Brown,0.61,0.06,7.0,2022,100
1.0,14:52,2.0,10.0,DAL 25,0.0,0.0,Ezekiel Elliott left tackle for 2 yards (tackle by DeShon Elliott and Jeff Okudah),0.06,-0.36,7.0,2022,100
1.0,14:16,3.0,8.0,DAL 27,0.0,0.0,Dak Prescott sacked by and Alex Anzalone for -9 yards and Aidan Hutchinson for -9 yards,-0.36,-2.24,7.0,2022,100
1.0,13:38,4.0,17.0,DAL 18,0.0,0.0,"Bryan Anger punts 56 yards, returned by Kalif Raymond for 13 yards (tackle by Noah Brown)",-2.24,-1.53,7.0,2022,100
1.0,13:26,1.0,10.0,DET 39,0.0,0.0,Jared Goff pass complete short left to Brock Wright for 11 yards (tackle by Malik Hooker),1.53,2.26,7.0,2022,100
1.0,12:48,1.0,10.0,DET 50,0.0,0.0,Jamaal Williams left tackle for 3 yards (tackle by Osa Odighizuwa),2.26,2.12,7.0,2022,100
1.0,12:12,2.0,7.0,DAL 47,0.0,0.0,"Jamaal Williams up the middle for no gain. Jamaal Williams fumbles (forced by Donovan Wilson), recovered by Brock Wright at DAL-47",2.12,1.42,7.0,2022,100
1.0,11:26,3.0,7.0,DAL 47,0.0,0.0,Craig Reynolds left tackle for no gain (tackle by DeMarcus Lawrence),1.42,0.13,7.0,2022,100
1.0,10:48,4.0,7.0,DAL 47,0.0,0.0,"Scott Daly fumbles, recovered by Jack Fox at DAL-47 Jack Fox punts 47 yards, touchback.",0.13,-0.28,7.0,2022,100
1.0,10:39,1.0,10.0,DAL 20,0.0,0.0,Ezekiel Elliott left guard for 2 yards (tackle by Josh Paschal),0.28,0.14,7.0,2022,100
1.0,10:14,2.0,7.0,DAL 23,0.0,0.0,Dak Prescott pass complete short middle to Jake Ferguson for 7 yards (tackle by Malcolm Rodriguez),0.14,0.23,7.0,2022,100
1.0,9:45,3.0,1.0,DAL 29,0.0,0.0,Ezekiel Elliott right end for -2 yards (tackle by Jeff Okudah),0.23,-1.57,7.0,2022,100
1.0,9:01,4.0,3.0,DAL 27,0.0,0.0,"Bryan Anger punts 43 yards, fair catch by Kalif Raymond at DET-30",-1.57,-0.94,7.0,2022,100
1.0,8:53,1.0,10.0,DET 30,0.0,0.0,Kalif Raymond right end for 12 yards (tackle by Leighton Vander Esch and Carlos Watkins),0.94,1.73,7.0,2022,100
