Unnamed: 0,NOR,ARI,week,year,game_id
First Downs,25,21,7.0,2022,95
Rush-Yds-TDs,22-85-0,29-137-2,7.0,2022,95
Cmp-Att-Yd-TD-INT,32-49-409-4-3,20-29-204-1-0,7.0,2022,95
Sacked-Yards,0-0,2-15,7.0,2022,95
Net Pass Yards,409,189,7.0,2022,95
Total Yards,494,326,7.0,2022,95
Fumbles-Lost,0-0,2-0,7.0,2022,95
Turnovers,3,0,7.0,2022,95
Penalties-Yards,8-49,4-20,7.0,2022,95
Third Down Conv.,6-13,3-10,7.0,2022,95
Fourth Down Conv.,1-1,1-1,7.0,2022,95
Time of Possession,29:02,30:58,7.0,2022,95
