Quarter,Time,Down,ToGo,Location,NOR,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,,7.0,2022,95
1.0,15:00,,,ARI 35,0.0,0.0,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,95
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Andy Dalton pass complete short left to Juwan Johnson for 6 yards (tackle by Victor Dimukeje),0.61,0.87,7.0,2022,95
1.0,14:28,2.0,4.0,NOR 31,0.0,0.0,Alvin Kamara up the middle for 17 yards (tackle by Budda Baker),0.87,2.13,7.0,2022,95
1.0,13:46,1.0,10.0,NOR 48,0.0,0.0,Alvin Kamara up the middle for 4 yards (tackle by Rashard Lawrence and Zaven Collins),2.13,2.12,7.0,2022,95
1.0,13:12,2.0,6.0,ARI 48,0.0,0.0,"Penalty on Ryan Ramczyk: False Start, 5 yards (accepted) (no play)",2.12,1.45,7.0,2022,95
1.0,13:02,2.0,11.0,NOR 47,6.0,0.0,"Andy Dalton pass complete deep middle to Rashid Shaheed for 53 yards, touchdown",1.45,7.0,7.0,2022,95
1.0,12:53,,,ARI 15,7.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,7.0,2022,95
1.0,12:53,,,NOR 35,7.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,95
1.0,12:53,1.0,10.0,ARI 25,7.0,0.0,Eno Benjamin up the middle for 7 yards (tackle by Tyrann Mathieu),0.61,1.01,7.0,2022,95
1.0,12:35,2.0,3.0,ARI 32,7.0,0.0,Kyler Murray pass complete deep right to Rondale Moore for 31 yards (tackle by Alontae Taylor),1.01,3.12,7.0,2022,95
1.0,11:46,1.0,10.0,NOR 37,7.0,0.0,"Kyler Murray pass complete short right to Eno Benjamin for no gain (tackle by Pete Werner). Penalty on Will Hernandez: Ineligible Downfield Pass, 5 yards (declined)",3.12,2.57,7.0,2022,95
1.0,11:39,2.0,10.0,NOR 37,7.0,0.0,Kyler Murray pass complete short left to DeAndre Hopkins for 5 yards (tackle by Bradley Roby),2.57,2.54,7.0,2022,95
1.0,11:04,3.0,5.0,NOR 32,7.0,0.0,Kyler Murray pass incomplete deep right intended for DeAndre Hopkins,2.54,1.26,7.0,2022,95
