Quarter,Time,Tm,Detail,PIT,MIA,week,year,game_id
1.0,10:45,Dolphins,Raheem Mostert 8 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7,7.0,2022,107
,5:32,Dolphins,Jason Sanders 24 yard field goal,0,10,7.0,2022,107
,2:27,Dolphins,Jason Sanders 42 yard field goal,0,13,7.0,2022,107
2.0,11:44,Steelers,Chris Boswell 45 yard field goal,3,13,7.0,2022,107
,1:50,Steelers,George Pickens 7 yard pass from Kenny Pickett (Chris Boswell kick),10,13,7.0,2022,107
,0:02,Dolphins,Jason Sanders 47 yard field goal,10,16,7.0,2022,107
