Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Alvin Kamara,NOR,9,7,56,0,3.0,8,1.1,48,6.9,1.8,0,,0,0.0,0,92.6,7.0,2022,95
Chris Olave,NOR,14,7,106,0,4.0,73,10.4,33,4.7,12.0,1,7.0,0,0.0,1,45.5,7.0,2022,95
Juwan Johnson,NOR,5,5,32,2,2.0,7,1.4,25,5.0,1.4,0,,0,0.0,0,132.9,7.0,2022,95
Tre'Quan Smith,NOR,6,5,59,0,3.0,40,8.0,19,3.8,7.8,2,2.5,1,16.7,0,107.6,7.0,2022,95
Mark Ingram,NOR,3,3,16,0,1.0,4,1.3,12,4.0,1.3,0,,0,0.0,0,88.9,7.0,2022,95
Marquez Callaway,NOR,6,2,20,0,1.0,10,5.0,10,5.0,15.7,0,,1,16.7,2,4.2,7.0,2022,95
Taysom Hill,NOR,1,1,3,1,1.0,-3,-3.0,6,6.0,-3.0,0,,0,0.0,0,118.7,7.0,2022,95
Rashid Shaheed,NOR,1,1,53,1,1.0,44,44.0,9,9.0,44.0,0,,0,0.0,0,158.3,7.0,2022,95
Kevin White,NOR,1,1,64,0,1.0,2,2.0,62,62.0,2.0,0,,0,0.0,0,118.7,7.0,2022,95
DeAndre Hopkins,ARI,14,10,103,0,4.0,87,8.7,16,1.6,9.4,0,,2,14.3,0,92.3,7.0,2022,95
Eno Benjamin,ARI,5,4,21,0,1.0,-14,-3.5,35,8.8,-2.2,1,4.0,1,20.0,0,84.2,7.0,2022,95
Zach Ertz,ARI,4,2,21,0,1.0,21,10.5,0,0.0,7.0,0,,0,0.0,0,65.6,7.0,2022,95
Keaontay Ingram,ARI,2,2,23,0,1.0,-4,-2.0,27,13.5,-2.0,2,1.0,0,0.0,0,114.6,7.0,2022,95
Greg Dortch,ARI,1,1,5,1,1.0,4,4.0,1,1.0,4.0,0,,0,0.0,0,127.1,7.0,2022,95
Rondale Moore,ARI,2,1,31,0,1.0,16,16.0,15,15.0,13.0,0,,0,0.0,0,95.8,7.0,2022,95
Robbie Chosen,ARI,1,0,0,0,,0,,0,,42.0,0,,0,0.0,0,39.6,7.0,2022,95
