Quarter,Time,Down,ToGo,Location,NYG,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Giants to receive the opening kickoff.",,,7.0,2022,102
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,102
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Daniel Jones pass complete short right to Darius Slayton for 12 yards (tackle by Andre Cisco),0.61,1.4,7.0,2022,102
1.0,14:25,1.0,10.0,NYG 37,0.0,0.0,Daniel Jones pass incomplete short middle intended for Darius Slayton,1.4,0.86,7.0,2022,102
1.0,14:21,2.0,10.0,NYG 37,0.0,0.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 7 yards (tackle by Darious Williams),0.86,1.09,7.0,2022,102
1.0,13:39,3.0,3.0,NYG 44,0.0,0.0,Daniel Jones scrambles up the middle for 14 yards (tackle by Andre Cisco),1.09,2.79,7.0,2022,102
1.0,13:08,1.0,10.0,JAX 42,0.0,0.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 1 yard (tackle by Darious Williams),2.79,2.38,7.0,2022,102
1.0,12:24,2.0,9.0,JAX 41,0.0,0.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 4 yards (tackle by Tre Herndon and Darious Williams),2.38,2.21,7.0,2022,102
1.0,11:54,3.0,5.0,JAX 37,0.0,0.0,Daniel Jones pass complete short left to Saquon Barkley for 9 yards (tackle by Arden Key),2.21,3.71,7.0,2022,102
1.0,11:12,1.0,10.0,JAX 28,0.0,0.0,Saquon Barkley left end for -4 yards (tackle by Roy Robertson-Harris),3.71,2.63,7.0,2022,102
1.0,10:29,2.0,14.0,JAX 32,6.0,0.0,"Daniel Jones pass complete deep right to Darius Slayton for 32 yards, touchdown",2.63,7.0,7.0,2022,102
1.0,10:21,,,JAX 15,7.0,0.0,Graham Gano kicks extra point good,0.0,0.0,7.0,2022,102
1.0,10:21,,,NYG 35,7.0,0.0,"Graham Gano kicks off 54 yards, returned by Jamycal Hasty for 19 yards (tackle by Fabian Moreau)",0.0,0.94,7.0,2022,102
1.0,10:16,1.0,10.0,JAX 30,7.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 13 yards,0.94,1.8,7.0,2022,102
1.0,9:42,1.0,10.0,JAX 43,7.0,0.0,Travis Etienne up the middle for 1 yard (tackle by Jihad Ward and Nick Williams),1.8,1.39,7.0,2022,102
1.0,9:04,2.0,9.0,JAX 44,7.0,0.0,Zay Jones right end for 14 yards (tackle by Kayvon Thibodeaux),1.39,2.79,7.0,2022,102
1.0,8:27,1.0,10.0,NYG 42,7.0,0.0,Trevor Lawrence pass complete short middle to Christian Kirk for 11 yards (tackle by Jaylon Smith),2.79,3.51,7.0,2022,102
1.0,7:46,1.0,10.0,NYG 31,7.0,0.0,Trevor Lawrence pass complete short left to Dan Arnold for 24 yards (tackle by Fabian Moreau),3.51,5.6,7.0,2022,102
1.0,7:02,1.0,7.0,NYG 7,7.0,6.0,"Travis Etienne left guard for 7 yards, touchdown",5.6,7.0,7.0,2022,102
1.0,6:58,,,NYG 15,7.0,6.0,Riley Patterson kicks extra point good (no play),0.0,1.0,7.0,2022,102
1.0,6:58,1.0,1.0,NYG 2,7.0,8.0,"Two Point Attempt: Travis Etienne rushes, conversion succeeds.",1.0,1.0,7.0,2022,102
1.0,6:58,,,JAX 35,7.0,8.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,102
1.0,6:58,1.0,10.0,NYG 25,7.0,8.0,"Daniel Jones scrambles right end for 2 yards (tackle by Rayshawn Jenkins). Penalty on Josh Allen: Defensive Holding, 5 yards (accepted)",0.61,1.07,7.0,2022,102
1.0,6:37,1.0,10.0,NYG 32,7.0,8.0,Saquon Barkley right end for 2 yards (tackle by Devin Lloyd and Foyesade Oluokun),1.07,0.8,7.0,2022,102
1.0,5:58,2.0,8.0,NYG 34,7.0,8.0,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson (defended by Darious Williams),0.8,0.1,7.0,2022,102
1.0,5:53,3.0,8.0,NYG 34,7.0,8.0,"Daniel Jones sacked by Josh Allen for no gain. Daniel Jones fumbles (forced by Josh Allen), recovered by Darious Williams at NYG-39 (tackle by Josh Allen). Penalty on Josh Allen: Defensive Offside, 5 yards (accepted) (no play)",0.1,0.76,7.0,2022,102
1.0,5:50,3.0,3.0,NYG 39,7.0,8.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 10 yards (tackle by Darious Williams),0.76,2.19,7.0,2022,102
1.0,5:20,1.0,10.0,NYG 49,7.0,8.0,"Daniel Jones pass incomplete intended for Wan'Dale Robinson. Penalty on Tanner Hudson: Offensive Holding, 10 yards (accepted) (no play)",2.19,1.53,7.0,2022,102
1.0,5:20,1.0,20.0,NYG 39,7.0,8.0,Daniel Jones pass incomplete deep middle intended for Marcus Johnson,1.53,0.3,7.0,2022,102
1.0,5:13,2.0,20.0,NYG 39,7.0,8.0,Daniel Jones pass complete short right to Saquon Barkley for 6 yards (tackle by Devin Lloyd and Tre Herndon),0.3,0.43,7.0,2022,102
1.0,4:26,3.0,14.0,NYG 45,7.0,8.0,Daniel Jones pass incomplete short left intended for Richie James (defended by Darious Williams),0.43,-0.39,7.0,2022,102
1.0,4:18,4.0,14.0,NYG 45,7.0,8.0,Jamie Gillan punts 34 yards downed by Tomon Fox,-0.39,-0.34,7.0,2022,102
1.0,4:07,1.0,10.0,JAX 21,7.0,8.0,Travis Etienne left end for 15 yards (tackle by Tae Crowder),0.34,1.27,7.0,2022,102
1.0,3:32,1.0,10.0,JAX 35,7.0,8.0,Trevor Lawrence pass complete short middle to Evan Engram for 28 yards (tackle by Adoree' Jackson and Julian Love),1.27,3.18,7.0,2022,102
1.0,2:56,1.0,10.0,NYG 36,7.0,8.0,Travis Etienne up the middle for 7 yards (tackle by Jihad Ward),3.18,3.58,7.0,2022,102
1.0,2:35,2.0,3.0,NYG 29,7.0,8.0,Travis Etienne right guard for 1 yard (tackle by Jaylon Smith),3.58,3.01,7.0,2022,102
1.0,1:56,3.0,2.0,NYG 28,7.0,8.0,Trevor Lawrence right end for 1 yard (tackle by Dexter Lawrence),3.01,1.82,7.0,2022,102
1.0,1:19,4.0,1.0,NYG 27,7.0,8.0,Trevor Lawrence pass complete short right to Zay Jones for 2 yards (tackle by Fabian Moreau),1.82,3.91,7.0,2022,102
1.0,0:36,1.0,10.0,NYG 25,7.0,8.0,Trevor Lawrence pass complete short right to Christian Kirk for 5 yards (tackle by Adoree' Jackson and Darnay Holmes),3.91,4.04,7.0,2022,102
2.0,15:00,2.0,5.0,NYG 20,7.0,8.0,Jamycal Hasty left end for 6 yards (tackle by Kayvon Thibodeaux and Fabian Moreau),4.04,4.65,7.0,2022,102
2.0,14:14,1.0,10.0,NYG 14,7.0,8.0,Trevor Lawrence pass incomplete short left intended for James Robinson,4.65,4.0,7.0,2022,102
