Quarter,Time,Down,ToGo,Location,NYJ,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Jets to receive the opening kickoff.",,,7.0,2022,104
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,104
1.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,Zach Wilson pass incomplete deep right intended for Tyler Conklin,0.61,0.06,7.0,2022,104
1.0,14:55,2.0,10.0,NYJ 25,0.0,0.0,"Zach Wilson pass incomplete short right. Penalty on Nate Herbig: Ineligible Downfield Pass, 5 yards (declined)",0.06,-0.62,7.0,2022,104
1.0,14:48,3.0,10.0,NYJ 25,0.0,0.0,Zach Wilson pass incomplete deep middle intended for Corey Davis,-0.62,-1.7,7.0,2022,104
1.0,14:44,4.0,10.0,NYJ 25,0.0,0.0,"Braden Mann punts 58 yards, fair catch by Montrell Washington at DEN-17",-1.7,0.06,7.0,2022,104
1.0,14:37,1.0,10.0,DEN 17,0.0,0.0,Melvin Gordon up the middle for 3 yards (tackle by Quinnen Williams),-0.06,-0.06,7.0,2022,104
1.0,14:08,2.0,7.0,DEN 20,0.0,0.0,Brett Rypien pass complete short right to Jerry Jeudy for no gain (tackle by Sauce Gardner),-0.06,-0.87,7.0,2022,104
1.0,13:32,3.0,7.0,DEN 20,0.0,0.0,Brett Rypien pass complete short middle to Jerry Jeudy for 16 yards (tackle by Jordan Whitehead),-0.87,1.33,7.0,2022,104
1.0,12:58,1.0,10.0,DEN 36,0.0,0.0,Melvin Gordon right end for 6 yards (tackle by Sauce Gardner),1.33,1.6,7.0,2022,104
1.0,12:26,2.0,4.0,DEN 42,0.0,0.0,Melvin Gordon right tackle for 1 yard (tackle by Vinny Curry),1.6,1.03,7.0,2022,104
1.0,11:50,3.0,3.0,DEN 43,0.0,0.0,Brett Rypien pass incomplete short left intended for Jerry Jeudy,1.03,-0.52,7.0,2022,104
1.0,11:43,4.0,3.0,DEN 43,0.0,0.0,"Corliss Waitman punts 44 yards, fair catch by Braxton Berrios at NYJ-13",-0.52,0.32,7.0,2022,104
1.0,11:36,1.0,10.0,NYJ 13,0.0,0.0,Breece Hall right guard for 4 yards (tackle by Alex Singleton and D.J. Jones),-0.32,-0.37,7.0,2022,104
1.0,10:56,2.0,7.0,NYJ 17,0.0,0.0,Zach Wilson pass complete short left to Garrett Wilson for 5 yards (tackle by Damarri Mathis),-0.37,-0.35,7.0,2022,104
1.0,10:14,3.0,1.0,NYJ 22,0.0,0.0,"Breece Hall left end for no gain (tackle by Damarri Mathis). Penalty on Garrett Wilson: Offensive Holding, 10 yards (accepted) (no play)",-0.35,-1.54,7.0,2022,104
1.0,10:04,3.0,11.0,NYJ 12,0.0,0.0,Zach Wilson pass complete short left to C.J. Uzomah for 5 yards (tackle by Bradley Chubb),-1.54,-2.32,7.0,2022,104
1.0,9:22,4.0,6.0,NYJ 17,0.0,0.0,"Penalty on Jacob Martin: False Start, 5 yards (accepted) (no play)",-2.32,-2.49,7.0,2022,104
1.0,9:14,4.0,11.0,NYJ 12,0.0,0.0,"Braden Mann punts 51 yards, returned by Montrell Washington for 2 yards (tackle by Justin Hardee)",-2.49,-1.53,7.0,2022,104
