Unnamed: 0,NYJ,DEN,week,year,game_id
First Downs,10,21,7.0,2022,104
Rush-Yds-TDs,24-155-1,28-105-1,7.0,2022,104
Cmp-Att-Yd-TD-INT,16-26-121-0-0,24-46-225-0-1,7.0,2022,104
Sacked-Yards,3-16,1-6,7.0,2022,104
Net Pass Yards,105,219,7.0,2022,104
Total Yards,260,324,7.0,2022,104
Fumbles-Lost,0-0,1-0,7.0,2022,104
Turnovers,0,1,7.0,2022,104
Penalties-Yards,11-85,4-34,7.0,2022,104
Third Down Conv.,3-14,5-16,7.0,2022,104
Fourth Down Conv.,0-0,1-3,7.0,2022,104
Time of Possession,27:37,32:23,7.0,2022,104
