Unnamed: 0,GNB,WAS,week,year,game_id
First Downs,16,22,7.0,2022,101
Rush-Yds-TDs,12-38-0,38-166-0,7.0,2022,101
Cmp-Att-Yd-TD-INT,23-35-194-2-0,20-33-201-2-1,7.0,2022,101
Sacked-Yards,0-0,1-3,7.0,2022,101
Net Pass Yards,194,198,7.0,2022,101
Total Yards,232,364,7.0,2022,101
Fumbles-Lost,3-1,0-0,7.0,2022,101
Turnovers,1,1,7.0,2022,101
Penalties-Yards,9-69,7-54,7.0,2022,101
Third Down Conv.,0-6,7-16,7.0,2022,101
Fourth Down Conv.,0-1,0-0,7.0,2022,101
Time of Possession,22:53,37:07,7.0,2022,101
