Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss, 49ers to receive the opening kickoff.",,,7.0,2022,105
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,105
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,Jeff Wilson left tackle for 7 yards (tackle by Willie Gay and Justin Reid),0.61,1.01,7.0,2022,105
1.0,14:27,2.0,3.0,SFO 32,0.0,0.0,Jimmy Garoppolo pass complete short right to George Kittle for 18 yards (tackle by Nick Bolton),1.01,2.26,7.0,2022,105
1.0,13:51,1.0,10.0,KAN 50,0.0,0.0,Jimmy Garoppolo pass incomplete short left intended for George Kittle,2.26,1.71,7.0,2022,105
1.0,13:45,2.0,10.0,KAN 50,0.0,0.0,Christian McCaffrey up the middle for 10 yards (tackle by Leo Chenal),1.71,2.92,7.0,2022,105
1.0,13:10,1.0,10.0,KAN 40,0.0,0.0,Christian McCaffrey up the middle for 9 yards (tackle by Juan Thornhill),2.92,3.59,7.0,2022,105
1.0,12:32,2.0,1.0,KAN 31,0.0,0.0,Jeff Wilson left guard for 12 yards (tackle by Juan Thornhill),3.59,4.31,7.0,2022,105
1.0,11:52,1.0,10.0,KAN 19,0.0,0.0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 6 yards (tackle by Juan Thornhill),4.31,4.72,7.0,2022,105
1.0,11:15,2.0,4.0,KAN 13,0.0,0.0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 1 yard (tackle by L'Jarius Sneed),4.72,4.19,7.0,2022,105
1.0,10:31,3.0,3.0,KAN 12,0.0,0.0,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk (defended by Joshua Williams),4.19,2.73,7.0,2022,105
1.0,10:26,4.0,3.0,KAN 12,0.0,3.0,Robbie Gould 30 yard field goal good,2.73,3.0,7.0,2022,105
1.0,10:22,,,SFO 35,0.0,3.0,"Robbie Gould kicks off 60 yards, returned by Isiah Pacheco for 20 yards (tackle by George Odum)",0.0,0.61,7.0,2022,105
1.0,10:17,1.0,10.0,KAN 25,0.0,3.0,Isiah Pacheco left tackle for 2 yards (tackle by Nick Bosa and Dre Greenlaw),0.61,0.33,7.0,2022,105
1.0,9:43,2.0,8.0,KAN 27,0.0,3.0,Patrick Mahomes pass complete short left to Mecole Hardman for 1 yard (tackle by Fred Warner),0.33,-0.23,7.0,2022,105
1.0,8:50,3.0,7.0,KAN 28,0.0,3.0,Patrick Mahomes pass short middle (defended by Tashaun Gipson) intended for Skyy Moore is intercepted by Talanoa Hufanga at KC-36 and returned for 2 yards (tackle by Marquez Valdes-Scantling),-0.23,-3.31,7.0,2022,105
1.0,8:43,1.0,10.0,KAN 34,0.0,3.0,Tyrion Davis-Price left end for 3 yards (tackle by Nick Bolton),3.31,3.18,7.0,2022,105
1.0,7:58,2.0,7.0,KAN 31,0.0,3.0,Jimmy Garoppolo pass complete deep left to Deebo Samuel for 22 yards (tackle by Jaylen Watson),3.18,5.14,7.0,2022,105
1.0,7:14,1.0,9.0,KAN 9,0.0,3.0,Tyrion Davis-Price left guard for 1 yard (tackle by Juan Thornhill),5.14,4.57,7.0,2022,105
1.0,6:36,2.0,8.0,KAN 8,0.0,9.0,"Jimmy Garoppolo pass complete short right to Ray-Ray McCloud for 8 yards, touchdown",4.57,7.0,7.0,2022,105
1.0,6:29,,,KAN 15,0.0,10.0,Robbie Gould kicks extra point good,0.0,0.0,7.0,2022,105
1.0,6:29,,,SFO 35,0.0,10.0,"Penalty on Taylor Stallworth: Roughing the Passer, 15 yards (accepted) (no play)",0.0,-2.26,7.0,2022,105
1.0,6:29,1.0,10.0,SFO 50,0.0,10.0,"Robbie Gould kicks off 46 yards, returned by Isiah Pacheco for 23 yards (tackle by Demetrius Flannigan-Fowles)",2.26,0.74,7.0,2022,105
1.0,6:24,1.0,10.0,KAN 27,0.0,10.0,Patrick Mahomes pass complete short left to Travis Kelce for 9 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.74,1.41,7.0,2022,105
1.0,5:46,2.0,1.0,KAN 36,0.0,10.0,Clyde Edwards-Helaire up the middle for no gain (tackle by Samson Ebukam and Talanoa Hufanga),1.41,0.7,7.0,2022,105
1.0,5:07,,,,,,Timeout #1 by Kansas City Chiefs,,,7.0,2022,105
1.0,5:07,3.0,1.0,KAN 36,0.0,10.0,Patrick Mahomes pass complete short right to Travis Kelce for 27 yards (tackle by Fred Warner),0.7,3.12,7.0,2022,105
1.0,4:29,1.0,10.0,SFO 37,0.0,10.0,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,3.12,2.57,7.0,2022,105
1.0,4:24,2.0,10.0,SFO 37,0.0,10.0,Patrick Mahomes pass complete deep left to Mecole Hardman for 18 yards (tackle by Tashaun Gipson),2.57,4.31,7.0,2022,105
1.0,3:42,1.0,10.0,SFO 19,0.0,10.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,4.31,3.75,7.0,2022,105
1.0,3:35,2.0,10.0,SFO 19,0.0,10.0,Clyde Edwards-Helaire left tackle for 6 yards (tackle by Akeem Spence),3.75,3.96,7.0,2022,105
1.0,2:50,3.0,4.0,SFO 13,0.0,10.0,"Patrick Mahomes pass complete short middle to Travis Kelce for 13 yards, touchdown. Penalty on Nick Bosa: Defensive Offside, 5 yards (offset) . Penalty on Andrew Wylie: Illegal Use of Hands / Offense, 5 yards (offset) (no play)",3.96,3.96,7.0,2022,105
1.0,2:44,3.0,4.0,SFO 13,0.0,10.0,"Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 5 yards (tackle by Deommodore Lenoir). Penalty on Nick Bosa: Defensive Offside, 5 yards (declined)",3.96,5.37,7.0,2022,105
1.0,2:14,1.0,8.0,SFO 8,6.0,10.0,"Patrick Mahomes pass complete short middle to Mecole Hardman for 8 yards, touchdown",5.37,7.0,7.0,2022,105
1.0,2:07,,,SFO 15,7.0,10.0,Harrison Butker kicks extra point good,0.0,0.0,7.0,2022,105
1.0,2:07,,,KAN 35,7.0,10.0,"Harrison Butker kicks off 65 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Marcus Kemp and Deon Bush)",0.0,0.41,7.0,2022,105
1.0,2:00,1.0,10.0,SFO 22,7.0,10.0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk,0.41,-0.13,7.0,2022,105
1.0,1:57,2.0,10.0,SFO 22,7.0,10.0,Deebo Samuel left end for 2 yards (tackle by L'Jarius Sneed and George Karlaftis),-0.13,-0.56,7.0,2022,105
1.0,1:18,3.0,8.0,SFO 24,7.0,10.0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 21 yards (tackle by Chris Lammons and Juan Thornhill),-0.56,1.93,7.0,2022,105
1.0,0:31,1.0,10.0,SFO 45,7.0,10.0,"Penalty on Jeff Wilson: False Start, 5 yards (accepted) (no play)",1.93,1.6,7.0,2022,105
1.0,0:06,1.0,15.0,SFO 40,7.0,10.0,Jeff Wilson right tackle for 8 yards (tackle by Nick Bolton),1.6,1.79,7.0,2022,105
2.0,15:00,2.0,7.0,SFO 48,7.0,10.0,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 13 yards (tackle by Nick Bolton),1.79,2.98,7.0,2022,105
2.0,14:26,1.0,10.0,KAN 39,7.0,10.0,Christian McCaffrey left end for 12 yards (tackle by Justin Reid),2.98,3.78,7.0,2022,105
2.0,13:39,1.0,10.0,KAN 27,7.0,10.0,Jimmy Garoppolo pass complete short right to George Kittle for 3 yards (tackle by L'Jarius Sneed),3.78,3.64,7.0,2022,105
2.0,12:58,2.0,7.0,KAN 24,7.0,10.0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk (defended by George Karlaftis),3.64,2.87,7.0,2022,105
2.0,12:56,3.0,8.0,KAN 24,7.0,10.0,Jimmy Garoppolo sacked by Chris Jones for -8 yards,2.87,1.24,7.0,2022,105
2.0,12:15,4.0,16.0,KAN 32,7.0,13.0,Robbie Gould 50 yard field goal good,1.24,3.0,7.0,2022,105
2.0,12:11,,,SFO 35,7.0,13.0,"Robbie Gould kicks off 63 yards, returned by Isiah Pacheco for 18 yards (tackle by Jauan Jennings and Demetrius Flannigan-Fowles). Penalty on Jody Fortson: Defensive Holding, 10 yards (accepted)",0.0,-0.38,7.0,2022,105
2.0,12:02,1.0,10.0,KAN 10,7.0,13.0,Isiah Pacheco right end for 5 yards (tackle by Fred Warner and Charvarius Ward),-0.38,-0.35,7.0,2022,105
2.0,11:29,2.0,5.0,KAN 15,7.0,13.0,Patrick Mahomes pass complete short right to Jody Fortson for 8 yards (tackle by Talanoa Hufanga),-0.35,0.48,7.0,2022,105
2.0,11:03,1.0,10.0,KAN 23,7.0,13.0,"Patrick Mahomes pass complete deep left to Travis Kelce for 17 yards (tackle by Tarvarius Moore). Penalty on Jimmie Ward: Defensive Holding, 5 yards (declined)",0.48,1.6,7.0,2022,105
2.0,10:35,1.0,10.0,KAN 40,7.0,13.0,"Patrick Mahomes pass incomplete short middle intended for Jody Fortson. Penalty on Charvarius Ward: Illegal Contact, 5 yards (offset) . Penalty on Trey Smith: Offensive Holding, 10 yards (offset) (no play)",1.6,1.6,7.0,2022,105
2.0,10:31,1.0,10.0,KAN 40,7.0,13.0,Jerick McKinnon left guard for 9 yards (tackle by Tarvarius Moore),1.6,2.27,7.0,2022,105
2.0,9:57,2.0,1.0,KAN 49,7.0,13.0,Patrick Mahomes pass incomplete short middle intended for Jerick McKinnon,2.27,1.55,7.0,2022,105
2.0,9:54,3.0,1.0,KAN 49,7.0,13.0,"Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling. Penalty on Charles Omenihu: Defensive Offside, 5 yards (accepted) (no play)",1.55,2.52,7.0,2022,105
2.0,9:46,1.0,10.0,SFO 46,7.0,13.0,Isiah Pacheco right tackle for 4 yards (tackle by Kevin Givens and Dre Greenlaw),2.52,2.59,7.0,2022,105
2.0,9:11,2.0,5.0,SFO 42,7.0,13.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 6 yards (tackle by Charvarius Ward),2.59,3.18,7.0,2022,105
