Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA,week,year,game_id
1.0,0:30,1.0,10.0,LAC 47,17.0,0.0,Justin Herbert pass complete short right to Austin Ekeler for 10 yards (tackle by Jordyn Brooks),2.06,2.72,7.0,2022,106
2.0,15:00,1.0,10.0,SEA 43,17.0,0.0,Justin Herbert pass complete short left to Sony Michel for 8 yards (tackle by Shelby Harris),2.72,3.26,7.0,2022,106
2.0,14:39,2.0,2.0,SEA 35,17.0,0.0,Justin Herbert pass complete short middle to Mike Williams for 14 yards (tackle by Tariq Woolen),3.26,4.17,7.0,2022,106
2.0,14:05,1.0,10.0,SEA 21,17.0,0.0,Sony Michel up the middle for 4 yards (tackle by Poona Ford),4.17,4.2,7.0,2022,106
2.0,13:27,2.0,6.0,SEA 17,17.0,0.0,Justin Herbert pass incomplete deep right intended for DeAndre Carter (defended by Ryan Neal),4.2,3.46,7.0,2022,106
2.0,13:22,,,,,,Timeout #3 by Seattle Seahawks,,,7.0,2022,106
2.0,13:22,3.0,6.0,SEA 17,17.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Michael Jackson),3.46,5.6,7.0,2022,106
2.0,12:50,1.0,7.0,SEA 7,17.0,6.0,"Austin Ekeler left guard for 7 yards, touchdown",5.6,7.0,7.0,2022,106
2.0,12:44,,,SEA 15,17.0,7.0,Taylor Bertolet kicks extra point good,0.0,0.0,7.0,2022,106
2.0,12:44,,,LAC 35,17.0,7.0,"Taylor Bertolet kicks off 60 yards, returned by D'Wayne Eskridge for 25 yards (tackle by Derrek Tuszka and Amen Ogbongbemiga)",0.0,0.94,7.0,2022,106
2.0,12:38,1.0,10.0,SEA 30,17.0,7.0,Geno Smith pass complete short right to Noah Fant for 7 yards (tackle by Derwin James),0.94,1.34,7.0,2022,106
2.0,12:07,2.0,3.0,SEA 37,17.0,7.0,"Geno Smith aborted snap, recovered by Khalil Mack at SEA-33 (tackle by D'Wayne Eskridge)",1.34,-3.38,7.0,2022,106
2.0,12:00,1.0,10.0,SEA 33,17.0,7.0,Justin Herbert sacked by Al Woods for no gain,3.38,2.84,7.0,2022,106
2.0,11:23,2.0,10.0,SEA 33,17.0,7.0,Austin Ekeler up the middle for 3 yards (tackle by Ryan Neal),2.84,2.54,7.0,2022,106
2.0,11:03,3.0,7.0,SEA 30,17.0,7.0,Justin Herbert pass complete short middle to Mike Williams for 10 yards (tackle by Coby Bryant and Tariq Woolen),2.54,4.24,7.0,2022,106
2.0,10:26,1.0,10.0,SEA 20,17.0,7.0,Justin Herbert pass incomplete deep left intended for Mike Williams,4.24,3.69,7.0,2022,106
2.0,10:21,2.0,10.0,SEA 20,17.0,7.0,Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Quandre Diggs),3.69,4.1,7.0,2022,106
2.0,9:43,3.0,3.0,SEA 13,17.0,13.0,"Justin Herbert pass complete short right to Mike Williams for 13 yards, touchdown",4.1,7.0,7.0,2022,106
2.0,9:37,,,SEA 15,17.0,14.0,Taylor Bertolet kicks extra point good,0.0,0.0,7.0,2022,106
2.0,9:37,,,LAC 35,17.0,14.0,"Taylor Bertolet kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,106
2.0,9:37,1.0,10.0,SEA 25,17.0,14.0,Kenneth Walker up the middle for 8 yards (tackle by Kenneth Murray),0.61,1.14,7.0,2022,106
2.0,9:01,2.0,2.0,SEA 33,17.0,14.0,Kenneth Walker right tackle for 3 yards (tackle by Otito Ogbonnia),1.14,1.33,7.0,2022,106
2.0,8:18,1.0,10.0,SEA 36,17.0,14.0,Kenneth Walker right tackle for 2 yards (tackle by Jerry Tillery and Derwin James),1.33,1.06,7.0,2022,106
2.0,7:37,2.0,8.0,SEA 38,17.0,14.0,"Geno Smith pass complete to Marquise Goodwin for no gain. Penalty on D'Wayne Eskridge: Offensive Pass Interference, 10 yards (accepted) (no play)",1.06,-0.29,7.0,2022,106
2.0,7:06,2.0,18.0,SEA 28,17.0,14.0,Geno Smith pass complete short left to Will Dissly for 11 yards (tackle by Kenneth Murray),-0.29,0.5,7.0,2022,106
2.0,6:19,3.0,7.0,SEA 39,17.0,14.0,Geno Smith pass complete short right to DeeJay Dallas for 3 yards (tackle by Nasir Adderley),0.5,-0.65,7.0,2022,106
2.0,5:33,4.0,5.0,SEA 41,17.0,14.0,"Michael Dickson punts 46 yards, fair catch by DeAndre Carter at LAC-12. Penalty on Joey Blount: Kick Catch Interference, 15 yards (accepted)",-0.65,-0.74,7.0,2022,106
2.0,5:33,1.0,10.0,LAC 27,17.0,14.0,Austin Ekeler left tackle for 1 yard (tackle by Uchenna Nwosu and Boye Mafe),0.74,0.33,7.0,2022,106
2.0,5:15,2.0,9.0,LAC 28,17.0,14.0,Justin Herbert pass complete short right to Michael Bandy for -5 yards (tackle by Coby Bryant),0.33,-1.02,7.0,2022,106
2.0,4:39,3.0,14.0,LAC 23,17.0,14.0,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Shelby Harris),-1.02,-1.83,7.0,2022,106
2.0,4:34,4.0,14.0,LAC 23,17.0,14.0,"JK Scott punts 50 yards, returned by DeeJay Dallas for no gain (tackle by Ja'Sir Taylor and Josh Harris)",-1.83,-0.74,7.0,2022,106
2.0,4:23,1.0,10.0,SEA 27,17.0,14.0,Geno Smith pass complete short right to Marquise Goodwin for 3 yards (tackle by Asante Samuel),0.74,0.6,7.0,2022,106
2.0,3:49,2.0,7.0,SEA 30,17.0,14.0,Geno Smith pass complete short right to Will Dissly for 8 yards (tackle by Bryce Callahan),0.6,1.47,7.0,2022,106
2.0,3:09,1.0,10.0,SEA 38,17.0,14.0,Geno Smith pass complete short left to Colby Parkinson for 28 yards (tackle by Nasir Adderley),1.47,3.31,7.0,2022,106
2.0,2:33,1.0,10.0,LAC 34,17.0,14.0,Kenneth Walker right tackle for 2 yards (tackle by Kyle Van Noy and Derwin James),3.31,3.04,7.0,2022,106
2.0,2:00,2.0,8.0,LAC 32,17.0,14.0,Geno Smith scrambles left end for 9 yards (tackle by Nasir Adderley),3.04,4.04,7.0,2022,106
2.0,1:50,1.0,10.0,LAC 23,17.0,14.0,Kenneth Walker left end for no gain (tackle by Drue Tranquill and Khalil Mack),4.04,3.5,7.0,2022,106
2.0,1:46,,,,,,Timeout #1 by Los Angeles Chargers,,,7.0,2022,106
2.0,1:46,2.0,10.0,LAC 23,23.0,14.0,"Geno Smith pass complete deep left to Marquise Goodwin for 23 yards, touchdown",3.5,7.0,7.0,2022,106
2.0,1:40,,,LAC 15,24.0,14.0,Jason Myers kicks extra point good,0.0,0.0,7.0,2022,106
2.0,1:40,,,SEA 35,24.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,106
2.0,1:40,1.0,10.0,LAC 25,24.0,14.0,Justin Herbert pass complete short left to Austin Ekeler for 5 yards (tackle by Ryan Neal),0.61,0.6,7.0,2022,106
2.0,1:24,2.0,6.0,LAC 29,24.0,14.0,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Uchenna Nwosu),0.6,1.33,7.0,2022,106
2.0,1:04,1.0,10.0,LAC 36,24.0,14.0,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Jordyn Brooks),1.33,2.06,7.0,2022,106
2.0,0:46,1.0,10.0,LAC 47,24.0,14.0,Justin Herbert pass incomplete short right intended for Michael Bandy,2.06,1.52,7.0,2022,106
2.0,0:42,2.0,10.0,LAC 47,24.0,14.0,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Poona Ford),1.52,0.83,7.0,2022,106
2.0,0:38,3.0,10.0,LAC 47,24.0,14.0,Justin Herbert pass incomplete deep right intended for Michael Bandy,0.83,-0.26,7.0,2022,106
2.0,0:34,4.0,10.0,LAC 47,24.0,14.0,"Penalty on Deane Leonard: False Start, 5 yards (accepted) (no play)",-0.26,-0.59,7.0,2022,106
2.0,0:34,4.0,15.0,LAC 42,24.0,14.0,JK Scott punts 49 yards out of bounds,-0.59,0.38,7.0,2022,106
2.0,0:25,1.0,10.0,SEA 9,24.0,14.0,Geno Smith kneels for -1 yards,-0.38,-0.85,7.0,2022,106
3.0,15:00,,,SEA 35,24.0,14.0,"Jason Myers kicks off 60 yards, returned by DeAndre Carter for 18 yards (tackle by Nick Bellore)",0.0,0.48,7.0,2022,106
3.0,14:54,1.0,10.0,LAC 23,24.0,14.0,Austin Ekeler right end for 2 yards (tackle by Jordyn Brooks),0.48,0.2,7.0,2022,106
3.0,14:36,2.0,8.0,LAC 25,24.0,14.0,Justin Herbert pass complete short right to Mike Williams for 16 yards (tackle by Cody Barton),0.2,1.66,7.0,2022,106
3.0,14:02,1.0,10.0,LAC 41,24.0,14.0,Justin Herbert pass complete short left to Austin Ekeler for 12 yards (tackle by Ryan Neal),1.66,2.46,7.0,2022,106
3.0,13:23,1.0,10.0,SEA 47,24.0,14.0,Justin Herbert pass incomplete short left intended for Sony Michel,2.46,1.91,7.0,2022,106
3.0,13:16,2.0,10.0,SEA 47,24.0,14.0,"Justin Herbert pass complete to Austin Ekeler for no gain. Penalty on Michael Bandy: Offensive Pass Interference, 10 yards (accepted) (no play)",1.91,0.56,7.0,2022,106
3.0,12:47,2.0,20.0,LAC 43,24.0,14.0,Justin Herbert pass complete short right to DeAndre Carter for 9 yards (tackle by Coby Bryant),0.56,1.09,7.0,2022,106
3.0,12:11,3.0,11.0,SEA 48,24.0,14.0,Justin Herbert pass complete short right to Austin Ekeler for no gain (tackle by Ryan Neal),1.09,0.07,7.0,2022,106
3.0,11:34,4.0,11.0,SEA 48,24.0,14.0,JK Scott punts 41 yards downed by Ja'Sir Taylor,0.07,0.38,7.0,2022,106
3.0,11:26,1.0,10.0,SEA 7,24.0,14.0,Kenneth Walker left end for 3 yards (tackle by Asante Samuel),-0.38,-0.56,7.0,2022,106
3.0,10:55,2.0,7.0,SEA 10,24.0,14.0,Geno Smith pass complete short right to Will Dissly for 10 yards (tackle by Drue Tranquill),-0.56,0.28,7.0,2022,106
3.0,10:16,1.0,10.0,SEA 20,24.0,14.0,Kenneth Walker left tackle for 19 yards (tackle by Nasir Adderley),0.28,1.53,7.0,2022,106
3.0,9:44,1.0,10.0,SEA 39,24.0,14.0,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Derwin James),1.53,1.8,7.0,2022,106
3.0,9:07,2.0,4.0,SEA 45,24.0,14.0,Kenneth Walker left tackle for 8 yards (tackle by Michael Davis),1.8,2.46,7.0,2022,106
3.0,8:28,1.0,10.0,LAC 47,24.0,14.0,Kenneth Walker left end for 2 yards (tackle by Khalil Mack),2.46,2.18,7.0,2022,106
3.0,7:34,2.0,8.0,LAC 45,24.0,14.0,Geno Smith pass complete short middle to DeeJay Dallas for 3 yards (tackle by Drue Tranquill),2.18,1.88,7.0,2022,106
3.0,6:48,3.0,5.0,LAC 42,24.0,14.0,"Penalty on Austin Blythe: False Start, 6 yards (accepted) (no play)",1.88,1.22,7.0,2022,106
3.0,6:18,,,,,,Timeout #1 by Seattle Seahawks,,,7.0,2022,106
3.0,6:18,3.0,10.0,LAC 47,24.0,14.0,Geno Smith pass complete short left to Tyler Lockett for 12 yards (tackle by Asante Samuel),1.22,3.18,7.0,2022,106
3.0,5:41,1.0,10.0,LAC 36,24.0,14.0,D'Wayne Eskridge right end for 4 yards (tackle by Nasir Adderley),3.18,3.18,7.0,2022,106
3.0,5:05,2.0,6.0,LAC 32,24.0,14.0,Geno Smith pass complete short right to Tyler Lockett for 14 yards (tackle by Michael Davis),3.18,4.37,7.0,2022,106
3.0,4:29,1.0,10.0,LAC 18,24.0,14.0,Kenneth Walker up the middle for -2 yards (tackle by Austin Johnson and Derrek Tuszka),4.37,3.56,7.0,2022,106
3.0,3:49,2.0,12.0,LAC 20,24.0,14.0,"Geno Smith pass incomplete intended for Noah Fant. Penalty on Jerry Tillery: Defensive Offside, 6 yards (accepted) (no play)",3.56,4.43,7.0,2022,106
3.0,3:44,2.0,6.0,LAC 14,24.0,14.0,Kenneth Walker right guard for 3 yards (tackle by Kenneth Murray),4.43,4.26,7.0,2022,106
3.0,3:04,3.0,3.0,LAC 11,24.0,14.0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Michael Davis),4.26,5.83,7.0,2022,106
3.0,2:35,1.0,6.0,LAC 6,24.0,14.0,Geno Smith pass incomplete short right intended for D'Wayne Eskridge,5.83,4.95,7.0,2022,106
3.0,2:29,2.0,6.0,LAC 6,24.0,14.0,Kenneth Walker left end for -1 yards (tackle by Michael Davis and Bryce Callahan),4.95,0.0,7.0,2022,106
3.0,1:51,3.0,7.0,LAC 6,24.0,14.0,Geno Smith sacked by Morgan Fox for -9 yards,0.0,2.38,7.0,2022,106
3.0,1:10,4.0,16.0,LAC 16,27.0,14.0,Jason Myers 34 yard field goal good,2.38,3.0,7.0,2022,106
3.0,1:06,,,SEA 35,27.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,106
3.0,1:06,1.0,10.0,LAC 25,27.0,14.0,Justin Herbert scrambles right end for 4 yards (tackle by Michael Jackson),0.61,0.6,7.0,2022,106
3.0,0:33,2.0,6.0,LAC 29,27.0,14.0,"Isaiah Spiller left end for -5 yards (tackle by Shelby Harris and Uchenna Nwosu). Penalty on Corey Linsley: Offensive Holding, 10 yards (declined)",0.6,-0.76,7.0,2022,106
3.0,0:11,3.0,11.0,LAC 24,27.0,14.0,Justin Herbert pass complete short middle to Gerald Everett for 24 yards (tackle by Josh Jones and Coby Bryant),-0.76,2.13,7.0,2022,106
4.0,15:00,1.0,10.0,LAC 48,27.0,14.0,Justin Herbert pass complete short right to Mike Williams for no gain (tackle by Michael Jackson),2.13,1.58,7.0,2022,106
4.0,14:44,2.0,10.0,LAC 48,27.0,14.0,Justin Herbert pass incomplete deep left intended for Mike Williams,1.58,0.89,7.0,2022,106
4.0,14:37,3.0,10.0,LAC 48,27.0,14.0,Justin Herbert pass incomplete short left intended for Gerald Everett,0.89,-0.19,7.0,2022,106
4.0,14:34,4.0,10.0,LAC 48,27.0,14.0,JK Scott punts 50 yards downed by Ja'Sir Taylor,-0.19,0.38,7.0,2022,106
4.0,14:20,1.0,10.0,SEA 2,27.0,16.0,"Kenneth Walker for -2 yards (tackle by Sebastian Joseph-Day and Troy Reeder), safety.",-0.38,-2.0,7.0,2022,106
4.0,14:17,,,SEA 20,27.0,16.0,"Michael Dickson kicks off 65 yards, returned by DeAndre Carter for 14 yards (tackle by Cody Barton)",0.0,0.87,7.0,2022,106
4.0,14:11,1.0,10.0,LAC 29,27.0,16.0,Justin Herbert scrambles right end for 4 yards (tackle by Cody Barton),0.87,0.87,7.0,2022,106
4.0,13:40,2.0,6.0,LAC 33,27.0,16.0,Justin Herbert pass complete short middle to Justin Herbert for -8 yards (tackle by Uchenna Nwosu),0.87,-0.89,7.0,2022,106
4.0,13:00,3.0,14.0,LAC 25,27.0,16.0,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Michael Jackson),-0.89,-1.7,7.0,2022,106
4.0,12:56,4.0,14.0,LAC 25,27.0,16.0,JK Scott punts 38 yards downed by Ja'Sir Taylor,-1.7,-1.4,7.0,2022,106
4.0,12:47,1.0,10.0,SEA 37,27.0,16.0,Geno Smith pass complete short left to Tyler Lockett for 1 yard (tackle by Drue Tranquill),1.4,0.99,7.0,2022,106
4.0,12:06,2.0,9.0,SEA 38,27.0,16.0,Kenneth Walker right tackle for 12 yards (tackle by Kenneth Murray),0.99,2.26,7.0,2022,106
4.0,11:24,1.0,10.0,SEA 50,27.0,16.0,Kenneth Walker right tackle for 3 yards (tackle by Drue Tranquill),2.26,2.12,7.0,2022,106
4.0,10:47,2.0,7.0,LAC 47,27.0,16.0,"Geno Smith pass incomplete intended for Colby Parkinson. Penalty on Derwin James: Defensive Pass Interference, 13 yards (accepted) (no play)",2.12,3.31,7.0,2022,106
4.0,10:43,1.0,10.0,LAC 34,27.0,16.0,Kenneth Walker left tackle for 2 yards (tackle by Derwin James),3.31,3.04,7.0,2022,106
4.0,10:08,2.0,8.0,LAC 32,27.0,16.0,Geno Smith pass complete short left to Tyler Lockett for no gain (tackle by Drue Tranquill),3.04,2.35,7.0,2022,106
4.0,9:18,3.0,8.0,LAC 32,27.0,16.0,Geno Smith pass incomplete short right intended for Marquise Goodwin (defended by Asante Samuel),2.35,1.24,7.0,2022,106
4.0,9:13,4.0,8.0,LAC 32,30.0,16.0,Jason Myers 50 yard field goal good,1.24,3.0,7.0,2022,106
4.0,9:09,,,SEA 35,30.0,16.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,106
4.0,9:09,1.0,10.0,LAC 25,30.0,16.0,Justin Herbert pass complete short middle to Mike Williams for 21 yards (tackle by Darrell Taylor),0.61,1.99,7.0,2022,106
4.0,8:44,1.0,10.0,LAC 46,30.0,16.0,Justin Herbert pass incomplete short right intended for Michael Bandy,1.99,1.45,7.0,2022,106
4.0,8:40,2.0,10.0,LAC 46,30.0,16.0,Justin Herbert pass complete deep left to Gerald Everett for 19 yards (tackle by Coby Bryant),1.45,3.25,7.0,2022,106
4.0,8:19,1.0,10.0,SEA 35,30.0,16.0,Justin Herbert pass incomplete short middle intended for DeAndre Carter (defended by Shelby Harris),3.25,2.7,7.0,2022,106
4.0,8:16,2.0,10.0,SEA 35,30.0,16.0,Justin Herbert pass complete short right to Jason Moore for 5 yards (tackle by Cody Barton),2.7,2.54,7.0,2022,106
4.0,7:36,3.0,6.0,SEA 31,30.0,16.0,Justin Herbert sacked by Quinton Jefferson for -8 yards,2.54,0.72,7.0,2022,106
4.0,7:08,4.0,13.0,SEA 38,30.0,16.0,"Justin Herbert pass complete short middle to Mike Williams for 12 yards (tackle by Michael Jackson). Penalty on Corey Linsley: Offensive Holding, 10 yards (declined)",0.72,-0.67,7.0,2022,106
4.0,7:08,1.0,10.0,SEA 26,36.0,16.0,"Kenneth Walker right end for 74 yards, touchdown",0.67,7.0,7.0,2022,106
4.0,6:56,,,LAC 15,37.0,16.0,Jason Myers kicks extra point good,0.0,0.0,7.0,2022,106
4.0,6:56,,,SEA 35,37.0,16.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,106
4.0,6:56,1.0,10.0,LAC 25,37.0,16.0,Austin Ekeler right guard for 13 yards (tackle by Michael Jackson),0.61,1.47,7.0,2022,106
4.0,6:38,1.0,10.0,LAC 38,37.0,16.0,Justin Herbert pass incomplete deep right intended for Gerald Everett (defended by Ryan Neal),1.47,0.92,7.0,2022,106
4.0,6:33,2.0,10.0,LAC 38,37.0,16.0,Justin Herbert pass complete short middle to Austin Ekeler for 14 yards (tackle by Cody Barton),0.92,2.39,7.0,2022,106
4.0,6:12,1.0,10.0,SEA 48,37.0,16.0,"Justin Herbert pass complete short right to DeAndre Carter for 6 yards (tackle by Coby Bryant). Penalty on Coby Bryant: Unnecessary Roughness / Defense, 15 yards (accepted)",2.39,3.78,7.0,2022,106
4.0,5:53,1.0,10.0,SEA 27,37.0,16.0,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Bruce Irvin),3.78,4.04,7.0,2022,106
4.0,5:25,2.0,4.0,SEA 21,37.0,16.0,Justin Herbert pass incomplete deep left intended for Jason Moore (defended by Ryan Neal),4.04,3.34,7.0,2022,106
4.0,5:20,3.0,4.0,SEA 21,37.0,16.0,Justin Herbert scrambles up the middle for 14 yards (tackle by Ryan Neal),3.34,5.6,7.0,2022,106
