#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,10:22,KAN 25,3,1:39,3,Interception,0,Chiefs,7.0,2022,105
2,1,6:29,KAN 27,9,4:22,73,Touchdown,0,Chiefs,7.0,2022,105
3,2,12:11,KAN 10,10,5:02,90,Touchdown,0,Chiefs,7.0,2022,105
4,2,1:28,KAN 6,8,1:22,73,Missed FG,0,Chiefs,7.0,2022,105
5,3,15:00,SFO 33,3,1:32,33,Touchdown,0,Chiefs,7.0,2022,105
6,3,7:41,KAN 25,9,4:10,75,Touchdown,0,Chiefs,7.0,2022,105
7,4,14:16,KAN 20,6,3:33,80,Touchdown,0,Chiefs,7.0,2022,105
8,4,8:49,KAN 28,5,2:44,72,Touchdown,0,Chiefs,7.0,2022,105
9,4,4:00,KAN 49,3,0:21,3,Punt,0,Chiefs,7.0,2022,105
10,4,1:30,KAN 20,3,1:30,-3,End of Game,0,Chiefs,7.0,2022,105
