Unnamed: 0,PIT,MIA,week,year,game_id
First Downs,19,17,7.0,2022,107
Rush-Yds-TDs,23-95-0,27-111-0,7.0,2022,107
Cmp-Att-Yd-TD-INT,32-44-257-1-3,21-35-261-1-0,7.0,2022,107
Sacked-Yards,2-11,0-0,7.0,2022,107
Net Pass Yards,246,261,7.0,2022,107
Total Yards,341,372,7.0,2022,107
Fumbles-Lost,0-0,0-0,7.0,2022,107
Turnovers,3,0,7.0,2022,107
Penalties-Yards,5-40,5-30,7.0,2022,107
Third Down Conv.,4-14,4-14,7.0,2022,107
Fourth Down Conv.,2-2,0-1,7.0,2022,107
Time of Possession,33:16,26:44,7.0,2022,107
