Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Michael Carter,NYJ,13,29,0,1.0,19,1.5,10,0.8,0,,7.0,2022,104
Breece Hall,NYJ,4,72,1,1.0,67,16.8,5,1.3,0,,7.0,2022,104
Zach Wilson,NYJ,4,24,0,1.0,24,6.0,0,0.0,0,,7.0,2022,104
Braxton Berrios,NYJ,2,27,0,1.0,23,11.5,4,2.0,0,,7.0,2022,104
Ty Johnson,NYJ,1,3,0,,1,1.0,2,2.0,0,,7.0,2022,104
Melvin Gordon,DEN,11,33,0,1.0,27,2.5,6,0.5,0,,7.0,2022,104
Latavius Murray,DEN,8,24,1,2.0,14,1.8,10,1.3,0,,7.0,2022,104
Mike Boone,DEN,4,23,0,1.0,20,5.0,3,0.8,0,,7.0,2022,104
Brett Rypien,DEN,3,9,0,2.0,8,2.7,1,0.3,0,,7.0,2022,104
KJ Hamler,DEN,1,14,0,1.0,13,13.0,1,1.0,0,,7.0,2022,104
Montrell Washington,DEN,1,2,0,,1,1.0,1,1.0,1,1.0,7.0,2022,104
