Quarter,Time,Down,ToGo,Location,GNB,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Packers to receive the opening kickoff.",,,7.0,2022,101
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,101
1.0,15:00,1.0,10.0,GNB 25,0.0,0.0,Aaron Jones right end for 8 yards (tackle by Kamren Curl),0.61,1.14,7.0,2022,101
1.0,14:23,2.0,2.0,GNB 33,0.0,0.0,Aaron Rodgers pass complete short left to Aaron Jones for 3 yards (tackle by Kamren Curl),1.14,1.33,7.0,2022,101
1.0,13:45,1.0,10.0,GNB 36,0.0,0.0,Aaron Jones right end for 4 yards (tackle by Kamren Curl and Bobby McCain),1.33,1.33,7.0,2022,101
1.0,13:00,2.0,6.0,GNB 40,0.0,0.0,Aaron Jones right tackle for 2 yards (tackle by Jamin Davis and Daron Payne),1.33,0.89,7.0,2022,101
1.0,12:18,3.0,4.0,GNB 42,0.0,0.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,0.89,-0.59,7.0,2022,101
1.0,12:14,4.0,4.0,GNB 42,0.0,0.0,Pat O'Donnell punts 55 yards out of bounds,-0.59,0.38,7.0,2022,101
1.0,12:06,1.0,10.0,WAS 3,0.0,0.0,Brian Robinson up the middle for 3 yards (tackle by Rashan Gary and Quay Walker),-0.38,-0.56,7.0,2022,101
1.0,11:29,2.0,7.0,WAS 6,0.0,0.0,"Taylor Heinicke pass complete short left to Curtis Samuel for 3 yards GNB challenged the pass completion ruling, and the original play was overturned. Taylor Heinicke pass incomplete short left intended for Curtis Samuel",-0.56,-1.07,7.0,2022,101
1.0,11:26,3.0,7.0,WAS 6,0.0,0.0,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin (defended by Rasul Douglas),-1.07,-2.49,7.0,2022,101
1.0,11:21,4.0,7.0,WAS 6,0.0,0.0,"Tress Way punts, returned by Amari Rodgers for no gain (tackle by Christian Holmes). Penalty on Khaleke Hudson: Offensive Holding, 3 yards (accepted) (no play)",-2.49,-2.49,7.0,2022,101
1.0,11:11,4.0,10.0,WAS 3,0.0,0.0,"Tress Way punts 55 yards, returned by Amari Rodgers for 16 yards (tackle by Darrick Forrest)",-2.49,-2.79,7.0,2022,101
1.0,11:00,1.0,10.0,WAS 42,0.0,0.0,Aaron Rodgers pass complete short right to Robert Tonyan for 6 yards (tackle by Kamren Curl and Benjamin St-Juste),2.79,3.05,7.0,2022,101
1.0,10:11,2.0,4.0,WAS 36,0.0,0.0,Aaron Rodgers pass complete short middle to Allen Lazard for 11 yards (tackle by Kamren Curl),3.05,3.91,7.0,2022,101
1.0,9:36,1.0,10.0,WAS 25,0.0,0.0,AJ Dillon right tackle for 3 yards (tackle by Efe Obada and Daron Payne),3.91,3.77,7.0,2022,101
1.0,8:50,2.0,7.0,WAS 22,0.0,0.0,Aaron Jones right end for 7 yards (tackle by Darrick Forrest),3.77,4.58,7.0,2022,101
1.0,8:08,1.0,10.0,WAS 15,0.0,0.0,Aaron Rodgers pass complete short left to Allen Lazard for 12 yards (tackle by Kendall Fuller),4.58,6.51,7.0,2022,101
1.0,7:29,1.0,3.0,WAS 3,0.0,0.0,Aaron Jones right guard for -1 yards (tackle by Jamin Davis and James Smith-Williams),6.51,5.34,7.0,2022,101
1.0,6:45,2.0,4.0,WAS 4,6.0,0.0,"Aaron Rodgers pass complete short middle to Aaron Jones for 4 yards, touchdown",5.34,7.0,7.0,2022,101
1.0,6:38,,,WAS 15,7.0,0.0,Mason Crosby kicks extra point good,0.0,0.0,7.0,2022,101
1.0,6:38,,,GNB 35,7.0,0.0,"Mason Crosby kicks off 67 yards, returned by Antonio Gibson for 32 yards (tackle by Isaiah McDuffie)",0.0,0.94,7.0,2022,101
1.0,6:33,1.0,10.0,WAS 30,7.0,0.0,Taylor Heinicke scrambles up the middle for 5 yards (tackle by De'Vondre Campbell),0.94,1.07,7.0,2022,101
1.0,5:54,2.0,5.0,WAS 35,7.0,0.0,Brian Robinson right tackle for 2 yards (tackle by Rashan Gary and Dean Lowry),1.07,0.63,7.0,2022,101
1.0,5:09,3.0,3.0,WAS 37,7.0,0.0,Taylor Heinicke pass incomplete deep middle intended for Terry McLaurin,0.63,-0.91,7.0,2022,101
1.0,5:05,4.0,3.0,WAS 37,7.0,0.0,"Tress Way punts 45 yards, recovered by Percy Butler at GB-17",-0.91,4.44,7.0,2022,101
1.0,4:55,1.0,10.0,GNB 17,7.0,0.0,Antonio Gibson left tackle for 4 yards (tackle by De'Vondre Campbell and Tedarrell Slaton),4.44,4.5,7.0,2022,101
1.0,4:20,2.0,6.0,GNB 13,7.0,0.0,Curtis Samuel right end for 8 yards (tackle by Darnell Savage and De'Vondre Campbell),4.5,6.06,7.0,2022,101
1.0,3:39,1.0,5.0,GNB 5,7.0,0.0,Brian Robinson right end for -1 yards (tackle by De'Vondre Campbell and Jaire Alexander),6.06,4.95,7.0,2022,101
1.0,2:50,2.0,6.0,GNB 6,7.0,0.0,Antonio Gibson right guard for 3 yards (tackle by De'Vondre Campbell and Quay Walker),4.95,4.72,7.0,2022,101
1.0,2:10,3.0,3.0,GNB 3,7.0,0.0,Taylor Heinicke pass incomplete short right intended for Cole Turner,4.72,3.04,7.0,2022,101
1.0,2:07,4.0,3.0,GNB 3,7.0,3.0,Joey Slye 22 yard field goal good,3.04,3.0,7.0,2022,101
1.0,2:04,,,WAS 35,7.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,101
1.0,2:04,1.0,10.0,GNB 25,7.0,3.0,"Aaron Rodgers pass incomplete deep right intended for Romeo Doubs. Penalty on Yosuah Nijman: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,7.0,2022,101
1.0,1:56,1.0,20.0,GNB 15,7.0,3.0,AJ Dillon left tackle for 7 yards (tackle by Cole Holcomb and John Ridgeway),-0.41,-0.34,7.0,2022,101
1.0,1:13,2.0,13.0,GNB 22,7.0,3.0,Aaron Rodgers pass incomplete short right intended for Romeo Doubs,-0.34,-1.02,7.0,2022,101
1.0,1:10,3.0,13.0,GNB 22,7.0,3.0,Aaron Rodgers pass complete short right to Aaron Jones for 7 yards (tackle by Cole Holcomb),-1.02,-1.44,7.0,2022,101
1.0,0:31,4.0,6.0,GNB 29,7.0,3.0,"Pat O'Donnell punts 40 yards, returned by Dax Milne for 5 yards (tackle by Keisean Nixon)",-1.44,-1.33,7.0,2022,101
1.0,0:24,1.0,10.0,WAS 36,7.0,3.0,Brian Robinson right tackle for 4 yards (tackle by Rasul Douglas),1.33,1.33,7.0,2022,101
2.0,15:00,2.0,6.0,WAS 40,7.0,3.0,Taylor Heinicke pass complete short middle to Curtis Samuel for 14 yards (tackle by Quay Walker),1.33,2.52,7.0,2022,101
2.0,14:23,1.0,10.0,GNB 46,7.0,3.0,Taylor Heinicke pass incomplete short middle intended for Terry McLaurin,2.52,1.98,7.0,2022,101
