Unnamed: 0,CLE,BAL,week,year,game_id
First Downs,18,17,7.0,2022,98
Rush-Yds-TDs,24-113-2,44-160-2,7.0,2022,98
Cmp-Att-Yd-TD-INT,22-27-258-0-0,9-16-120-0-0,7.0,2022,98
Sacked-Yards,5-35,3-26,7.0,2022,98
Net Pass Yards,223,94,7.0,2022,98
Total Yards,336,254,7.0,2022,98
Fumbles-Lost,3-2,1-1,7.0,2022,98
Turnovers,2,1,7.0,2022,98
Penalties-Yards,6-45,3-53,7.0,2022,98
Third Down Conv.,2-11,7-15,7.0,2022,98
Fourth Down Conv.,1-1,2-2,7.0,2022,98
Time of Possession,25:56,34:04,7.0,2022,98
