Quarter,Time,Tm,Detail,DET,DAL,week,year,game_id
1.0,3:58,Lions,Michael Badgley 40 yard field goal,3,0,7.0,2022,100
2.0,12:24,Cowboys,Brett Maher 22 yard field goal,3,3,7.0,2022,100
,7:59,Lions,Michael Badgley 53 yard field goal,6,3,7.0,2022,100
3.0,10:18,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),6,10,7.0,2022,100
4.0,2:46,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),6,17,7.0,2022,100
,1:55,Cowboys,Peyton Hendershot 2 yard pass from Dak Prescott (Brett Maher kick),6,24,7.0,2022,100
