Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Browns to receive the opening kickoff.",,,7.0,2022,98
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,98
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Nick Chubb left guard for 5 yards (tackle by Travis Jones and Patrick Queen),0.61,0.74,7.0,2022,98
1.0,14:24,2.0,5.0,CLE 30,0.0,0.0,Jacoby Brissett pass complete short middle to Nick Chubb for 14 yards (tackle by Josh Bynes and Marlon Humphrey),0.74,1.86,7.0,2022,98
1.0,13:44,1.0,10.0,CLE 44,0.0,0.0,Nick Chubb left end for 2 yards (tackle by Calais Campbell),1.86,1.59,7.0,2022,98
1.0,13:10,2.0,8.0,CLE 46,0.0,0.0,Jacoby Brissett pass complete short middle to Harrison Bryant for 14 yards (tackle by Kristian Welch),1.59,2.92,7.0,2022,98
1.0,12:34,1.0,10.0,BAL 40,0.0,0.0,Jacoby Brissett pass complete short right to David Njoku for 22 yards (tackle by Chuck Clark),2.92,4.37,7.0,2022,98
1.0,12:00,1.0,10.0,BAL 18,0.0,0.0,Nick Chubb left end for 3 yards (tackle by Devon Kennard),4.37,4.15,7.0,2022,98
1.0,11:19,2.0,8.0,BAL 15,0.0,0.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 2 yards (tackle by Marlon Humphrey),4.15,3.82,7.0,2022,98
1.0,10:34,3.0,5.0,BAL 13,0.0,0.0,Jacoby Brissett pass complete short right to David Njoku for 4 yards (tackle by Patrick Queen),3.82,2.98,7.0,2022,98
1.0,10:07,4.0,1.0,BAL 9,0.0,0.0,Jacoby Brissett up the middle for 1 yard (tackle by Jason Pierre-Paul),2.98,5.37,7.0,2022,98
1.0,9:13,1.0,8.0,BAL 8,0.0,0.0,Nick Chubb left end for 6 yards (tackle by Geno Stone and Malik Harrison),5.37,5.72,7.0,2022,98
1.0,8:33,2.0,2.0,BAL 2,6.0,0.0,"Nick Chubb right end for 2 yards, touchdown",5.72,7.0,7.0,2022,98
1.0,8:23,,,BAL 15,7.0,0.0,Cade York kicks extra point good,0.0,0.0,7.0,2022,98
1.0,8:23,,,CLE 35,7.0,0.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,98
1.0,8:23,1.0,10.0,BAL 25,7.0,0.0,Gus Edwards right tackle for 4 yards (tackle by Jacob Phillips),0.61,0.6,7.0,2022,98
1.0,7:41,2.0,6.0,BAL 29,7.0,0.0,Gus Edwards left tackle for 3 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),0.6,0.3,7.0,2022,98
1.0,7:10,3.0,3.0,BAL 32,7.0,0.0,Gus Edwards right tackle for 12 yards (tackle by Jordan Elliott and John Johnson),0.3,1.86,7.0,2022,98
1.0,6:25,1.0,10.0,BAL 44,7.0,0.0,Kenyan Drake right guard for 4 yards (tackle by Grant Delpit),1.86,1.86,7.0,2022,98
1.0,5:41,2.0,6.0,BAL 48,7.0,0.0,Lamar Jackson pass complete deep right to Devin Duvernay for 31 yards (tackle by Martin Emerson),1.86,4.17,7.0,2022,98
1.0,5:02,1.0,10.0,CLE 21,7.0,0.0,Kenyan Drake left tackle for 1 yard (tackle by Sione Takitaki and Tommy Togiai),4.17,3.76,7.0,2022,98
1.0,4:23,2.0,9.0,CLE 20,7.0,0.0,Gus Edwards up the middle for 6 yards (tackle by Greedy Williams and Grant Delpit),3.76,4.02,7.0,2022,98
