Unnamed: 0,NYG,JAX,week,year,game_id
First Downs,27,27,7.0,2022,102
Rush-Yds-TDs,39-236-1,21-142-2,7.0,2022,102
Cmp-Att-Yd-TD-INT,19-30-202-1-0,22-44-310-0-0,7.0,2022,102
Sacked-Yards,1-2,0-0,7.0,2022,102
Net Pass Yards,200,310,7.0,2022,102
Total Yards,436,452,7.0,2022,102
Fumbles-Lost,0-0,1-1,7.0,2022,102
Turnovers,0,1,7.0,2022,102
Penalties-Yards,8-67,13-81,7.0,2022,102
Third Down Conv.,6-12,6-13,7.0,2022,102
Fourth Down Conv.,0-1,2-4,7.0,2022,102
Time of Possession,34:10,25:50,7.0,2022,102
