Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,7.0,2022,97
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,97
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Leonard Fournette up the middle for 1 yard (tackle by Frankie Luvu and Derrick Brown),0.61,0.2,7.0,2022,97
1.0,14:23,2.0,9.0,TAM 26,0.0,0.0,Tom Brady pass complete short left to Chris Godwin for 10 yards (tackle by Brian Burns and Juston Burris),0.2,1.33,7.0,2022,97
1.0,13:45,1.0,10.0,TAM 36,0.0,0.0,Tom Brady pass incomplete deep middle intended for Mike Evans,1.33,0.79,7.0,2022,97
1.0,13:37,2.0,10.0,TAM 36,0.0,0.0,Leonard Fournette right tackle for -1 yards (tackle by Yetur Gross-Matos and Brian Burns),0.79,-0.03,7.0,2022,97
1.0,13:00,3.0,11.0,TAM 35,0.0,0.0,Tom Brady pass incomplete short right intended for Chris Godwin,-0.03,-1.04,7.0,2022,97
1.0,12:52,4.0,11.0,TAM 35,0.0,0.0,Jake Camarda punts 55 yards out of bounds,-1.04,0.38,7.0,2022,97
1.0,12:45,1.0,10.0,CAR 10,0.0,0.0,"P.J. Walker pass complete to Terrace Marshall for 38 yards TAM challenged the pass completion ruling, and the original play was overturned. P.J. Walker pass incomplete intended for Terrace Marshall",-0.38,-0.78,7.0,2022,97
1.0,12:40,2.0,10.0,CAR 10,0.0,0.0,D'Onta Foreman up the middle for 3 yards (tackle by William Gholston),-0.78,-1.07,7.0,2022,97
1.0,11:56,3.0,7.0,CAR 13,0.0,0.0,Chuba Hubbard right guard for 6 yards (tackle by Joe Tryon-Shoyinka and Mike Edwards),-1.07,-2.14,7.0,2022,97
1.0,11:10,4.0,1.0,CAR 19,0.0,0.0,"Johnny Hekker punts 62 yards, returned by Jaelon Darden for 8 yards (tackle by Sam Franklin)",-2.14,-0.74,7.0,2022,97
1.0,10:59,1.0,10.0,TAM 27,0.0,0.0,Tom Brady pass complete short right to Mike Evans for 4 yards (tackle by Shaq Thompson),0.74,0.74,7.0,2022,97
1.0,10:20,2.0,6.0,TAM 31,0.0,0.0,Leonard Fournette left guard for 3 yards (tackle by Marquan McCall and Yetur Gross-Matos),0.74,0.43,7.0,2022,97
1.0,9:38,3.0,3.0,TAM 34,0.0,0.0,Tom Brady pass complete short middle to Chris Godwin for 5 yards (tackle by Myles Hartsfield),0.43,1.53,7.0,2022,97
1.0,8:59,1.0,10.0,TAM 39,0.0,0.0,Tom Brady pass complete short left to Ko Kieft for 18 yards (tackle by Myles Hartsfield),1.53,2.72,7.0,2022,97
1.0,8:12,1.0,10.0,CAR 43,0.0,0.0,"Robert Hainsey aborted snap, recovered by Tom Brady at CAR-43 Tom Brady pass complete short left to Chris Godwin for 2 yards (tackle by Donte Jackson)",2.72,2.45,7.0,2022,97
1.0,7:37,2.0,8.0,CAR 41,0.0,0.0,Tom Brady pass complete short left to Mike Evans for 1 yard (tackle by Myles Hartsfield),2.45,1.88,7.0,2022,97
1.0,7:01,3.0,7.0,CAR 40,0.0,0.0,Tom Brady pass incomplete short left intended for Chris Godwin,1.88,0.59,7.0,2022,97
1.0,6:54,4.0,7.0,CAR 40,0.0,0.0,"Jake Camarda punts 40 yards, touchback.",0.59,-0.28,7.0,2022,97
1.0,6:45,1.0,10.0,CAR 20,0.0,0.0,Chuba Hubbard right tackle for 1 yard (tackle by Lavonte David),0.28,-0.13,7.0,2022,97
1.0,6:02,2.0,9.0,CAR 21,0.0,0.0,P.J. Walker pass complete short right to D.J. Moore for 4 yards (tackle by Zyon McCollum),-0.13,-0.3,7.0,2022,97
1.0,5:18,3.0,5.0,CAR 25,0.0,0.0,P.J. Walker pass complete short right to D.J. Moore for 4 yards (tackle by Antoine Winfield),-0.3,-1.44,7.0,2022,97
1.0,4:33,4.0,1.0,CAR 29,0.0,0.0,"Johnny Hekker punts 60 yards, returned by Jaelon Darden for 11 yards (tackle by Chuba Hubbard)",-1.44,-0.41,7.0,2022,97
1.0,4:20,1.0,10.0,TAM 22,0.0,0.0,Tom Brady pass complete short middle to Rachaad White for 8 yards (tackle by Derrick Brown),0.41,0.95,7.0,2022,97
1.0,3:43,2.0,2.0,TAM 30,0.0,0.0,Rachaad White left guard for 11 yards (tackle by Xavier Woods and Myles Hartsfield),0.95,1.66,7.0,2022,97
1.0,3:11,1.0,10.0,TAM 41,0.0,0.0,Rachaad White right tackle for -6 yards (tackle by Brian Burns),1.66,0.31,7.0,2022,97
1.0,2:27,2.0,16.0,TAM 35,0.0,0.0,Tom Brady pass complete deep right to Mike Evans for 16 yards (tackle by C.J. Henderson),0.31,2.32,7.0,2022,97
1.0,1:44,1.0,10.0,CAR 49,0.0,0.0,Tom Brady pass complete short middle to Jaelon Darden for 1 yard (tackle by Xavier Woods),2.32,1.92,7.0,2022,97
1.0,1:07,2.0,9.0,CAR 48,0.0,0.0,Rachaad White up the middle for 6 yards (tackle by Derrick Brown),1.92,2.02,7.0,2022,97
1.0,0:25,3.0,3.0,CAR 42,0.0,0.0,"Tom Brady pass complete to Chris Godwin for no gain. Penalty on Cade Otton: Illegal Formation, 5 yards (accepted) (no play)",2.02,1.36,7.0,2022,97
2.0,15:00,3.0,8.0,CAR 47,0.0,0.0,Tom Brady pass incomplete deep middle intended for Mike Evans,1.36,0.13,7.0,2022,97
2.0,14:55,4.0,8.0,CAR 47,0.0,0.0,Jake Camarda punts 37 yards out of bounds,0.13,0.38,7.0,2022,97
2.0,14:48,1.0,10.0,CAR 10,0.0,0.0,Chuba Hubbard left tackle for 2 yards (tackle by Devin White and Lavonte David),-0.38,-0.63,7.0,2022,97
2.0,14:06,2.0,8.0,CAR 12,0.0,0.0,Chuba Hubbard left tackle for 7 yards (tackle by Devin White and Deadrin Senat),-0.63,-0.37,7.0,2022,97
2.0,13:45,3.0,1.0,CAR 19,0.0,0.0,Chuba Hubbard up the middle for 6 yards (tackle by Lavonte David),-0.37,0.61,7.0,2022,97
2.0,13:08,1.0,10.0,CAR 25,0.0,0.0,"D.J. Moore left end for -3 yards (tackle by Rakeem Nunez-Roches). Penalty on Taylor Moton: Illegal Formation, 5 yards (declined)",0.61,-0.34,7.0,2022,97
2.0,12:38,2.0,13.0,CAR 22,0.0,0.0,P.J. Walker pass complete short right to Laviska Shenault for 8 yards (tackle by Mike Edwards and William Gholston),-0.34,0.04,7.0,2022,97
2.0,11:57,3.0,5.0,CAR 30,0.0,0.0,P.J. Walker pass complete deep right to Terrace Marshall for 20 yards (tackle by Mike Edwards),0.04,2.26,7.0,2022,97
2.0,11:24,1.0,10.0,TAM 50,0.0,0.0,Chuba Hubbard right guard for 9 yards (tackle by Keanu Neal),2.26,2.93,7.0,2022,97
2.0,10:47,2.0,1.0,TAM 41,0.0,0.0,P.J. Walker pass complete short right to D.J. Moore for 6 yards (tackle by Zyon McCollum and Lavonte David),2.93,3.25,7.0,2022,97
2.0,10:12,1.0,10.0,TAM 35,0.0,0.0,P.J. Walker pass complete short left to D.J. Moore for 4 yards (tackle by Lavonte David),3.25,3.24,7.0,2022,97
2.0,9:43,2.0,6.0,TAM 31,0.0,0.0,Chuba Hubbard up the middle for 2 yards (tackle by Keanu Neal and Shaquil Barrett),3.24,2.81,7.0,2022,97
2.0,9:09,3.0,4.0,TAM 29,0.0,0.0,P.J. Walker sacked by Vita Vea for -7 yards,2.81,0.88,7.0,2022,97
2.0,8:18,4.0,11.0,TAM 36,0.0,0.0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",0.88,0.53,7.0,2022,97
2.0,7:54,4.0,16.0,TAM 41,0.0,0.0,"Johnny Hekker punts 41 yards, touchback.",0.53,-0.28,7.0,2022,97
2.0,7:48,1.0,10.0,TAM 20,0.0,0.0,Leonard Fournette up the middle for 9 yards (tackle by Shaq Thompson and Myles Hartsfield),0.28,0.95,7.0,2022,97
2.0,7:11,2.0,1.0,TAM 29,0.0,0.0,Leonard Fournette up the middle for 2 yards (tackle by Damien Wilson),0.95,1.0,7.0,2022,97
2.0,6:34,1.0,10.0,TAM 31,0.0,0.0,Chris Godwin right tackle for 2 yards (tackle by Damien Wilson and C.J. Henderson),1.0,0.73,7.0,2022,97
2.0,6:02,2.0,8.0,TAM 33,0.0,0.0,Tom Brady pass complete short left to Chris Godwin for 3 yards (tackle by Shaq Thompson),0.73,0.43,7.0,2022,97
2.0,5:19,3.0,5.0,TAM 36,0.0,0.0,Tom Brady pass complete short right to Russell Gage for 6 yards (tackle by Marquis Haynes),0.43,1.73,7.0,2022,97
