Quarter,Time,Down,ToGo,Location,HOU,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Raiders to receive the opening kickoff.",,,7.0,2022,103
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 59 yards, returned by DJ Turner for 18 yards (tackle by Eric Murray)",0.0,0.54,7.0,2022,103
1.0,14:54,1.0,10.0,LVR 24,0.0,0.0,Josh Jacobs left guard for 7 yards (tackle by Kamu Grugier-Hill and Steven Nelson),0.54,0.94,7.0,2022,103
1.0,14:18,2.0,3.0,LVR 31,0.0,0.0,"Josh Jacobs right tackle for 6 yards (tackle by Maliek Collins). Penalty on Davante Adams: Illegal Block Above the Waist, 10 yards (accepted)",0.94,0.4,7.0,2022,103
1.0,13:48,2.0,7.0,LVR 27,0.0,0.0,Derek Carr pass incomplete short right,0.4,-0.3,7.0,2022,103
1.0,13:43,3.0,7.0,LVR 27,0.0,0.0,Derek Carr pass complete short right to Davante Adams for 14 yards (tackle by Jalen Pitre),-0.3,1.66,7.0,2022,103
1.0,13:19,1.0,10.0,LVR 41,0.0,0.0,Josh Jacobs up the middle for -2 yards (tackle by Rasheem Green and Jalen Pitre),1.66,0.85,7.0,2022,103
1.0,12:37,2.0,12.0,LVR 39,0.0,0.0,Derek Carr pass complete short left to Davante Adams for 12 yards (tackle by Jonathan Owens),0.85,2.32,7.0,2022,103
1.0,11:53,1.0,10.0,HOU 49,0.0,0.0,Derek Carr pass complete short middle to Davante Adams for 15 yards (tackle by Jonathan Owens),2.32,3.31,7.0,2022,103
1.0,11:07,1.0,10.0,HOU 34,0.0,0.0,Josh Jacobs left guard for no gain (tackle by Kurt Hinish),3.31,2.77,7.0,2022,103
1.0,10:24,2.0,10.0,HOU 34,0.0,0.0,Derek Carr pass incomplete short left intended for Josh Jacobs,2.77,2.08,7.0,2022,103
1.0,10:21,3.0,10.0,HOU 34,0.0,0.0,Derek Carr pass complete short right to Ameer Abdullah for 2 yards (tackle by Steven Nelson),2.08,1.24,7.0,2022,103
1.0,10:00,4.0,8.0,HOU 32,0.0,3.0,Daniel Carlson 50 yard field goal good,1.24,3.0,7.0,2022,103
1.0,9:54,,,LVR 35,0.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,103
1.0,9:54,1.0,10.0,HOU 25,0.0,3.0,Davis Mills pass complete short middle to Nico Collins for 15 yards (tackle by Rock Ya-Sin),0.61,1.6,7.0,2022,103
1.0,9:21,1.0,10.0,HOU 40,0.0,3.0,Dameon Pierce right guard for 4 yards (tackle by Blake Martinez),1.6,1.59,7.0,2022,103
1.0,8:44,2.0,6.0,HOU 44,0.0,3.0,Dameon Pierce right guard for 2 yards (tackle by Chandler Jones),1.59,1.16,7.0,2022,103
1.0,8:05,3.0,4.0,HOU 46,0.0,3.0,Davis Mills pass complete short right to Jordan Akins for 19 yards (tackle by Trevon Moehrig),1.16,3.25,7.0,2022,103
1.0,7:26,1.0,10.0,LVR 35,0.0,3.0,Dameon Pierce for 10 yards (tackle by Duron Harmon),3.25,3.91,7.0,2022,103
1.0,6:44,1.0,10.0,LVR 25,0.0,3.0,Dameon Pierce up the middle for 3 yards (tackle by Blake Martinez and Clelin Ferrell),3.91,3.77,7.0,2022,103
1.0,6:06,2.0,7.0,LVR 22,0.0,3.0,Dameon Pierce left guard for -2 yards (tackle by Denzel Perryman and Johnathan Hankins),3.77,2.81,7.0,2022,103
1.0,5:24,3.0,9.0,LVR 24,0.0,3.0,Davis Mills pass complete short right to Brandin Cooks for 3 yards (tackle by Amik Robertson and Bilal Nichols),2.81,2.08,7.0,2022,103
1.0,4:44,4.0,6.0,LVR 21,0.0,3.0,Ka'imi Fairbairn 39 yard field goal no good,2.08,-0.87,7.0,2022,103
