Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Titans to receive the opening kickoff.",,,7.0,2022,99
1.0,15:00,,,IND 35,0.0,0.0,"Chase McLaughlin kicks off 55 yards, returned by Hassan Haskins for 17 yards (tackle by Dallis Flowers and Nick Cross). Penalty on Joe Schobert: Offensive Holding, 10 yards (accepted)",0.0,-0.06,7.0,2022,99
1.0,14:56,1.0,10.0,TEN 17,0.0,0.0,Ryan Tannehill pass complete short right to Robert Woods for 6 yards (tackle by Isaiah Rodgers),-0.06,0.35,7.0,2022,99
1.0,14:13,2.0,4.0,TEN 23,0.0,0.0,Derrick Henry up the middle for 9 yards (tackle by E.J. Speed),0.35,1.07,7.0,2022,99
1.0,13:31,1.0,10.0,TEN 32,0.0,0.0,"Derrick Henry left tackle for no gain (tackle by Tyquan Lewis and DeForest Buckner). Penalty on DeForest Buckner: Defensive Offside, 5 yards (accepted) (no play)",1.07,1.8,7.0,2022,99
1.0,13:06,1.0,5.0,TEN 37,0.0,0.0,Derrick Henry right guard for -1 yards (tackle by E.J. Speed),1.8,1.07,7.0,2022,99
1.0,12:30,2.0,6.0,TEN 36,0.0,0.0,Ryan Tannehill pass complete short left to Derrick Henry for -3 yards (tackle by Zaire Franklin and Grover Stewart),1.07,-0.03,7.0,2022,99
1.0,11:45,3.0,9.0,TEN 33,0.0,0.0,Ryan Tannehill sacked by Kenny Moore for -7 yards,-0.03,-1.63,7.0,2022,99
1.0,11:05,4.0,16.0,TEN 26,0.0,0.0,"Ryan Stonehouse punts 52 yards, returned by Nyheim Hines for 11 yards (tackle by Kevin Rader and Lonnie Johnson)",-1.63,-1.14,7.0,2022,99
1.0,10:53,1.0,10.0,IND 33,0.0,0.0,Matt Ryan pass complete short right to Parris Campbell for 4 yards (tackle by Kristian Fulton),1.14,1.13,7.0,2022,99
1.0,10:27,2.0,6.0,IND 37,0.0,0.0,Matt Ryan pass complete short left to Parris Campbell for 3 yards (tackle by Amani Hooker),1.13,0.83,7.0,2022,99
